EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
MISHCON DE REYA GROUP (OPERATIONS) LIMITED,64209,30.4,23.6,73.9,30.0,55.4,64.0,25.4,74.6,15.1,84.9,27.0,73.0,55.6,44.4,500-999,2025-04-03 15:10:41
DE VERE WOKEFIELD ESTATE LIMITED,55100,16.7,3.6,40.5,-119.2,42.3,49.7,29.9,70.1,45.6,54.4,44.8,55.2,63.2,36.8,250-499,2025-03-31 14:44:02
ODEON CINEMAS LIMITED,"59131,59140",9.4,0.0,37.3,9.6,18.8,17.0,54.0,46.0,54.0,46.0,52.0,48.0,57.0,43.0,1000-4999,2025-04-04 11:41:38
CATERING GROUP LIMITED,56100,22.1,18.3,80.1,45.9,52.3,61.9,34.8,68.4,27.5,73.3,39.0,65.8,51.9,26.1,500-999,2025-04-01 17:53:19
THE WAITROSE & PARTNERS LTD,51210,14.5,4.2,43.5,-105.0,25.9,32.1,41.8,57.3,26.3,51.3,34.6,55.5,36.9,21.1,2500-7499,2025-03-28 12:11:05
SHEPHERD AND WIGHT LIMITED,71120,28.5,22.1,75.3,42.5,59.9,70.1,29.5,75.9,23.2,82.4,31.0,75.5,58.1,25.9,1000-4999,2025-04-05 10:28:42
HOME RETAIL GROUP LIMITED,47710,20.6,15.8,71.4,55.1,49.0,57.0,37.5,65.1,28.9,73.1,40.6,62.9,45.5,30.5,5000-9999,2025-04-02 14:20:16
J SAINSBURY PLC,47110,18.3,12.5,62.8,35.5,40.5,50.3,33.6,60.9,25.8,68.7,37.3,59.3,41.5,29.1,5000-9999,2025-03-29 15:01:39
ASDA STORES LIMITED,47110,15.1,9.4,58.2,25.4,35.4,45.5,31.7,58.3,22.3,65.5,35.8,56.2,37.5,24.9,5000-9999,2025-03-30 10:14:51
ALDINGER LIMITED,59140,12.8,6.3,40.6,-117.2,29.5,39.0,37.1,52.0,24.5,59.3,40.3,54.8,40.1,28.3,1000-4999,2025-03-27 13:45:12
