"MISHCON DE REYA GROUP (ADMINISTRATION) LIMITED","64203","13.9","7.2","58.1","20.7","44.9","51.9","42.0","58.4","31.0","55.6","24.5","60.0","39.5","62.2","38.8","500-999","2025-03-29 13:05:29"
"TEESSIDE DEVELOPMENT CORPORATION","85300","-1.9","-10.2","17.3","-30.6","30.0","34.0","18.0","40.0","18.0","42.0","22.0","35.0","28.0","40.0","20.0","1000-4999","2025-03-28 16:28:01"
"ROYAL COLLEGE OF PATHOLOGISTS","85500","-7.3","-14.5","-2.4","-22.9","20.0","23.0","6.0","10.5","12.0","15.0","18.0","12.0","15.0","10.5","20.0","100-249","2025-03-27 09:36:42"
"THE LONDON OFFICE (UK) LIMITED","64209","-9.4","-17.6","-7.6","-27.9","35.0","41.0","-4.0","-2.0","-4.0","-2.0","-3.0","-2.0","-4.0","-2.0","-3.0","500-999","2025-03-26 10:04:11"
"THE ORATORY SCHOOL TRUST LIMITED","85300","-3.3","-11.5","-1.1","-25.1","25.0","30.0","13.0","27.0","15.0","25.0","20.0","27.0","25.0","30.0","20.0","250-499","2025-03-25 12:43:19"
"THE ROSLIN INSTITUTE LIMITED","85500","-9.7","-19.4","-5.6","-30.6","40.0","45.0","-5.0","-2.0","-5.0","-2.0","-4.0","-2.0","-5.0","-2.0","-4.0","1000-4999","2025-03-24 17:16:53"
"ROYAL AERONAUTICAL SOCIETY","85500","-4.5","-13.4","-4.5","-25.8","35.0","40.0","0.0","10.0","5.0","10.0","5.0","10.0","5.0","10.0","5.0","100-249","2025-03-23 14:38:12"
"THE NATIONAL STATISTICS FORTRANET LIMITED","64209","1.9","-2.3","-5.9","-22.9","45.0","50.0","-5.0","-2.0","-5.0","-2.0","-4.0","-2.0","-5.0","-2.0","-4.0","500-999","2025-03-22 15:55:34"
"ROYAL COLLEGE OF GENERAL PRACTITIONERS","85500","-7.1","-15.9","-3.9","-26.9","30.0","35.0","-3.0","-2.0","-3.0","-2.0","-2.0","-2.0","-3.0","-2.0","-2.0","100-249","2025-03-21 09:23:01"
"THE HOSPITALS' FUND FOR TRAINING AND RESEARCH LIMITED","85500","-10.3","-20.7","-8.4","-33.6","50.0","55.0","-8.0","-4.0","-8.0","-4.0","-7.0","-4.0","-8.0","-4.0","-7.0","1000-4999","2025-03-20 17:03:48"
