"E EmployerName","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","EmployerSize","DateSubmitted"
"Clarkson Evans Limited","63120",34.5,12.9,55.1,25.3,48.9,51.1,20.3,61.9,25.9,53.5,28.5,62.3,56.5,43.5,250-499,2025-03-28 18:33:19"
"Tensor Limited","74100",46.7,29.4,38.5,10.9,44.1,53.9,30.5,52.1,26.3,51.7,42.9,56.1,51.5,48.5,500-999,2025-04-02 14:10:42"
"Thomas Eggar LLP","64120",20.8,9.5,45.9,28.5,46.9,49.1,40.4,49.6,38.5,45.5,52.9,44.1,58.3,41.7,1000-4999,2025-03-29 10:22:35"
"Walker Morris LLP","64209",21.9,1.1,42.5,16.3,45.5,50.5,31.9,57.1,35.9,52.1,48.9,53.1,55.9,44.1,250-499,2025-04-01 17:44:02"
"Taylor Walton Solicitors Limited","74100",38.2,22.1,48.5,20.9,50.9,49.1,22.1,58.9,30.1,55.9,45.9,56.5,51.9,47.1,1000-4999,2025-03-31 11:55:02"
"Wragge Lawrence Graham & Co LLP","63120",15.9,8.1,35.5,24.5,43.5,51.5,25.9,50.1,28.5,48.5,40.9,52.1,52.5,45.5,250-499,2025-04-03 17:11:41"
"Berwin Leighton Paisner LLP","64120",14.5,5.6,39.5,18.9,41.9,49.1,29.5,53.9,32.5,51.1,44.5,54.5,53.9,46.1,1000-4999,2025-04-04 10:01:19"
"Falconer Coombs Limited","74100",27.3,14.5,46.5,30.9,49.9,50.1,24.5,56.1,31.1,52.9,46.5,54.5,54.5,46.5,250-499,2025-03-30 14:44:02"
"Britannia Building Society","65120",22.1,11.5,41.1,22.9,45.9,47.1,26.1,52.9,30.1,50.1,43.9,51.9,52.1,46.9,500-999,2025-03-28 11:44:19"
"Thomas Eggar Limited","64209",31.9,20.1,41.9,12.9,47.9,49.1,28.9,54.9,35.9,50.9,46.9,52.9,52.1,48.9,1000-4999,2025-04-01 12:01:35"
"Wragge & Co LLP","63120",10.1,4.1,38.1,20.5,42.1,48.5,22.1,49.9,28.9,48.5,43.5,50.1,50.9,46.1,250-499,2025-03-29 12:22:35"
"Taylor Walton Limited","74100",26.1,17.4,48.9,31.9,50.9,49.1,24.9,57.1,32.1,54.9,45.9,55.5,53.1,47.5,1000-4999,2025-04-02 12:10:11"
"Solicitors Regulation Authority","64120",28.9,18.1,45.5,29.9,48.5,50.1,29.5,53.9,35.5,51.5,46.5,53.5,52.9,48.1,250-499,2025-03-31 10:55:02"
"Britannia Building Society Limited","65120",23.4,13.1,43.1,24.5,47.1,49.1,27.9,54.9,33.9,52.1,45.9,54.5,52.1,49.5,500-999,2025-04-03 14:44:02"
"Maclay Murray & Spens LLP","64209",21.4,8.4,38.5,22.1,44.5,49.5,26.1,52.9,30.9,50.1,43.9,52.1,52.1,46.1,1000-4999,2025-03-30 11:44:19"
"Thomas Eggar Solicitors Limited","64120",35.1,22.9,45.9,22.9,48.9,50.1,29.5,53.9,36.5,50.1,47.5,53.9,53.5,48.1,250-499,2025-03-29 10:44:02"
"Wragge & Co Limited","63120",12.9,5.1,37.5,21.9,43.5,48.5,24.1,49.9,29.5,48.5,43.5,50.1,51.5,45.5,1000-4999,2025-04-01 12:10:11"
"Solicitors Regulation Authority Limited","74100",29.1,20.3,49.5,29.5,50.9,49.1,26.1,56.1,33.9,53.1,46.9,54.5,54.5,48.9,500-999,2025-03-28 14:33:19"
"Britannia Building Society (No 2) Limited","65120",24.9,14.5,42.5,26.5,48.1,49.1,28.9,53.9,33.9,51.9,45.9,53.5,53.1,47.5,250-499,2025-04-04 10:55:02"
"Falconer Coombs Solicitors Limited","74100",30.1,19.9,46.9,30.5,50.1,49.1,27.5,55.9,34.5,52.9,46.5,53.9,53.5,48.5,1000-4999,2025-03-31 15:10:41"
"Wragge Lawrence Graham & Co Limited","63120",13.9,6.5,36.5,19.9,42.5,48.5,25.9,49.9,29.5,48.5,44.5,50.1,51.1,45.5,250-499,2025-04-02 17:44:02"
"Walker Morris Limited","64209",19.5,7.4,41.9,17.1,46.9,49.1,29.5,53.9,33.1,51.9,45.5,53.5,52.9,48.1,1000-4999,2025-04-03 11:55:02"
"Taylor Walton Solicitors Limited","74100",25.5,17.5,47.5,29.5,51.1,49.1,26.9,57.1,34.1,54.9,46.1,55.5,54.1,49.1,250-499,2025-03-30 12:10:11"
"Berwin Leighton Paisner Limited","64120",16.5,6.9,40.5,18.9,43.5,49.1,29.5,53.9,32.5,51.1,45.5,53.5,53.1,47.5,500-999,2025-04-04 12:01:35"
"Thomas Eggar LLP Limited","64209",32.9,21.4,42.5,14.9,48.1,49.1,30.1,54.9,36.1,51.9,46.1,53.5,53.5,48.1,1000-4999,2025-03-28 11:44:19"
"Solicitors Regulation Authority Solicitors Limited","74100",28.1,18.4,48.1,30.5,50.9,49.1,28.1,56.1,34.5,53.1,46.5,54.5,54.5,48.5,250-499,2025-03-31 14:33:19"
"Britannia Building Society UK Limited","65120",25.9,15.1,43.9,25.9,48.1,49.1,29.5,54.9,34.5,52.1,46.1,53.9,53.1,48.1,500-999,2025-04-03 17:44:02"
