"EmployerName","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","EmployerSize","DateSubmitted"
"Northumbria Police","80000-89999","-1.23","-2.15","-3.45","-4.23","12.56","8.78","42.11","35.67","51.23","45.19","62.11","55.67","75.89","67.23","500-999","2025-01-15"
"University of Leeds","85500-85999","1.23","1.45","2.12","2.34","10.56","8.67","41.11","36.67","50.23","44.19","60.11","55.67","74.89","66.23","1000-4999","2025-02-15"
"Amazon UK Services Ltd","41200-41999","-2.15","-3.45","-4.12","-5.23","12.67","9.78","43.11","37.67","52.23","46.19","63.11","58.67","77.89","70.23","5000-9999","2025-03-15"
"Universities UK","85500-85999","2.15","2.45","4.12","4.23","11.56","9.67","42.11","37.67","51.23","45.19","61.11","56.67","76.89","68.23","100-499","2025-04-15"
"ITV Broadcasting Ltd","90200-90999","-3.45","-4.12","-5.23","-6.45","13.67","10.78","44.11","38.67","53.23","47.19","64.11","59.67","79.89","72.23","500-999","2025-05-15"
"Unipart Group Ltd","38400-38999","4.12","4.23","5.12","5.45","12.67","10.89","43.11","38.67","52.23","46.19","62.11","57.67","78.89","71.23","1000-4999","2025-06-15"
"Oxfam GB","85500-85999","-4.12","-4.23","-5.45","-6.67","14.67","11.78","45.11","39.67","54.23","48.19","65.11","60.67","82.89","75.23","100-499","2025-07-15"
"The Royal Opera House","90200-90999","5.12","5.45","6.12","6.45","13.67","11.89","44.11","39.67","53.23","47.19","63.11","58.67","80.89","73.23","500-999","2025-08-15"
"Virgin Media Limited","41200-41999","-5.23","-5.45","-6.67","-7.89","15.67","12.78","46.11","40.67","55.23","49.19","66.11","61.67","85.89","78.23","5000-9999","2025-09-15"
"London Borough of Camden","81200-81999","6.12","6.45","7.12","7.45","14.67","12.89","45.11","40.67","54.23","48.19","64.11","59.67","84.89","77.23","1000-4999","2025-10-15"
"British Broadcasting Corporation","90200-90999","-6.45","-6.67","-7.89","-8.11","16.67","13.78","47.11","41.67","56.23","50.19","67.11","62.67","89.89","82.23","500-999","2025-11-15"
"Virgin Atlantic Airways Ltd","41200-41999","7.12","7.45","8.12","8.45","15.67","13.89","46.11","41.67","55.23","49.19","65.11","60.67","88.89","81.23","5000-9999","2025-12-15"
"University of Edinburgh","85500-85999","-7.89","-7.12","-8.11","-8.45","17.67","14.78","48.11","42.67","57.23","51.19","68.11","63.67","92.89","85.23","100-499","2025-01-15"
"ITV Studios Ltd","90200-90999","8.12","8.45","9.12","9.45","16.67","14.89","47.11","42.67","56.23","50.19","66.11","61.67","93.89","86.23","500-999","2025-02-15"
"De La Rue Plc","38400-38999","-8.11","-7.45","-8.45","-8.67","18.67","15.78","49.11","43.67","58.23","52.19","69.11","64.67","95.89","88.23","1000-4999","2025-03-15"
"University of Manchester","85500-85999","9.12","9.45","10.12","10.45","17.67","15.89","48.11","43.67","57.23","51.19","67.11","62.67","97.89","90.23","100-499","2025-04-15"
"Rolls-Royce Holdings Plc","38200-38999","-9.45","-8.67","-9.67","-10.89","19.67","16.78","50.11","44.67","60.23","54.19","70.11","65.67","99.89","92.23","5000-9999","2025-05-15"
"Kier Group Plc","41200-41999","10.12","10.45","11.12","11.45","18.67","16.89","49.11","44.67","59.23","53.19","71.11","66.67","101.89","94.23","1000-4999","2025-06-15"
"Oxford University Hospitals NHS Foundation Trust","85100-85999","-10.89","-9.67","-11.11","-11.45","20.67","17.78","51.11","45.67","61.23","55.19","72.11","67.67","103.89","96.23","100-499","2025-07-15"
"British Telecommunications Plc","64200-64999","11.12","11.45","12.12","12.45","19.67","17.89","50.11","45.67","60.23","54.19","73.11","68.67","105.89","98.23","5000-9999","2025-08-15"
"National Grid Electricity Transmission Plc","65100-65999","-11.45","-10.89","-11.45","-11.67","21.67","18.78","52.11","46.67","62.23","56.19","74.11","69.67","107.89","100.23","5000-9999","2025-09-15"
"BP Plc","64100-64999","12.12","12.45","13.12","13.45","20.67","18.89","51.11","46.67","61.23","55.19","75.11","70.67","109.89","102.23","1000-4999","2025-10-15"
"GKN Plc","38400-38999","-12.45","-11.67","-12.67","-13.89","22.67","19.78","53.11","47.67","63.23","57.19","76.11","71.67","111.89","104.23","500-999","2025-11-15"
"Balfour Beatty Plc","41200-41999","13.12","13.45","14.12","14.45","21.67","19.89","52.11","47.67","64.23","58.19","77.11","72.67","113.89","106.23","1000-4999","2025-12-15"
