"Year","Agency Type","State","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Type","Bias Description","Victim Types","Multiple Offense","Multiple Bias"
"1991","City","NY","New York","1991-06-15",1.0,0.0,1,1.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Gay (Male)","Individual","Y","Y"
"1992","Suburban","FL","Florida","1992-09-28",0.0,0.0,1,0.0,1.0,"White","Not Specified",1,"Vandalism",1.0,"School/College","Anti-Semitic","Individual","Y","Y"
"1993","City","TX","Texas","1993-03-20",1.0,0.0,1,1.0,0.0,"Hispanic or Latino","Not Specified",1,"Aggravated Assault",1.0,"Public Transportation","Anti-Hispanic", "Individual","Y","Y"
"1994","Town","CA","California","1994-07-17",0.0,1.0,1,0.0,1.0,"Asian","Not Hispanic or Latino",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Asian","Individual","Y","Y"
"1995","Suburban","GA","Georgia","1995-02-02",0.0,0.0,1,0.0,1.0,"White","Not Specified",1,"Larceny/Theft",1.0,"Public Housing","Anti-Caucasian","Individual","Y","N"
"1996","City","IL","Illinois","1996-10-27",2.0,0.0,2,2.0,0.0,"Black or African American","Not Hispanic or Latino",2,"Aggravated Assault",2.0,"School/College","Anti-Black or African American","Individual","Y","Y"
"1997","Other","CA","California","1997-05-04",0.0,1.0,1,0.0,1.0,"White","Not Specified",1,"Aggravated Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Asian","Individual","Y","Y"
"1998","Suburban","MI","Michigan","1998-11-20",0.0,0.0,2,0.0,2.0,"Hispanic or Latino","Not Hispanic or Latino",2,"Simple Assault",2.0,"Public Housing","Anti-Hispanic","Individual","N","Y"
"1999","City","NC","North Carolina","1999-08-03",0.0,0.0,1,0.0,1.0,"Asian","Not Hispanic or Latino",1,"Larceny/Theft",1.0,"School/College","Anti-Asian","Individual","Y","N"
"2000","Town","OH","Ohio","2000-05-23",1.0,0.0,2,1.0,1.0,"White","Not Specified",2,"Aggravated Assault",2.0,"Public Transportation","Anti-Caucasian","Individual","Y","Y"
"2001","Suburban","PA","Pennsylvania","2001-12-01",0.0,0.0,1,0.0,1.0,"Black or African American","Not Hispanic or Latino",1,"Vandalism",1.0,"Public Housing","Anti-Black or African American","Individual","Y","N"
"2002","City","NJ","New Jersey","2002-04-09",2.0,0.0,2,2.0,0.0,"Hispanic or Latino","Not Hispanic or Latino",2,"Simple Assault",2.0,"School/College","Anti-Hispanic","Individual","Y","Y"
"2003","Other","AZ","Arizona","2003-09-14",0.0,1.0,1,0.0,1.0,"White","Not Specified",1,"Aggravated Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Asian","Individual","Y","Y"
"2004","City","NJ","New Jersey","2004-05-13",0.0,0.0,0,0.0,0.0,"Unknown","Not Specified",1,"Destruction/Damage/Vandalism of Property",0.0,"School/College","Anti-Black or African American","Other","Y","N"
"2005","Suburban","NY","New York","2005-01-12",0.0,0.0,1,0.0,1.0,"Hispanic or Latino","Not Hispanic or Latino",1,"Larceny/Theft",1.0,"Public Housing","Anti-Hispanic","Individual","Y","N"
"2006","Town","TX","Texas","2006-07-31",1.0,0.0,1,1.0,0.0,"Asian","Not Hispanic or Latino",1,"Simple Assault",1.0,"Public Transportation","Anti-Asian","Individual","Y","Y"
"2007","City","IL","Illinois","2007-09-27",1.0,0.0,2,1.0,1.0,"Black or African American","Not Hispanic or Latino",2,"Aggravated Assault",2.0,"School/College","Anti-Black or African American","Individual","Y","Y"
"2008","Other","CA","California","2008-02-21",0.0,1.0,1,0.0,1.0,"White","Not Specified",1,"Vandalism",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Asian","Individual","Y","N"
"2009","Suburban","MI","Michigan","2009-06-11",0.0,0.0,1,0.0,1.0,"Hispanic or Latino","Not Hispanic or Latino",1,"Larceny/Theft",1.0,"Public Housing","Anti-Hispanic","Individual","Y","N"
"2010","Town","NC","North Carolina","2010-10-16",1.0,0.0,2,1.0,1.0,"Asian","Not Hispanic or Latino",2,"Simple Assault",2.0,"Public Transportation","Anti-Asian","Individual","Y","Y"
"2011","City","OH","Ohio","2011-08-20",2.0,0.0,2,2.0,0.0,"White","Not Specified",2,"Aggravated Assault",2.0,"School/College","Anti-Caucasian","Individual","Y","Y"
"2012","Other","PA","Pennsylvania","2012-04-01",0.0,1.0,1,0.0,1.0,"Black or African American","Not Hispanic or Latino",1,"Simple Assault",1.0,"Public Housing","Anti-Black or African American","Individual","Y","N"
"2013","Suburban","GA","Georgia","2013-12-03",0.0,0.0,1,0.0,1.0,"Hispanic or Latino","Not Hispanic or Latino",1,"Vandalism",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Hispanic","Individual","Y","Y"
"2014","City","NJ","New Jersey","2014-09-25",1.0,0.0,1,1.0,0.0,"Asian","Not Hispanic or Latino",1,"Aggravated Assault",1.0,"Public Transportation","Anti-Asian","Individual","Y","N"
"1991","City","NY","New York","1991-03-14",0.0,0.0,1,0.0,1.0,"White","Not Specified",1,"Simple Assault",1.0,"School/College","Anti-Asian","Individual","Y","N"
"1992","Suburban","FL","Florida","1992-10-15",1.0,0.0,2,1.0,1.0,"Black or African American","Not Hispanic or Latino",2,"Larceny/Theft",2.0,"Public Housing","Anti-Black or African American","Individual","Y","N"
"1993","Town","CA","California","1993-04-29",0.0,1.0,1,0.0,1.0,"Hispanic or Latino","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Hispanic","Individual","Y","N"
"1994","Suburban","GA","Georgia","1994-11-19",2.0,0.0,3,2.0,1.0,"White","Not Hispanic or Latino",3,"Aggravated Assault",3.0,"Public Housing","Anti-Caucasian","Individual","Y","Y"
"1995","City","IL","Illinois","1995-08-05",0.0,0.0,1,0.0,1.0,"Asian","Not Hispanic or Latino",1,"Larceny/Theft",1.0,"School/College","Anti-Asian","Individual","Y","N"
"1996","Other","AZ","Arizona","1996-04-29",0.0,1.0,2,0.0,2.0,"Black or African American","Not Hispanic or Latino",2,"Simple Assault",2.0,"Public Transportation","Anti-Black or African American","Individual","Y","Y"
"1997","Suburban","MI","Michigan","1997-12-12",0.0,0.0,1,0.0,1.0,"Hispanic or Latino","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Hispanic","Individual","Y","N"
"1998","Town","NC","North Carolina","1998-02-22",1.0,0.0,1,1.0,0.0,"White","Not Specified",1,"Simple Assault",1.0,"Public Housing","Anti-Caucasian","Individual","Y","Y"
"1999","City","OH","Ohio","1999-09-13",0.0,0.0,1,0.0,1.0,"Asian","Not Hispanic or Latino",1,"Larceny/Theft",1.0,"School/College","Anti-Asian","Individual","Y","N"
"2000","Other","PA","Pennsylvania","2000-11-17",1.0,0.0,1,1.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"Public Transportation","Anti-Black or African American","Individual","Y","Y"
"2001","Suburban","GA","Georgia","2001-06-28",0.0,0.0,1,0.0,1.0,"Hispanic or Latino","Not Hispanic or Latino",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Hispanic","Individual","Y","N"
"2002","Town","TX","Texas","2002-01-30",0.0,1.0,1,0.0,1.0,"White","Not Specified",1,"Aggravated Assault",1.0,"Public Housing","Anti-Asian","Individual","Y","Y"
"2003","City","IL","Illinois","2003-10-21",1.0,0.0,2,1.0,1.0,"Black or African American","Not Hispanic or Latino",2,"Simple Assault",2.0,"School/College","Anti-Black or African American","Individual","Y","Y"
"2004","Other","CA","California","2004-01-01",0.0,0.0,1,0.0,1.0,"Hispanic or Latino","Not Hispanic or Latino",1,"Larceny/Theft",1.0,"Public Housing","Anti-Hispanic","Individual","Y","N"
"2005","Suburban","MI","Michigan","2005-04-12",0.0,0.0,1,0.0,1.0,"Asian","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Asian","Individual","Y","N"
"2006","Town","NC","North Carolina","2006-08-23",1.0,0.0,1,1.0,0.0,"White","Not Specified",1,"Simple Assault",1.0,"Public Housing","Anti-Caucasian","Individual","Y","Y"
