data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
2004,City,AL,Alabama,2004-03-25,1.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Intimidation,1.0,Residence,Anti-Hispanic,Individual,S,S
2004,College/University,GA,Georgia,2004-09-15,0.0,1.0,1,0.0,1.0,White,No Ethnicity,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Individual,S,S
2005,Other,MS,Mississippi,2005-11-12,0.0,0.0,1,0.0,1.0,Asian or Asian American,Not Hispanic or Latino,1,Aggravated Assault,1.0,Residence,Anti-White,Individual,S,S
2002,Other,TX,Texas,2002-06-16,1.0,0.0,1,1.0,0.0,American Indian or Alaska Native,Not Hispanic or Latino,1,Simple Assault,1.0,Other,Unknown,Individual,S,S
2002,City,NC,North Carolina,2002-08-28,0.0,0.0,1,0.0,1.0,Unknown,Not Specified,1,Larceny-Theft,1.0,Residence,Anti-Gay (Male),Individual,S,S
2008,College/University,FL,Florida,2008-02-22,0.0,0.0,1,0.0,1.0,Hispanic or Latino,Not Specified,1,Simple Assault,1.0,Residence,Anti-Jewish,Individual,S,S
2009,Other,NE,Nebraska,2009-05-01,0.0,0.0,1,0.0,1.0,Black or African American,Not Hispanic or Latino,1,Intimidation,1.0,Other,Anti-Gay (Female),Individual,S,S
2011,College/University,IL,Illinois,2011-11-05,0.0,0.0,1,0.0,1.0,White,No Ethnicity,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
2012,Other,HI,Hawaii,2012-04-15,0.0,0.0,1,0.0,1.0,Unknown,Not Specified,1,Simple Assault,1.0,Residence,Anti-Homosexual,Individual,S,S
2007,City,IN,Indiana,2007-06-14,0.0,0.0,1,0.0,1.0,White,No Ethnicity,1,Simple Assault,1.0,Residence,Anti-Jewish,Individual,S,S
2003,College/University,MI,Michigan,2003-03-17,1.0,0.0,1,1.0,0.0,Hispanic or Latino,Not Hispanic or Latino,1,Simple Assault,1.0,Residence,Anti-Gay (Male),Individual,S,S
2001,Other,VT,Vermont,2001-01-09,0.0,0.0,1,0.0,1.0,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Other,Anti-White,Individual,S,S
2013,College/University,CO,Colorado,2013-09-20,0.0,0.0,1,0.0,1.0,Black or African American,Not Hispanic or Latino,1,Simple Assault,1.0,Other,Anti-Gay (Female),Individual,S,S
1996,City,ME,Maine,1996-07-11,0.0,0.0,1,0.0,1.0,White,No Ethnicity,1,Larceny-Theft,1.0,Residence,Anti-Homosexual,Individual,S,S
2006,City,MD,Maryland,2006-04-18,0.0,0.0,1,0.0,1.0,Unknown,Not Specified,1,Simple Assault,1.0,Residence,Anti-Asian,Individual,S,S
2000,City,SC,South Carolina,2000-10-28,0.0,0.0,1,0.0,1.0,White,No Ethnicity,1,Simple Assault,1.0,Residence,Anti-Homosexual,Individual,S,S
2005,Other,WY,Wyoming,2005-01-29,0.0,0.0,1,0.0,1.0,Black or African American,Not Hispanic or Latino,1,Simple Assault,1.0,Residence,Anti-Jewish,Individual,S,S
