"date","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"2001","City","TX","Texas","2001-08-05",1.0,0.0,2.0,2.0,0.0,"Unknown","Not Specified",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Hispanic or Latino","Individual","S","S"
"2008","Suburban","GA","Georgia","2008-04-02",2.0,1.0,3.0,2.0,1.0,"Asian","Not Specified",3,"Aggravated Assault",3.0,"School/College","Anti-White","Other","S","S"
"1999","Rural","IL","Illinois","1999-11-18",0.0,1.0,1.0,1.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Vandalism",1.0,"Park/Recreation Area","Anti-Gay (Female)","Individual","S","S"
"2003","City","NY","New York","2003-10-17",3.0,0.0,2.0,2.0,0.0,"White","Not Specified",3,"Intimidation",3.0,"Public Housing","Anti-Jewish","Other","S","S"
"2009","Suburban","FL","Florida","2009-06-25",1.0,0.0,2.0,2.0,0.0,"Unknown","Not Specified",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Multiple Groups","Individual","S","S"
"1993","Rural","NC","North Carolina","1993-07-07",0.0,1.0,1.0,1.0,0.0,"Asian","Not Hispanic or Latino",1,"Intimidation",1.0,"Public Housing","Anti-Hispanic or Latino","Individual","S","S"
"2006","City","PA","Pennsylvania","2006-02-23",2.0,0.0,3.0,3.0,0.0,"White","Not Specified",2,"Vandalism",2.0,"Park/Recreation Area","Anti-Multiple Groups","Individual","S","S"
"2012","Suburban","OH","Ohio","2012-09-15",1.0,0.0,2.0,2.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Asian","Individual","S","S"
"1996","Rural","IN","Indiana","1996-09-29",0.0,1.0,1.0,1.0,0.0,"Unknown","Not Specified",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Gay (Male)","Individual","S","S"
"2000","City","MA","Massachusetts","2000-07-31",3.0,0.0,2.0,2.0,0.0,"White","Not Specified",3,"Aggravated Assault",3.0,"School/College","Anti-Black or African American","Other","S","S"
"2005","Suburban","SC","South Carolina","2005-03-22",2.0,1.0,3.0,2.0,1.0,"Asian","Not Hispanic or Latino",3,"Intimidation",3.0,"Public Housing","Anti-Gay (Female)","Other","S","S"
"1994","Rural","MI","Michigan","1994-06-16",0.0,1.0,1.0,1.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-White","Individual","S","S"
"2010","City","NM","New Mexico","2010-08-01",1.0,0.0,2.0,2.0,0.0,"Unknown","Not Specified",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Multiple Groups","Individual","S","S"
"1995","Suburban","NV","Nevada","1995-11-08",0.0,1.0,1.0,1.0,0.0,"White","Not Specified",1,"Vandalism",1.0,"Park/Recreation Area","Anti-Asian","Individual","S","S"
"2002","Rural","TN","Tennessee","2002-03-25",0.0,1.0,1.0,1.0,0.0,"Asian","Not Hispanic or Latino",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Gay (Female)","Individual","S","S"
"2004","City","WI","Wisconsin","2004-04-10",1.0,0.0,2.0,2.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Jewish","Individual","S","S"
"2007","Suburban","KY","Kentucky","2007-05-19",2.0,1.0,3.0,2.0,1.0,"White","Not Specified",3,"Aggravated Assault",3.0,"School/College","Anti-Hispanic or Latino","Other","S","S"
"2009","Rural","AL","Alabama","2009-09-15",0.0,1.0,1.0,1.0,0.0,"Unknown","Not Specified",1,"Intimidation",1.0,"Public Housing","Anti-Asian","Individual","S","S"
"1998","City","AZ","Arizona","1998-02-23",1.0,0.0,2.0,2.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Multiple Groups","Individual","S","S"
"2003","Suburban","CO","Colorado","2003-09-27",2.0,1.0,3.0,2.0,1.0,"White","Not Specified",3,"Vandalism",3.0,"Park/Recreation Area","Anti-Gay (Female)","Other","S","S"
"1993","Rural","OK","Oklahoma","1993-04-02",0.0,1.0,1.0,1.0,0.0,"Unknown","Not Specified",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Hispanic or Latino","Individual","S","S"
