"date","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1","1992","Law Enforcement","NY","New York","1992-01-01","1","0","1","1","0","White","Non-Hispanic","1","Larceny/Theft","1","New York","Anti-White Bias","Adult","True","False"
"2","1993","Local Police Department","CA","California","1993-02-02","0","1","1","0","1","Asian","Non-Hispanic","1","Simple Assault","1","Los Angeles","Anti-Asian Bias","Juvenile","False","False"
"3","1994","State Police","TX","Texas","1994-03-03","1","0","2","1","1","Black","Non-Hispanic","2","Vandalism","2","Houston","Anti-Black Bias","Adult","True","False"
"4","1995","Federal Police","FL","Florida","1995-04-04","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Miami","Anti-Hispanic Bias","Adult","False","False"
"5","1996","Sheriff's Department","GA","Georgia","1996-05-05","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Atlanta","Anti-White Bias","Adult","True","False"
"6","1997","City Police Department","IL","Illinois","1997-06-06","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Chicago","Anti-Asian Bias","Juvenile","False","False"
"7","1998","County Police Department","NC","North Carolina","1998-07-07","2","0","2","2","0","Black","Non-Hispanic","2","Simple Assault","2","Raleigh","Anti-Black Bias","Adult","True","False"
"8","1999","Town Police Department","OH","Ohio","1999-08-08","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Columbus","Anti-Hispanic Bias","Adult","False","False"
"9","2000","Village Police Department","NJ","New Jersey","2000-09-09","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Newark","Anti-White Bias","Adult","True","False"
"10","2001","City Police Department","MI","Michigan","2001-10-10","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Detroit","Anti-Asian Bias","Juvenile","False","False"
"11","2002","County Police Department","SC","South Carolina","2002-11-11","2","0","2","2","0","Black","Non-Hispanic","2","Simple Assault","2","Columbia","Anti-Black Bias","Adult","True","False"
"12","2003","Town Police Department","TN","Tennessee","2003-12-12","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Nashville","Anti-Hispanic Bias","Adult","False","False"
"13","2004","Village Police Department","IN","Indiana","2004-01-13","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Indianapolis","Anti-White Bias","Adult","True","False"
"14","2005","Local Police Department","OR","Oregon","2005-02-14","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Portland","Anti-Asian Bias","Juvenile","False","False"
"15","2006","State Police","AZ","Arizona","2006-03-15","1","0","2","1","1","Black","Non-Hispanic","2","Vandalism","2","Phoenix","Anti-Black Bias","Adult","True","False"
"16","2007","Federal Police","CT","Connecticut","2007-04-16","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Hartford","Anti-Hispanic Bias","Adult","False","False"
"17","2008","Sheriff's Department","WI","Wisconsin","2008-05-17","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Madison","Anti-White Bias","Adult","True","False"
"18","2009","City Police Department","VA","Virginia","2009-06-18","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Richmond","Anti-Asian Bias","Juvenile","False","False"
