"activity_year","derived_msa-md","state_code","county_code","census_tract","derived_loan_product_type","derived_dwelling_category","derived_ethnicity","derived_race","derived_sex","action_taken","loan_purpose","loan_amount","loan_to_value_ratio","interest_rate","rate_spread","hoepa_status","total_loan_costs","total_points_and_fees","origination_charges","discount_points","lender_credits","loan_term","prepayment_penalty_term","intro_rate_period","negative_amortization","interest_only_payment","balloon_payment","other_nonamortizing_features","property_value","construction_method","occupancy_type","manufactured_home_secured_property_type","manufactured_home_land_property_interest","total_units","multifamily_affordable_units","income","debt_to_income_ratio","applicant_credit_score_type","co-applicant_credit_score_type","applicant_ethnicity-1","co-applicant_ethnicity-1","applicant_ethnicity_observed","co-applicant_ethnicity_observed","applicant_race-1","co-applicant_race-1","applicant_race_observed","co-applicant_race_observed","applicant_sex","co-applicant_sex","applicant_sex_observed","co-applicant_sex_observed","applicant_age","co-applicant_age","applicant_age_above_62","co-applicant_age_above_62","submission_of_application","initially_payable_to_institution"
2024,2735,MD,27038.0,27038263001.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,File closed for incompleteness,49,23000.0,,,,5,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,112.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,9999,Yes,,1,1
2024,1255,CA,45192.0,45192478301.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,6,32,410000.0,,3.5,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,45-54,9999,Yes,,1,1
2024,99999,FL,91132.0,91132994580.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,File closed for incompleteness,32,210000.0,,6.875,,2,15810.00,,10729.9,9000.0,,300.0,,,2,2,2,2,250000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,OH,16261.0,16261009250.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,32,290000.0,,6.875,,2,20319.05,,13721.8,10000.0,,300.0,,,2,2,2,2,280000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12345,NY,98379.0,98379640100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,49,250000.0,,6.875,,2,18109.05,,12629.8,10000.0,,300.0,,,2,2,2,2,260000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,MA,15597.0,15597452701.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,File closed for incompleteness,32,320000.0,,5.0,,2,16000.00,,11200.0,8000.0,,300.0,,,2,2,2,2,300000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,GA,17361.0,17361046756.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,File closed for incompleteness,49,280000.0,,5.0,,2,14000.00,,10000.0,8000.0,,300.0,,,2,2,2,2,290000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,IL,91138.0,91138916920.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application denied,49,360000.0,,6.875,,2,24419.05,,16821.8,10000.0,,300.0,,,2,2,2,2,350000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12345,NC,46594.0,46594164188.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,File closed for incompleteness,32,380000.0,,6.875,,2,25692.05,,18221.8,15000.0,,300.0,,,2,2,2,2,390000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,CO,99580.0,99580491500.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application denied,49,420000.0,,6.875,,2,28892.05,,20421.8,15000.0,,300.0,,,2,2,2,2,430000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,SC,98755.0,98755614500.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,6,32,450000.0,,5.0,,2,18000.00,,12600.0,10000.0,,300.0,,,2,2,2,2,470000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,TX,91495.0,91495343270.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,500000.0,,6.875,,2,34092.05,,24621.8,15000.0,,300.0,,,2,2,2,2,520000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12345,AK,91211.0,91211520800.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,32,580000.0,,6.875,,2,39692.05,,28221.8,20000.0,,300.0,,,2,2,2,2,600000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,OR,46567.0,46567634400.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,680000.0,,6.875,,2,44092.05,,30621.8,20000.0,,300.0,,,2,2,2,2,700000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,WI,91125.0,91125665200.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,32,820000.0,,6.875,,2,56092.05,,39621.8,25000.0,,300.0,,,2,2,2,2,850000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,UT,98798.0,98798781200.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,980000.0,,6.875,,2,66092.05,,46821.8,30000.0,,300.0,,,2,2,2,2,1000000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12345,IN,91142.0,91142312980.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,6,32,1140000.0,,6.875,,2,76092.05,,52821.8,35000.0,,300.0,,,2,2,2,2,1200000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,IA,46589.0,46589485500.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,1400000.0,,6.875,,2,88092.05,,60821.8,40000.0,,300.0,,,2,2,2,2,1500000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,KS,91413.0,91413517500.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,49,1800000.0,,6.875,,2,100892.05,,68421.8,45000.0,,300.0,,,2,2,2,2,1900000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,MO,91478.0,91478428100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,2200000.0,,6.875,,2,120892.05,,82821.8,50000.0,,300.0,,,2,2,2,2,2300000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12345,NE,91151.0,91151300880.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,6,32,2700000.0,,6.875,,2,140892.05,,96621.8,60000.0,,300.0,,,2,2,2,2,2800000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,NM,98785.0,98785734900.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,3200000.0,,6.875,,2,160892.05,,108621.8,70000.0,,300.0,,,2,2,2,2,3300000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,ND,91135.0,91135481250.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,49,3800000.0,,6.875,,2,180892.05,,126621.8,80000.0,,300.0,,,2,2,2,2,3900000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,SD,98794.0,98794813100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,4400000.0,,6.875,,2,200892.05,,142621.8,90000.0,,300.0,,,2,2,2,2,4500000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12345,MT,91163.0,91163452180.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,6,32,5200000.0,,6.875,,2,220892.05,,153621.8,100000.0,,300.0,,,2,2,2,2,5300000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,WY,98777.0,98777614200.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,6000000.0,,6.875,,2,240892.05,,168621.8,110000.0,,300.0,,,2,2,2,2,6100000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,AL,91184.0,91184632190.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,49,6800000.0,,6.875,,2,260892.05,,182621.8,120000.0,,300.0,,,2,2,2,2,6900000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,OK,98791.0,98791303800.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,7800000.0,,6.875,,2,280892.05,,196621.8,130000.0,,300.0,,,2,2,2,2,7900000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12345,AR,91195.0,91195922541.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,6,32,9000000.0,,6.875,,2,300892.05,,210621.8,140000.0,,300.0,,,2,2,2,2,9100000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,LA,46574.0,46574824400.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,10000000.0,,6.875,,2,320892.05,,230621.8,150000.0,,300.0,,,2,2,2,2,10000000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,MS,91109.0,91109419550.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,49,12000000.0,,6.875,,2,360892.05,,252621.8,170000.0,,300.0,,,2,2,2,2,12000000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,TN,91123.0,91123444730.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,14000000.0,,6.875,,2,400892.05,,274621.8,180000.0,,300.0,,,2,2,2,2,14000000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12345,KY,46582.0,46582518200.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,49,16000000.0,,6.875,,2,440892.05,,296621.8,190000.0,,300.0,,,2,2,2,2,16000000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,DE,91135.0,91135668550.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,18000000.0,,6.875,,2,480892.05,,318621.8,200000.0,,300.0,,,2,2,2,2,18000000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,RI,46588.0,46588933400.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,49,20000000.0,,6.875,,2,520892.05,,340621.8,210000.0,,300.0,,,2,2,2,2,20000000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,WV,91147.0,91147413700.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,22000000.0,,6.875,,2,560892.05,,362621.8,220000.0,,300.0,,,2,2,2,2,22000000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12345,VT,91158.0,91158304000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,6,32,24000000.0,,6.875,,2,600892.05,,384621.8,240000.0,,300.0,,,2,2,2,2,24000000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,ME,46595.0,46595892100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,26000000.0,,6.875,,2,640892.05,,406621.8,260000.0,,300.0,,,2,2,2,2,26000000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,NH,91161.0,91161611300.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,49,30000000.0,,6.875,,2,680892.05,,428621.8,280000.0,,300.0,,,2,2,2,2,30000000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,MN,91165.0,91164352390.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,34000000.0,,6.875,,2,720892.05,,450621.8,300000.0,,300.0,,,2,2,2,2,34000000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12345,MI,46502.0,46502148100.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,6,32,38000000.0,,6.875,,2,760892.05,,472621.8,320000.0,,300.0,,,2,2,2,2,38000000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,1255,IL,91169.0,91169513580.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,49,42000000.0,,6.875,,2,800892.05,,494621.8,400000.0,,300.0,,,2,2,2,2,42000000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,99999,WI,91171.0,91171432180.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Application denied,49,48000000.0,,6.875,,2,840892.05,,,,300.0,,,2,2,2,2,48000000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,12054,OH,46506.0,46506084900.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,32,52000000.0,,6.875,,2,880892.05,,,,300.0,,,2,2,2,2,52000000.0,1,1,3,5,1,,96.0,,3,10,3.0,5.0,3,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
