activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
"2024","Bridgeport-Stamford-Norwalk, CT",CT,490,0835848200.0,"Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","White","Female","File closed for incompleteness",33,18000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
"2024","Los Angeles-Long Beach-Anaheim, CA",CA,611,0595232000.0,"FHA:Manufactured Home","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","American Indian or Alaska Native","Male","File closed for incompleteness",32,36000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
"2024","New York-Newark-Jersey City, NY-NJ-PA",NY,101,0544368200.0,"Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","White","Female","File closed for incompleteness",33,24000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
"2024","Chicago-Naperville-Elgin, IL-IN-WI",IL,170,0593876000.0,"FHA:Manufactured Home","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness",32,42000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
"2024","Dallas-Fort Worth-Arlington, TX",TX,480,0594831200.0,"Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Black or African American","Female","File closed for incompleteness",33,30000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
"2024","Washington-Baltimore-Arlington, DC-MD-VA",DC,530,0593876200.0,"FHA:Manufactured Home","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Asian","Male","File closed for incompleteness",32,48000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
"2024","Houston-The Woodlands-Sugar Land, TX",TX,390,0831444800.0,"Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","White","Female","File closed for incompleteness",33,36000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
"2024","Miami-Fort Lauderdale-West Palm Beach, FL",FL,420,0833868000.0,"FHA:Manufactured Home","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black or African American","Male","File closed for incompleteness",32,54000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
"2024","San Francisco-Oakland-Berkeley, CA",CA,710,0833868400.0,"Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","White","Female","File closed for incompleteness",33,60000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
"2024","Boston-Cambridge-Nashua, MA-NH",MA,150,0833868400.0,"FHA:Manufactured Home","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Asian","Male","File closed for incompleteness",32,72000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
