"EmployerName","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","EmployerSize","DateSubmitted"
"Budge & Sons Ltd","64209,64290",20.8,32.5,75.2,22.1,58.7,61.9,28.4,75.8,32.4,83.1,27.8,75.5,63.4,45.2,500-999,2025-03-25 17:40:59
"Greenwood Property Co Ltd","55100,55110",-14.9,-1.4,21.9,0.0,24.4,25.4,43.1,49.0,51.2,47.0,56.5,43.0,50.9,49.9,1000-4999,2025-05-05 17:21:58
"Granville Investments Ltd","64210",35.4,25.0,85.4,29.8,54.0,58.0,35.4,62.5,38.4,72.0,35.9,65.5,42.4,54.2,1000-4999,2025-04-08 14:11:10
"Brookson Legal Services Ltd","64220,64230",-15.3,4.7,35.9,5.5,28.4,31.0,59.3,54.4,56.9,52.0,56.4,52.5,62.2,56.6,250-499,2025-04-18 17:52:28
"Red Oak Companies Ltd","64240,64250",-2.1,-0.8,20.0,-0.8,22.1,22.3,61.3,59.3,64.5,58.5,64.8,58.8,66.3,61.8,500-999,2025-03-18 13:20:28
"Wright Bussell Ltd","64260,64270",-12.8,-9.5,40.2,-18.2,27.8,29.9,45.2,50.0,51.5,47.5,53.5,48.2,59.6,51.4,1000-4999,2025-04-26 18:10:53
"Ernest Jones Ltd","64280,64290",12.2,15.3,18.3,13.8,23.6,24.5,66.2,74.3,61.1,71.0,59.8,68.0,66.1,72.4,500-999,2025-04-20 15:27:21
"Maxim Property Services Ltd","55100,55110",-11.3,-0.4,15.4,1.9,21.0,22.1,58.3,55.1,59.8,54.9,59.8,55.1,64.5,60.2,1000-4999,2025-05-05 16:42:29
"Britannia Fire Ltd","64209,64220",-16.2,5.1,44.5,-2.1,32.3,34.1,33.4,41.5,37.8,39.9,41.8,38.0,49.9,42.4,250-499,2025-03-30 19:55:39
"Northstone (UK) Ltd","64230,64240",-8.2,-4.8,18.3,-4.1,23.6,24.9,47.0,51.5,51.3,48.5,52.5,49.0,59.4,52.9,500-999,2025-04-17 17:04:16
"Westcare Holdings Ltd","55100,55110",16.5,13.3,22.9,15.9,25.6,26.8,55.6,61.0,58.9,55.2,58.9,55.4,62.1,60.6,1000-4999,2025-05-02 18:31:03
"Wood Group Energy Ltd","64209,64220",-14.5,-1.9,15.8,1.2,24.0,25.1,48.4,54.2,52.5,50.4,53.6,51.2,59.2,53.8,500-999,2025-03-28 16:44:19
"Britannia Fire Ltd","64210,64220",13.2,9.8,30.9,-9.1,30.1,31.3,41.1,45.0,43.5,41.5,44.5,41.5,46.9,43.9,250-499,2025-03-25 11:14:48
"Lindel Services Ltd","64230,64240",-24.9,-13.9,45.5,-19.6,29.4,30.9,37.3,42.1,39.1,36.9,40.9,38.8,43.8,40.2,1000-4999,2025-04-26 14:45:53
"Wood Group Energy Ltd","64250,64260",-22.8,-11.2,37.1,-12.9,27.9,29.2,38.8,43.2,41.2,39.3,42.2,40.2,45.4,42.1,500-999,2025-03-30 13:37:49
"Maxim Property Services Ltd","64280,64300",-11.9,-2.9,13.2,-0.2,21.2,22.2,54.9,59.3,59.8,56.1,60.4,57.3,65.6,61.9,250-499,2025-04-29 17:41:53
"Eclipse Holdings Ltd","55100,55110",-5.1,0.6,21.2,0.0,23.6,24.5,49.0,52.3,51.0,49.5,51.5,50.0,59.4,55.1,1000-4999,2025-04-14 11:52:57
"Valley Healthcare Ltd","64209,64220",-17.5,-4.4,36.9,-7.5,30.0,31.3,36.5,40.5,39.5,37.2,40.5,38.0,45.8,41.1,250-499,2025-03-29 17:29:48
"Britannia Fire Ltd","64210,64230",-5.8,-0.2,25.5,0.0,26.2,26.8,45.8,50.9,47.0,46.0,47.9,49.0,53.1,48.8,500-999,2025-04-19 17:05:23
"Wright Bussell Ltd","64240,64250",-7.4,-2.6,19.8,-2.7,24.0,25.1,53.2,56.1,55.0,53.4,55.5,54.0,60.4,57.1,1000-4999,2025-04-29 15:33:39
"Greenwood Property Co Ltd","64260,64270",13.1,10.4,28.1,4.2,25.4,26.3,43.4,48.2,45.8,43.4,45.5,44.4,50.9,46.4,500-999,2025-04-05 11:35:20
"Eclipse Holdings Ltd","64280,64290",-10.8,-3.8,25.9,-2.4,25.6,26.8,55.6,60.4,59.8,57.4,60.0,59.0,65.4,62.2,250-499,2025-03-31 17:34:57
"Wood Group Energy Ltd","64209,64220",-21.3,-12.2,36.9,-18.2,30.2,31.5,41.3,46.4,42.4,40.3,43.9,41.9,49.1,43.4,1000-4999,2025-03-29 13:56:37
"Wright Bussell Ltd","64230,64240",-9.8,-4.2,22.1,-4.9,23.6,24.7,53.1,57.5,54.2,52.4,54.9,52.5,59.2,55.6,500-999,2025-04-03 15:10:41
"Britannia Fire Ltd","64250,64260",-15.4,-8.4,36.1,-12.4,29.5,30.8,43.8,48.0,45.8,43.4,46.5,44.1,50.0,46.3,250-499,2025-03-31 16:30:31
"Wright Bussell Ltd","64260,64270",-13.2,-7.5,39.6,-11.8,31.2,32.4,49.5,53.8,51.0,49.5,52.2,51.4,56.1,52.3,1000-4999,2025-04-10 12:43:55
"Wright Bussell Ltd","64280,64290",-20.9,-15.9,45.6,-22.9,31.2,32.6,46.0,51.1,49.0,46.5,49.8,48.4,53.1,49.5,500-999,2025-03-25 16:45:19
"Greenwood Property Co Ltd","64210,64220",20.8,32.5,75.2,22.1,58.7,61.9,28.4,75.8,32.4,83.1,27.8,75.5,63.4,45.2,1000-4999,2025-04-25 16:38:07
"Britannia Fire Ltd","64240,64250",-18.8,-11.2,42.5,-19.2,31.2,32.4,34.5,39.6,37.4,35.3,38.9,37.4,43.8,39.3,250-499,2025-05-02 16:19:42
"Eclipse Holdings Ltd","64260,64270",-14.5,-8.4,29.8,-13.4,26.3,27.4,50.9,55.4,52.2,50.4,52.4,51.0,58.1,53.5,1000-4999,2025-04-04 14:14:00
"Lindel Services Ltd","64280,64290",-8.8,-2.5,19.8,-0.4,23.6,24.7,52.3,57.3,55.8,53.3,56.0,54.5,61.1,58.3,500-999,2025-04-08 15:41:12
"Valley Healthcare Ltd","64209,64220",-10.6,-3.1,32.2,-5.5,29.8,30.9,43.6,48.9,44.9,43.3,45.2,44.1,50.0,46.9,250-499,2025-04-16 18:15:06
"Eclipse Holdings Ltd","64210,64230",-21.5,-14.1,39.8,-21.6,27.8,28.9,43.2,48.5,44.2,43.4,45.5,44.4,50.9,46.5,1000-4999,2025-04-07 14:17:22
"Wood Group Energy Ltd","64230,64240",-18.4,-11.4,31.8,-16.2,28.3,29.6,44.0,49.5,45.3,44.0,46.3,45.8,50.9,47.0,500-999,2025-04-26 16:54:17
"Maxim Property Services Ltd","64250,64260",-12.2,-6.7,25.9,-9.8,24.5,25.6,51.1,55.8,53.8,51.5,53.4,52.4,59.1,55.3,250-499,2025-03-26 18:10:29
"Eclipse Holdings Ltd","64260,64270",-15.4,-9.9,32.5,-16.7,28.2,29.3,47.4,52.6,48.9,47.4,49.4,48.1,53.9,49.4,1000-4999,2025-04-14 14:33:31
"Lindel Services Ltd","64280,64290",-11.9,-5.4,24.8,-7.6,25.6,26.7,51.9,56.8,53.2,51.8,53.6,52.5,58.6,54.2,500-999,2025-04-03 13:29:44
"Budge & Sons Ltd","64209,64220",13.5,10.2,29.5,-0.6,27.4,28.3,43.6,48.6,45.9,44.3,46.4,45.8,51.2,48.2,250-499,2025-03-28 14:44:55
"Wright Bussell Ltd","64210,64230",-8.5,-3.1,24.8,-2.1,25.6,26.7,52.6,57.4,55.0,53.3,55.4,54.4,59.4,56.4,1000-4999,2025-04-03 10:53:00
