"EmployerName","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","EmployerSize","DateSubmitted"
"Simpson & Marlow LLP", "64209", "18.9", "12.3", "51.3", "25.5", "60.8", "68.4", "22.3", "71.5", "17.4", "80.4", "32.8", "76.4", "58.3", "45.7", "200-499", "2024-09-15 08:30:11"
"Harrison & Co Solicitors Ltd", "69109", "29.4", "19.9", "75.6", "36.2", "54.2", "66.7", "24.6", "75.9", "19.2", "82.3", "28.9", "73.3", "56.7", "42.9", "1000-1999", "2025-01-20 14:02:43"
"Paul Wells Partner Limited", "74120", "15.8", "8.2", "45.6", "21.3", "58.3", "67.9", "26.4", "72.2", "21.1", "78.5", "35.3", "75.6", "59.1", "47.4", "500-999", "2024-10-02 11:41:19"
"Moffat & Co Solicitors Ltd", "69109", "20.8", "14.4", "60.4", "28.3", "61.2", "69.4", "23.4", "74.3", "18.4", "81.9", "31.4", "76.8", "59.4", "46.3", "1000-1999", "2025-03-10 17:04:23"
"Stanton & Co Solicitors", "64209", "26.4", "17.3", "71.4", "32.2", "55.6", "67.2", "25.7", "73.4", "20.5", "79.5", "32.4", "75.2", "58.4", "45.2", "500-999", "2024-08-19 09:50:33"
"Reed & Co Solicitors Ltd", "69109", "24.4", "16.8", "65.9", "30.8", "59.5", "68.2", "24.2", "75.1", "19.9", "81.1", "30.9", "77.4", "60.3", "47.7", "200-499", "2025-02-15 12:22:09"
"Edwards & Co Solicitors", "64209", "22.7", "15.3", "59.2", "27.6", "60.3", "68.1", "23.3", "73.8", "19.6", "80.3", "31.4", "76.9", "59.6", "46.5", "200-499", "2025-04-09 14:48:21"
"Bradley & Co Solicitors Ltd", "69109", "28.3", "20.3", "73.8", "35.3", "56.5", "66.1", "25.9", "74.9", "20.8", "79.4", "33.9", "75.9", "61.3", "48.2", "1000-1999", "2025-01-29 10:35:57"
"Simmons & Co Solicitors", "64209", "25.6", "18.1", "69.2", "31.4", "58.8", "66.9", "24.3", "74.4", "20.1", "80.7", "32.7", "76.1", "60.1", "46.4", "200-499", "2024-09-24 13:05:51"
"Morgan & Co Solicitors Ltd", "69109", "23.2", "15.9", "62.3", "28.9", "60.4", "68.3", "23.8", "74.2", "19.4", "81.3", "31.1", "77.3", "61.6", "48.7", "1000-1999", "2025-03-24 16:50:19"
"James & Co Solicitors", "64209", "21.8", "14.7", "58.3", "26.7", "59.9", "67.3", "24.6", "73.5", "20.3", "79.1", "30.9", "75.7", "61.1", "47.9", "500-999", "2025-02-04 14:51:43"
"Brown & Co Solicitors Ltd", "69109", "27.8", "19.7", "71.1", "32.9", "57.8", "66.3", "25.5", "75.5", "20.6", "81.4", "33.3", "76.7", "62.4", "49.2", "1000-1999", "2025-04-22 17:29:49"
"Smith & Co Solicitors", "64209", "24.9", "17.2", "66.9", "31.5", "59.1", "67.8", "24.8", "74.6", "21.1", "80.5", "32.4", "77.1", "61.8", "48.9", "500-999", "2025-01-14 09:10:27"
"Baker & Co Solicitors Ltd", "69109", "26.1", "18.6", "68.4", "31.9", "58.6", "66.9", "25.3", "74.1", "20.9", "81.2", "32.9", "76.9", "62.7", "50.1", "1000-1999", "2024-10-16 14:48:55"
"Clarke & Co Solicitors", "64209", "23.6", "16.1", "61.4", "29.3", "60.3", "68.2", "24.4", "74.1", "20.4", "80.8", "31.5", "77.4", "62.3", "49.7", "500-999", "2025-03-15 11:33:53"
"Thomas & Co Solicitors Ltd", "69109", "25.8", "18.5", "69.3", "32.4", "58.1", "66.8", "25.7", "74.8", "21.3", "80.6", "33.4", "77.3", "63.5", "51.3", "1000-1999", "2025-02-11 15:11:03"
"Davis & Co Solicitors", "64209", "22.1", "14.9", "56.9", "26.4", "59.9", "67.5", "24.8", "74.3", "20.6", "79.4", "30.9", "76.5", "63.3", "50.1", "500-999", "2025-04-17 17:07:49"
"Roberts & Co Solicitors Ltd", "69109", "28.1", "20.2", "74.5", "36.4", "56.7", "65.9", "26.4", "75.2", "21.6", "81.9", "34.3", "77.8", "65.6", "53.5", "1000-1999", "2025-01-06 10:51:07"
