MISHCON DE REYA GROUP (OPERATIONS) LIMITED,  64209,  25.9,  18.5,  57.1,  10.2,  52.1,  71.4,  30.6,  95.3,  22.9,  60.1,  31.9,  80.3,  35.6,  45.4,  400-499,  2025-03-28 12:34:11
COMPREHENSIVE PROBATE SERVICES LIMITED,  70200,  12.3,  7.8,  65.6,  25.6,  65.4,  63.2,  26.4,  98.7,  17.3,  40.8,  29.1,  75.4,  41.9,  44.9,  500-999,  2025-02-12 09:45:23
WILSONS THE LEATHER Experts LIMITED,  45200,  28.9,  21.4,  55.9,  35.9,  55.2,  74.1,  31.2,  94.5,  20.1,  50.3,  33.8,  83.2,  36.5,  45.8,  1000-+,  2025-04-11 14:26:49
SPACE STATION LIMITED,  68209,  24.5,  17.2,  60.5,  15.2,  59.4,  70.6,  28.3,  92.4,  19.5,  45.7,  30.9,  81.1,  38.2,  46.2,  500-999,  2025-01-20 11:01:15
BLOOMBERG (UK) LIMITED,  69209,  38.3,  29.4,  48.9,  40.9,  49.2,  61.8,  35.6,  96.6,  25.6,  58.1,  38.5,  86.9,  42.9,  47.1,  500-999,  2025-03-15 15:49:42
STOCKHOLM SECURITY LIMITED,  64190,  22.1,  15.3,  62.5,  20.1,  62.9,  69.3,  32.4,  97.4,  18.1,  42.4,  34.7,  79.3,  39.1,  46.6,  500-999,  2025-02-22 10:51:39
ALTON TOWERS RESORTS LIMITED,  64209,  29.2,  21.8,  58.5,  26.2,  58.9,  71.1,  29.8,  93.4,  21.2,  46.7,  32.5,  82.4,  36.6,  46.3,  1000-+,  2025-04-08 13:22:06
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,  85110,  20.5,  13.7,  66.8,  14.9,  66.4,  68.4,  31.5,  95.6,  16.4,  43.4,  33.2,  78.5,  40.3,  47.3,  500-999,  2025-01-25 10:39:18
AIRTOOL LIMITED,  64209,  32.2,  24.1,  61.8,  32.8,  61.2,  76.9,  27.2,  90.5,  23.7,  52.1,  36.4,  80.1,  34.4,  46.9,  500-999,  2025-03-28 14:47:51
KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,  85110,  18.3,  10.9,  69.1,  11.9,  69.7,  70.8,  29.4,  96.2,  14.3,  41.6,  32.5,  77.4,  38.8,  46.8,  500-999,  2025-02-15 12:01:04
BRIGHTON AND HOVE CITY COUNCIL,  85110,  26.2,  18.4,  63.3,  21.4,  63.9,  73.3,  28.6,  94.1,  19.7,  45.9,  34.2,  79.8,  37.3,  46.4,  500-999,  2025-01-18 11:03:56
NEWCASTLE CITY COUNCIL,  85110,  21.9,  14.3,  65.5,  12.9,  65.2,  69.8,  30.4,  97.3,  15.2,  42.3,  31.9,  78.5,  40.4,  47.2,  500-999,  2025-04-02 09:13:41
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,  85110,  25.6,  17.9,  68.4,  16.8,  68.1,  72.4,  31.3,  95.8,  18.8,  43.6,  33.4,  78.3,  39.7,  46.9,  500-999,  2025-03-19 13:35:01
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,  85110,  22.8,  15.1,  69.8,  13.1,  69.5,  71.5,  30.1,  96.9,  16.3,  42.7,  32.7,  78.2,  40.5,  47.1,  500-999,  2025-02-01 12:02:59
BARCLAYS BANK PLC,  64110,  31.9,  23.2,  59.1,  38.5,  59.6,  74.8,  28.3,  91.7,  22.9,  50.4,  35.6,  83.1,  37.1,  47.3,  500-999,  2025-04-12 11:31:58
SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,  85110,  27.4,  20.2,  65.5,  19.9,  65.2,  73.4,  31.3,  94.5,  20.3,  44.4,  34.1,  79.3,  39.5,  47.1,  500-999,  2025-01-29 10:10:05
ROYAL BATH AND NORTH EAST SOMERSET NHS TRUST,  85110,  24.9,  16.5,  68.1,  14.9,  68.5,  72.2,  32.9,  96.1,  18.1,  43.5,  33.2,  78.5,  40.7,  47.3,  500-999,  2025-04-09 14:01:49
MBDA UK LIMITED,  73110,  30.1,  22.9,  58.4,  27.5,  58.9,  75.8,  27.7,  90.2,  22.6,  49.3,  36.4,  80.5,  34.9,  46.8,  500-999,  2025-03-16 12:05:42
BOLTON HOSPITAL NHS TRUST,  85110,  26.5,  19.4,  64.4,  17.3,  64.9,  72.9,  29.6,  94.6,  20.4,  44.1,  33.3,  79.1,  37.2,  46.5,  500-999,  2025-01-24 09:47:19
NHS ENGLAND,  85110,  28.4,  21.2,  67.8,  20.8,  67.5,  74.1,  31.6,  95.4,  21.4,  43.8,  33.5,  78.4,  40.5,  47.2,  500-999,  2025-03-22 10:43:14
NHS ENGLAND,  85110,  25.1,  17.3,  69.5,  13.4,  69.2,  72.8,  31.3,  95.9,  19.1,  43.5,  33.3,  78.2,  40.5,  47.2,  500-999,  2025-02-19 12:00:06
WELSH GOVERNMENT,  85110,  23.9,  15.7,  65.4,  12.3,  65.9,  70.6,  30.9,  97.4,  17.4,  42.2,  32.2,  79.3,  41.3,  47.3,  500-999,  2025-03-05 11:04:22
PETERBOROUGH AND STEWARTBY HEALTHCARE NHS TRUST,  85110,  28.5,  21.8,  66.9,  19.5,  66.4,  73.5,  29.9,  94.9,  21.8,  44.9,  34.8,  79.9,  38.4,  47.2,  500-999,  2025-01-10 10:21:07
