EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
ABC Ltd.,23456,-11.2,-10.5,-12.8,-15.1,25.5,18.2,30,25,40,35,55,50,65,60,500-749,2024-05-15
DEF Corp.,56789,-13.4,-12.2,-16.5,-18.9,28.1,20.4,35,30,45,40,60,55,70,65,750-999,2024-06-22
GHI Plc.,12345,-15.6,-14.1,-18.2,-20.5,30.8,22.1,38,32,48,43,62,57,72,68,1000-1499,2024-07-28
JKL Ltd.,90123,-12.9,-11.7,-14.1,-16.5,26.3,19.1,31,26,41,36,56,51,66,61,1500-1999,2024-03-11
MNO Inc.,45678,-14.3,-13.1,-17.4,-19.8,29.5,21.6,36,31,46,41,58,53,69,64,500-749,2024-09-18
PQR Co.,23456,-10.5,-9.5,-12.2,-14.5,24.9,17.9,29,25,39,34,54,49,63,58,1000-1499,2024-01-25
STU Ltd.,90123,-12.1,-11.1,-13.9,-16.2,27.4,20.2,33,28,42,37,57,52,67,62,2000-2499,2024-08-01
VWX Inc.,56789,-15.9,-14.6,-19.1,-21.4,31.9,23.8,40,35,49,44,61,56,71,66,2500-2999,2024-04-22
YZA Plc.,12345,-13.7,-12.5,-16.9,-19.2,29.1,21.3,37,32,47,42,59,54,70,65,3000-3499,2024-02-15
BBC Ltd.,90123,-11.4,-10.3,-13.6,-15.9,26.6,19.4,30,26,40,35,55,50,64,59,3500-3999,2024-06-01
CDC Inc.,23456,-12.6,-11.4,-14.5,-16.9,28.3,20.8,31,27,41,36,57,52,66,61,4000-4499,2024-09-15
DEF Corp.,56789,-14.9,-13.8,-18.3,-20.7,30.6,22.5,38,33,48,43,62,57,72,67,4500-4999,2024-10-20
EEE Plc.,12345,-10.8,-9.8,-12.9,-15.2,25.2,18.3,29,25,39,34,54,49,62,57,5000-5499,2024-07-05
FFF Ltd.,90123,-13.1,-12.1,-15.4,-17.7,27.7,20.5,33,29,42,37,56,51,66,61,5500-5999,2024-03-28
GGG Inc.,23456,-14.2,-13.1,-17.6,-20.0,29.4,21.4,36,32,46,41,58,53,69,64,6000-6499,2024-04-18
HHH Plc.,56789,-11.6,-10.6,-13.8,-16.1,26.9,19.6,31,27,41,36,55,50,65,60,6500-6999,2024-05-29
III Ltd.,12345,-12.3,-11.3,-14.7,-17.1,28.5,21.1,35,31,45,40,59,54,68,63,7000-7499,2024-06-25
JJJ Inc.,90123,-14.5,-13.4,-18.1,-20.4,30.9,22.9,39,34,49,44,61,56,71,66,7500-7999,2024-08-15
KKK Plc.,23456,-10.2,-9.2,-12.5,-15.0,25.5,18.6,30,26,40,35,54,49,62,57,8000-8499,2024-09-22
LLL Ltd.,56789,-13.5,-12.4,-16.2,-18.6,29.3,21.7,37,33,47,42,60,55,70,65,8500-8999,2024-10-01
MMM Inc.,12345,-11.9,-10.9,-14.2,-16.6,27.2,20.1,32,28,42,37,56,51,66,61,9000-9499,2024-11-17
NNN Plc.,90123,-12.8,-11.7,-15.1,-17.5,28.9,21.5,35,31,45,40,59,54,69,64,9500-9999,2024-01-02
OOO Ltd.,23456,-14.8,-13.7,-18.4,-20.8,31.1,23.3,40,35,50,45,62,57,72,67,10000-10499,2024-02-19
PPP Inc.,56789,-10.4,-9.5,-12.7,-15.1,26.1,19.1,31,27,41,36,55,50,65,60,10500-10999,2024-03-25
QQQ Plc.,12345,-13.0,-12.0,-15.5,-17.9,28.0,20.8,34,30,44,39,58,53,68,63,11000-11499,2024-04-12
RRR Ltd.,90123,-12.5,-11.5,-14.9,-17.3,29.0,21.9,36,32,46,41,60,55,70,65,11500-11999,2024-05-03
SSS Inc.,23456,-14.0,-13.0,-17.3,-19.7,30.5,22.8,38,34,48,43,62,57,72,67,12000-12499,2024-06-08
TTT Plc.,56789,-10.9,-10.0,-13.3,-15.7,26.8,19.9,32,28,42,37,56,51,67,62,12500-12999,2024-07-19
UUU Ltd.,12345,-13.2,-12.2,-16.0,-18.4,29.5,22.0,37,33,47,42,61,56,71,66,13000-13499,2024-08-26
VVV Inc.,90123,-11.7,-10.8,-14.4,-16.8,27.9,20.8,35,31,45,40,59,54,69,64,13500-13999,2024-09-14
WWW Plc.,23456,-14.3,-13.3,-17.7,-20.1,31.3,23.5,40,35,50,45,62,57,72,67,14000-14499,2024-10-29
XXX Ltd.,56789,-10.6,-9.7,-13.0,-15.4,26.4,19.4,33,29,43,38,57,52,67,62,14500-14999,2024-11-10
