2004,City,NJ,New Jersey,2004-05-13,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Other,S,S
1991,County,CA,California,1991-02-07,1,0,1,1,0,White,White,2,Simple Assault,2.0,Residential Area,Anti-White,Adult,White,S,S
2000,City,FL,Florida,2000-08-22,1,0,1,1,0,Asian,Asian,2,Simple Assault,2.0,Residential Area,Anti-Asian,Other,Asian,S,S
2009,County,IL,Illinois,2009-06-18,0,1,1,1,0,Unknown,Unknown,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-Gay/Lesbian,Bisexual,White,S,S
1995,City,NC,North Carolina,1995-04-23,1,0,1,1,0,Black or African American,Black or African American,2,Vandalism,2.0,Residential Area,Anti-Black or African American,Adult,Other,S,S
2012,City,OH,Ohio,2012-01-24,0,1,1,1,0,Unknown,Unknown,2,Simple Assault,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Asian,S,S
2008,County,GA,Georgia,2008-09-01,1,0,2,1,1,White,White,3,Simple Assault,3.0,Residential Area,Anti-White,Other,Other,S,S
1998,City,MI,Michigan,1998-12-05,0,1,0,0,1,Asian,Asian,2,Destruction/Damage/Vandalism of Property,2.0,Residential Area,Anti-Asian,Adult,White,S,S
2005,City,TX,Texas,2005-03-30,1,0,1,1,0,Unknown,Unknown,2,Civil Rights,2.0,Residential Area,Anti-Black or African American,Adult,Other,S,S
2011,City,LA,Louisiana,2011-07-17,0,1,1,1,0,Black or African American,Black or African American,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-Gay/Lesbian,Adult,White,S,S
2002,City,PA,Pennsylvania,2002-09-25,1,0,1,1,0,Asian,Asian,2,Simple Assault,2.0,Residential Area,Anti-Asian,Adult,Asian,S,S
2014,City,IN,Indiana,2014-06-30,0,1,1,1,0,Unknown,Unknown,2,Destruction/Damage/Vandalism of Property,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Other,S,S
2003,City,SC,South Carolina,2003-02-15,1,0,1,1,0,White,White,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-Black or African American,Adult,White,S,S
1994,City,AK,Alaska,1994-07-29,1,0,1,1,0,Black or African American,Black or African American,2,Simple Assault,2.0,Residential Area,Anti-Asian,Adult,Other,S,S
2007,City,MO,Missouri,2007-08-30,0,1,1,1,0,Unknown,Unknown,2,Civil Rights,2.0,Residential Area,Anti-Black or African American,Adult,Asian,S,S
2013,City,ME,Maine,2013-03-12,1,0,1,1,0,White,White,2,Destruction/Damage/Vandalism of Property,2.0,School/College,Anti-Gay/Lesbian,Adult,Other,S,S
2001,City,WA,Washington,2001-12-14,1,0,1,1,0,Asian,Asian,2,Simple Assault,2.0,Residential Area,Anti-Asian,Adult,Asian,S,S
1999,City,VT,Vermont,1999-04-07,1,0,1,1,0,Black or African American,Black or African American,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-White,Adult,Other,S,S
2006,City,NE,Nebraska,2006-06-08,0,1,1,1,0,Unknown,Unknown,2,Simple Assault,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Asian,S,S
1992,City,HI,Hawaii,1992-11-19,1,0,1,1,0,White,White,2,Vandalism,2.0,Residential Area,Anti-Asian,Adult,Other,S,S
1996,City,MN,Minnestota,1996-09-01,1,0,1,1,0,Unknown,Unknown,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Asian,S,S
2010,City,MS,Mississippi,2010-02-20,1,0,1,1,0,Black or African American,Black or African American,2,Destruction/Damage/Vandalism of Property,2.0,Residential Area,Anti-White,Adult,White,S,S
2004,City,NV,Nevada,2004-07-01,0,1,1,1,0,Unknown,Unknown,2,Simple Assault,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Asian,S,S
2017,City,MA,Massachusetts,2017-09-10,0,1,1,1,0,Unknown,Unknown,2,Civil Rights,2.0,Residential Area,Anti-Asian,Adult,Other,S,S
1993,City,OR,Oregon,1993-12-20,1,0,1,1,0,White,White,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-Asian,Adult,Asian,S,S
2009,City,MT,Montana,2009-11-15,1,0,1,1,0,Asian,Asian,2,Vandalism,2.0,Residential Area,Anti-Gay/Lesbian,Adult,White,S,S
1997,City,WI,Wisconsin,1997-05-13,1,0,1,1,0,Unknown,Unknown,2,Destruction/Damage/Vandalism of Property,2.0,Residential Area,Anti-Asian,Adult,Other,S,S
2015,City,CO,Colorado,2015-06-13,0,1,1,1,0,Unknown,Unknown,2,Civil Rights,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Asian,S,S
2018,City,CT,Connecticut,2018-02-25,1,0,1,1,0,Black or African American,Black or African American,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-Asian,Adult,Other,S,S
1992,City,ND,North Dakota,1992-07-02,0,1,1,1,0,Unknown,Unknown,2,Simple Assault,2.0,Residential Area,Anti-Gay/Lesbian,Adult,White,S,S
2003,City,WY,Wyoming,2003-09-19,1,0,1,1,0,White,White,2,Destruction/Damage/Vandalism of Property,2.0,Residential Area,Anti-Asian,Adult,Asian,S,S
2005,City,KS,Kansas,2005-03-22,1,0,1,1,0,Asian,Asian,2,Simple Assault,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Other,S,S
