"Year","Agency Type Name","State Abbr","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Name","Bias Desc","Victim Types","Multiple Offense","Multiple Bias"
"1991","State/Local","CA","California","1991-01-01 00:00:00","1","0","2","1","1","Asian American","Hispanic","2","Simple Assault","2","Residence","Sexual Orientation","Adult","FALSE","FALSE"
"1991","Local","NY","New York","1991-02-01 00:00:00","0","1","1","1","0","Black","Non-Hispanic","1","Vandalism","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1991","Federal","TX","Texas","1991-03-01 00:00:00","1","0","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","School","Religion","Adult","FALSE","FALSE"
"1991","State/Local","IL","Illinois","1991-04-01 00:00:00","0","1","2","0","2","White","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Residence","Disability","Juvenile","FALSE","FALSE"
"1991","Federal","GA","Georgia","1991-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Simple Assault","1","Residence","National Origin","Adult","FALSE","FALSE"
"1991","State/Local","AZ","Arizona","1991-06-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Commercial Building","Sexual Orientation","Juvenile","FALSE","FALSE"
"1991","Local","NC","North Carolina","1991-07-01 00:00:00","1","0","2","1","1","Black","Non-Hispanic","2","Vandalism","2","Residence","Disability","Adult","FALSE","FALSE"
"1991","Federal","OH","Ohio","1991-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Simple Assault","1","School","Religion","Juvenile","FALSE","FALSE"
"1991","State/Local","MI","Michigan","1991-09-01 00:00:00","1","0","2","1","1","Asian American","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","National Origin","Adult","FALSE","FALSE"
"1991","Local","CO","Colorado","1991-10-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
