"year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1993","State","CA","California","1993-01-01","2","1","3","2","1","W","Asian/Other","3","Larceny","3","Liberty Lines Transit","Antisemitic","Adult","Yes","Yes"
"1993","Local","TX","Texas","1993-01-15","1","0","2","1","1","B","Black","1","Simple Assault","1","Sheriff's Office","Homophobic","Adult","No","No"
"1993","Local","WA","Washington","1993-02-01","0","1","2","0","2","A","White","1","Vandalism","1","University of Washington","Racist","Juvenile","Yes","Yes"
"1993","Federal","NY","New York","1993-03-01","2","0","4","2","2","W","Hispanic","2","Intimidation","2","New York City Police Department","Antisemitic","Adult","No","No"
"1993","Local","IL","Illinois","1993-04-01","1","0","3","1","2","B","Black","1","Aggravated Assault","1","Chicago Police Department","Homophobic","Adult","Yes","Yes"
"1993","State","FL","Florida","1993-05-01","0","2","2","0","2","A","White","2","Vandalism","2","Florida State University","Racist","Juvenile","No","No"
"1993","Local","OH","Ohio","1993-06-01","2","0","4","2","2","W","Asian/Other","2","Intimidation","2","Columbus Police Department","Antisemitic","Adult","No","No"
"1994","Federal","PA","Pennsylvania","1994-01-01","1","0","2","1","1","B","Black","1","Simple Assault","1","Pittsburgh Police Department","Homophobic","Adult","No","No"
"1994","State","GA","Georgia","1994-01-15","0","1","2","0","2","A","White","1","Vandalism","1","Georgia State University","Racist","Juvenile","Yes","Yes"
"1994","Local","NJ","New Jersey","1994-02-01","2","0","4","2","2","W","Hispanic","2","Intimidation","2","New Jersey State Police","Antisemitic","Adult","No","No"
"1994","Local","AZ","Arizona","1994-03-01","1","0","3","1","2","B","Black","1","Aggravated Assault","1","Phoenix Police Department","Homophobic","Adult","Yes","Yes"
"1994","State","MI","Michigan","1994-04-01","0","2","2","0","2","A","White","2","Vandalism","2","Michigan State University","Racist","Juvenile","No","No"
"1994","Local","NC","North Carolina","1994-05-01","2","0","4","2","2","W","Asian/Other","2","Intimidation","2","Charlotte-Mecklenburg Police Department","Antisemitic","Adult","No","No"
"1995","Federal","IN","Indiana","1995-01-01","1","0","2","1","1","B","Black","1","Simple Assault","1","Indianapolis Metropolitan Police Department","Homophobic","Adult","No","No"
"1995","State","SC","South Carolina","1995-01-15","0","1","2","0","2","A","White","1","Vandalism","1","University of South Carolina","Racist","Juvenile","Yes","Yes"
"1995","Local","VT","Vermont","1995-02-01","2","0","4","2","2","W","Hispanic","2","Intimidation","2","Burlington Police Department","Antisemitic","Adult","No","No"
"1995","Local","NM","New Mexico","1995-03-01","1","0","3","1","2","B","Black","1","Aggravated Assault","1","Albuquerque Police Department","Homophobic","Adult","Yes","Yes"
"1995","State","WI","Wisconsin","1995-04-01","0","2","2","0","2","A","White","2","Vandalism","2","University of Wisconsin","Racist","Juvenile","No","No"
"1995","Local","KY","Kentucky","1995-05-01","2","0","4","2","2","W","Asian/Other","2","Intimidation","2","Louisville Metro Police Department","Antisemitic","Adult","No","No"
"1996","Federal","CO","Colorado","1996-01-01","1","0","2","1","1","B","Black","1","Simple Assault","1","Denver Police Department","Homophobic","Adult","No","No"
"1996","State","TN","Tennessee","1996-01-15","0","1","2","0","2","A","White","1","Vandalism","1","University of Tennessee","Racist","Juvenile","Yes","Yes"
"1996","Local","IA","Iowa","1996-02-01","2","0","4","2","2","W","Hispanic","2","Intimidation","2","Des Moines Police Department","Antisemitic","Adult","No","No"
"1996","Local","OK","Oklahoma","1996-03-01","1","0","3","1","2","B","Black","1","Aggravated Assault","1","Oklahoma City Police Department","Homophobic","Adult","Yes","Yes"
"1996","State","AL","Alabama","1996-04-01","0","2","2","0","2","A","White","2","Vandalism","2","University of Alabama","Racist","Juvenile","No","No"
"1996","Local","CT","Connecticut","1996-05-01","2","0","4","2","2","W","Asian/Other","2","Intimidation","2","Hartford Police Department","Antisemitic","Adult","No","No"
"1997","Federal","WV","West Virginia","1997-01-01","1","0","2","1","1","B","Black","1","Simple Assault","1","West Virginia State Police","Homophobic","Adult","No","No"
"1997","State","LA","Louisiana","1997-01-15","0","1","2","0","2","A","White","1","Vandalism","1","Louisiana State University","Racist","Juvenile","Yes","Yes"
"1997","Local","MS","Mississippi","1997-02-01","2","0","4","2","2","W","Hispanic","2","Intimidation","2","Jackson Police Department","Antisemitic","Adult","No","No"
"1997","Local","AR","Arkansas","1997-03-01","1","0","3","1","2","B","Black","1","Aggravated Assault","1","Little Rock Police Department","Homophobic","Adult","Yes","Yes"
"1997","State","UT","Utah","1997-04-01","0","2","2","0","2","A","White","2","Vandalism","2","University of Utah","Racist","Juvenile","No","No"
"1997","Local","SD","South Dakota","1997-05-01","2","0","4","2","2","W","Asian/Other","2","Intimidation","2","Sioux Falls Police Department","Antisemitic","Adult","No","No"
"1998","Federal","NC","North Carolina","1998-01-01","1","0","2","1","1","B","Black","1","Simple Assault","1","Charlotte-Mecklenburg Police Department","Homophobic","Adult","No","No"
"1998","State","VT","Vermont","1998-01-15","0","1","2","0","2","A","White","1","Vandalism","1","University of Vermont","Racist","Juvenile","Yes","Yes"
"1998","Local","ID","Idaho","1998-02-01","2","0","4","2","2","W","Hispanic","2","Intimidation","2","Boise Police Department","Antisemitic","Adult","No","No"
"1998","Local","ME","Maine","1998-03-01","1","0","3","1","2","B","Black","1","Aggravated Assault","1","Portland Police Department","Homophobic","Adult","Yes","Yes"
"1998","State","MT","Montana","1998-04-01","0","2","2","0","2","A","White","2","Vandalism","2","University of Montana","Racist","Juvenile","No","No"
"1998","Local","RI","Rhode Island","1998-05-01","2","0","4","2","2","W","Asian/Other","2","Intimidation","2","Providence Police Department","Antisemitic","Adult","No","No"
"1999","Federal","DE","Delaware","1999-01-01","1","0","2","1","1","B","Black","1","Simple Assault","1","New Castle County Police","Homophobic","Adult","No","No"
"1999","State","NE","Nebraska","1999-01-15","0","1","2","0","2","A","White","1","Vandalism","1","University of Nebraska","Racist","Juvenile","Yes","Yes"
"1999","Local","MN","Minnesota","1999-02-01","2","0","4","2","2","W","Hispanic","2","Intimidation","2","Minneapolis Police Department","Antisemitic","Adult","No","No"
"1999","Local","NV","Nevada","1999-03-01","1","0","3","1","2","B","Black","1","Aggravated Assault","1","Las Vegas Metropolitan Police Department","Homophobic","Adult","Yes","Yes"
"1999","State","KY","Kentucky","1999-04-01","0","2","2","0","2","A","White","2","Vandalism","2","University of Kentucky","Racist","Juvenile","No","No"
"1999","Local","WV","West Virginia","1999-05-01","2","0","4","2","2","W","Asian/Other","2","Intimidation","2","Fairmont Police Department","Antisemitic","Adult","No","No"
