"","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1","2002","State, Local","CA","California","5/20/2002",1,0,1,1,0,"White","Not Hispanic or Latino","1","Simple Assault","1","School","Antisemitism","Individual, Single Victim","FALSE","Single Offense","FALSE"
"2","2003","Federal","NY","New York","12/1/2003",0,1,1,0,1,"Asian","Asian, Not Hispanic or Latino","1","Intimidation","1","Public Transportation","Homophobia","Multiple Victims","TRUE","Multiple Offenses","TRUE"
"3","2004","State, Local","TX","Texas","6/16/2004",2,0,1,2,0,"Hispanic or Latino","Hispanic or Latino","2","Vandalism","2","Business","Anti-LGBT","Multiple Victims","TRUE","Single Offense","FALSE"
"4","2005","Federal","FL","Florida","4/25/2005",0,1,1,0,1,"Black or African American","Not Hispanic or Latino","1","Simple Assault","1","Street","Islamophobia","Individual, Single Victim","FALSE","Single Offense","FALSE"
"5","2006","State, Local","CA","California","10/22/2006",0,2,1,0,1,"White","Not Hispanic or Latino","2","Intimidation","2","Public Place","Anti-Catholic","Multiple Victims","TRUE","Single Offense","FALSE"
"6","2007","Federal","NY","New York","7/4/2007",1,0,1,1,0,"Hispanic or Latino","Not Hispanic or Latino","1","Vandalism","1","School","Anti-Immigrant","Individual, Single Victim","FALSE","Single Offense","FALSE"
"7","2008","State, Local","TX","Texas","3/12/2008",0,1,1,0,1,"Asian","Asian, Not Hispanic or Latino","1","Simple Assault","1","Street","Anti-Asian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"8","2009","Federal","FL","Florida","8/21/2009",1,0,1,1,0,"American Indian or Alaska Native","Not Hispanic or Latino","1","Vandalism","1","Business","Anti-Indian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"9","2010","State, Local","CA","California","2/26/2010",0,1,1,0,1,"White","Not Hispanic or Latino","1","Intimidation","1","Public Transportation","Homophobia","Individual, Single Victim","FALSE","Single Offense","FALSE"
"10","2011","Federal","NY","New York","10/15/2011",2,0,1,2,0,"Hispanic or Latino","Not Hispanic or Latino","2","Simple Assault","2","School","Anti-LGBT","Multiple Victims","TRUE","Single Offense","FALSE"
