"","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1","1993","State Police","NY","New York","1993-02-14","1","0","2","1","1","White","Hispanic","2","Anti-LGBT Hate Crime","2","Bronx","Sexual Orientation","Male","Yes","Yes"
"2","1995","Sheriffs Department","CA","California","1995-08-09","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Religious Hate Crime","1","Los Angeles","Religion","Female","No","No"
"3","1992","County Police","TX","Texas","1992-04-18","2","0","3","2","1","Hispanic","Yes","2","Anti-Racial Hate Crime","2","Houston","Race","Male","Yes","Yes"
"4","1994","City Police","FL","Florida","1994-11-25","1","0","1","1","0","White","Non-Hispanic","1","Anti-Disability Hate Crime","1","Miami","Disability","Male","No","No"
"5","1991","State Police","GA","Georgia","1991-09-03","0","1","2","1","1","Black","Non-Hispanic","1","Anti-Sexual Orientation Hate Crime","1","Atlanta","Sexual Orientation","Female","Yes","Yes"
"6","1996","County Police","IL","Illinois","1996-03-25","1","0","1","1","0","Hispanic","Yes","1","Anti-Religious Hate Crime","1","Chicago","Religion","Male","No","No"
"7","1997","City Police","NJ","New Jersey","1997-01-10","2","0","2","2","0","White","Non-Hispanic","2","Anti-Racial Hate Crime","2","Newark","Race","Male","Yes","Yes"
"8","1998","Sheriffs Department","MA","Massachusetts","1998-06-05","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Sexual Orientation Hate Crime","1","Boston","Sexual Orientation","Female","No","No"
"9","1999","State Police","PA","Pennsylvania","1999-10-17","1","0","1","1","0","Hispanic","Yes","1","Anti-Racial Hate Crime","1","Philadelphia","Race","Male","No","No"
"10","2000","County Police","OH","Ohio","2000-04-22","2","0","2","2","0","White","Non-Hispanic","2","Anti-Disability Hate Crime","2","Columbus","Disability","Male","Yes","Yes"
"11","2001","City Police","MI","Michigan","2001-09-20","1","0","1","1","0","Black","Non-Hispanic","1","Anti-Religious Hate Crime","1","Detroit","Religion","Male","No","No"
"12","2002","Sheriffs Department","TN","Tennessee","2002-02-14","0","1","2","1","1","Hispanic","Yes","1","Anti-Sexual Orientation Hate Crime","1","Nashville","Sexual Orientation","Female","Yes","Yes"
"13","2003","State Police","NC","North Carolina","2003-05-18","2","0","2","2","0","White","Non-Hispanic","2","Anti-Racial Hate Crime","2","Raleigh","Race","Male","Yes","Yes"
