activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,"New York-Johnstown-Elmira, NY",,1,10,First Mortgage,Single Family,,Hispanic or Latino,Male,Approved,Purchase,200000,0.5,6.5,0,0,0,1000,500,100,0,0,30,0,0,0,0,0,250000,Site Built Single Family,Primary Residence,Not Secured,0,1,0,0,1,0,1,0,25-34,25-34,0,0,Male,Male,Male,Male,35-49,35-49,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,1,20,First Mortgage,Single Family,,Non-Hispanic White,Female,Approved,Refinance,250000,0.7,5.2,0,0,0,1200,600,200,0,0,30,0,0,0,0,0,300000,Site Built Single Family,Investment Property,Not Secured,0,1,0,0,0,0,0,0,55-64,55-64,0,0,Female,Female,Female,Female,55-64,55-64,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,1,30,Home Equity,Single Family,,Non-Hispanic White,Male,Approved,Home Improvement,10000,0.2,6.8,0,0,0,800,400,100,0,0,15,0,0,0,0,0,15000,Site Built Single Family,Primary Residence,Not Secured,0,1,0,0,1,0,1,0,35-49,35-49,0,0,Male,Male,Male,Male,35-49,35-49,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,1,40,First Mortgage,Single Family,,Asian,Male,Approved,Purchase,180000,0.6,7.1,0,0,0,1000,500,150,0,0,30,0,0,0,0,0,220000,Site Built Single Family,Primary Residence,Not Secured,0,1,0,0,1,0,1,0,25-34,25-34,0,0,Male,Male,Male,Male,35-49,35-49,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,1,50,Home Equity,Single Family,,Non-Hispanic White,Female,Approved,Home Improvement,8000,0.3,6.5,0,0,0,600,300,80,0,0,15,0,0,0,0,0,12000,Site Built Single Family,Investment Property,Not Secured,0,1,0,0,0,0,0,0,55-64,55-64,0,0,Female,Female,Female,Female,55-64,55-64,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,1,60,First Mortgage,Single Family,,Hispanic or Latino,Male,Approved,Purchase,220000,0.5,5.9,0,0,0,1200,600,150,0,0,30,0,0,0,0,0,280000,Site Built Single Family,Primary Residence,Not Secured,0,1,0,0,1,0,1,0,35-49,35-49,0,0,Male,Male,Male,Male,35-49,35-49,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,1,70,Home Equity,Single Family,,Non-Hispanic White,Female,Approved,Home Improvement,15000,0.4,7.3,0,0,0,1000,500,120,0,0,15,0,0,0,0,0,18000,Site Built Single Family,Investment Property,Not Secured,0,1,0,0,0,0,0,0,25-34,25-34,0,0,Female,Female,Female,Female,25-34,25-34,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,1,80,First Mortgage,Single Family,,Asian,Male,Approved,Purchase,200000,0.7,6.2,0,0,0,1000,500,200,0,0,30,0,0,0,0,0,240000,Site Built Single Family,Primary Residence,Not Secured,0,1,0,0,1,0,1,0,35-49,35-49,0,0,Male,Male,Male,Male,35-49,35-49,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,1,90,Home Equity,Single Family,,Non-Hispanic White,Female,Approved,Home Improvement,12000,0.3,6.1,0,0,0,800,400,100,0,0,15,0,0,0,0,0,15000,Site Built Single Family,Investment Property,Not Secured,0,1,0,0,0,0,0,0,55-64,55-64,0,0,Female,Female,Female,Female,55-64,55-64,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,2,10,First Mortgage,Single Family,,Hispanic or Latino,Male,Approved,Purchase,300000,0.6,7.5,0,0,0,1500,750,250,0,0,30,0,0,0,0,0,360000,Site Built Single Family,Primary Residence,Not Secured,0,1,0,0,1,0,1,0,35-49,35-49,0,0,Male,Male,Male,Male,35-49,35-49,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,2,20,Home Equity,Single Family,,Non-Hispanic White,Female,Approved,Home Improvement,20000,0.4,6.4,0,0,0,1200,600,120,0,0,15,0,0,0,0,0,24000,Site Built Single Family,Investment Property,Not Secured,0,1,0,0,0,0,0,0,55-64,55-64,0,0,Female,Female,Female,Female,55-64,55-64,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,2,30,First Mortgage,Single Family,,Asian,Male,Approved,Purchase,250000,0.5,6.1,0,0,0,1000,500,150,0,0,30,0,0,0,0,0,280000,Site Built Single Family,Primary Residence,Not Secured,0,1,0,0,1,0,1,0,35-49,35-49,0,0,Male,Male,Male,Male,35-49,35-49,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,2,40,Home Equity,Single Family,,Non-Hispanic White,Female,Approved,Home Improvement,15000,0.2,6.6,0,0,0,800,400,100,0,0,15,0,0,0,0,0,18000,Site Built Single Family,Investment Property,Not Secured,0,1,0,0,0,0,0,0,25-34,25-34,0,0,Female,Female,Female,Female,25-34,25-34,0,0,Application,,,,
2024,"New York-Johnstown-Elmira, NY",,2,50,First Mortgage,Single Family,,Hispanic or Latino,Male,Approved,Purchase,280000,0.7,6.3,0,0,0,1200,600,200,0,0,30,0,0,0,0,0,320000,Site Built Single Family,Primary Residence,Not Secured,0,1,0,0,1,0,1,0,55-64,55-64,0,0,Male,Male,Male,Male,55-64,55-64,0,0,Application,,,,
