EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
GROVE GROUP PLC,70100,22.1,18.3,59.2,31.4,51.8,64.9,30.1,69.9,28.3,71.7,38.9,61.1,52.2,47.8,1000-4999,2025-04-01 09:22:15
CROWN BUILDING LTD,50100,12.7,4.9,42.1,18.6,36.2,54.3,42.8,57.2,32.4,67.6,41.0,59.0,60.2,39.8,500-999,2025-03-29 14:36:47
NORTHERN POWER PLC,61100,-5.2,1.4,19.7,43.3,24.1,43.8,46.8,53.2,28.9,71.1,32.4,67.6,39.4,60.6,250-499,2025-04-02 16:51:03
SUNRISE CONSULTING LIMITED,74900,15.6,8.9,35.7,25.1,30.1,55.8,41.2,58.8,30.3,69.7,28.8,71.2,35.4,64.6,100-249,2025-03-30 10:11:11
BIRCHWOOD FINANCIAL SERVICES,66210,38.4,26.7,82.6,27.8,52.5,80.9,28.7,71.3,26.1,73.9,39.2,60.8,55.3,44.7,500-999,2025-04-03 18:17:55
TOWER MASTERS LIMITED,71200,10.9,5.2,24.3,1.9,20.4,22.3,39.8,60.2,22.9,77.1,37.1,62.9,43.0,57.0,250-499,2025-04-05 13:44:29
HIGHLAND ENERGY GROUP,71100,21.5,15.8,63.9,22.7,56.7,80.5,31.2,68.8,28.9,71.1,35.6,64.4,57.3,42.7,500-999,2025-03-27 11:30:14
PENNZOIL PLASTIC SOLUTIONS,20600,7.2,4.1,17.8,5.2,9.2,23.0,45.4,54.6,32.8,67.2,42.2,57.8,44.1,55.9,100-249,2025-03-28 16:08:53
WATERSHED TECHNOLOGIES LIMITED,64210,33.8,28.1,60.3,38.9,45.1,83.8,25.3,74.7,11.8,88.2,28.8,71.2,48.7,51.3,250-499,2025-04-04 12:06:22
RIVERSIDE DEVELOPMENT GROUP,74100,-2.1,6.4,13.4,-8.2,11.7,33.1,41.9,58.1,33.5,66.5,46.6,53.4,48.9,51.1,250-499,2025-03-31 15:22:48
HILLTOP CONSTRUCTION COMPANY,41100,25.3,19.6,38.9,17.8,31.2,49.1,44.8,55.2,34.1,65.9,40.4,59.6,53.4,46.6,1000-4999,2025-04-02 09:47:18
LONDON BUSINESS COLLEGE,85310,9.3,11.2,19.9,9.8,14.2,24.0,52.1,47.9,42.8,57.2,46.4,53.6,52.3,47.7,500-999,2025-04-03 08:03:05
SILVER OAK HEALTHCARE,86100,20.1,16.3,76.5,50.1,68.2,87.5,31.9,68.1,19.2,80.8,29.6,70.4,51.0,49.0,100-249,2025-03-30 17:10:33
VICTORY HAYES & CO INCORPORATED,66980,18.7,10.2,58.0,23.6,40.1,63.8,38.3,61.7,28.9,71.1,36.1,63.9,43.4,56.6,100-249,2025-04-01 11:15:26
KINGSWAY RETAIL GROUP,47810,27.4,17.8,47.3,25.4,31.7,58.3,31.1,68.9,22.5,77.5,33.6,66.4,45.2,54.8,500-999,2025-03-29 18:55:47
THORNFIELD SERVICES LIMITED,74200,16.6,9.7,25.8,12.1,19.4,33.8,32.4,67.6,19.2,80.8,33.0,67.0,31.1,68.9,500-999,2025-04-03 12:33:10
BRIDGEWATER PROPERTY GROUP,75120,8.5,14.0,35.6,9.2,28.9,47.8,40.5,59.5,33.9,66.1,45.1,54.9,42.3,57.7,250-499,2025-04-02 14:12:16
DARTFORD EDUCATION SERVICES,85200,34.2,19.1,73.1,36.4,64.3,89.5,36.9,63.1,22.4,77.6,38.7,61.3,63.2,36.8,500-999,2025-03-31 19:00:44
