EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Acme Corporation,62010,12.5,-3.2,8.7,15.3,42.1,18.9,25.3,22.1,23.8,28.7,21.1,19.2,18.7,24.3,Small,2024-06-15
Brighton Ltd,62020,9.1,-1.8,12.4,22.1,38.5,19.2,24.1,21.8,26.2,27.1,22.3,20.4,19.1,26.3,Medium,2024-07-22
City Financial Services,66200,15.2,-4.5,18.9,31.2,45.6,22.1,23.5,18.9,25.1,24.8,20.8,21.7,16.3,28.3,Large,2024-05-30
Dover Engineering Group,71110,18.7,-8.2,24.5,38.7,52.3,28.4,22.8,19.5,24.3,27.9,21.2,22.6,19.7,34.1,Medium,2024-08-12
Ealing Retail Solutions,47110,6.3,-2.1,4.8,8.9,35.2,16.8,26.8,24.1,28.1,29.9,23.2,18.7,17.7,31.4,Small,2024-06-08
Falkirk Technology Ltd,62030,11.4,0.3,10.2,16.8,41.9,23.1,25.2,22.4,26.9,27.5,20.1,19.8,19.7,27.4,Large,2024-09-18
Guildford Construction Co,42100,22.1,-12.3,31.8,47.4,58.7,31.9,21.7,19.2,23.4,26.8,19.8,21.9,18.3,30.1,Medium,2024-07-05
Harrow Medical Systems,62040,8.9,-3.1,6.2,10.9,37.4,21.6,24.3,20.9,25.6,26.5,21.7,20.2,19.3,25.8,Small,2024-08-23
Ipswich Consulting,71120,14.5,-5.8,16.7,28.1,47.8,26.3,23.9,21.1,25.8,28.2,22.1,19.4,17.9,31.5,Large,2024-05-12
Kensington Logistics,49100,25.3,-15.9,35.7,52.3,61.2,35.8,20.1,18.3,21.8,24.9,21.5,22.8,19.1,32.9,Medium,2024-09-03
Lancaster Fashion Retail,47120,5.8,-1.5,3.5,6.8,33.1,17.2,26.3,23.7,27.2,30.1,23.4,20.3,18.9,30.2,Small,2024-07-19
Maidstone Manufacturing,20100,19.8,-11.2,26.4,43.1,53.9,31.1,22.2,19.8,24.1,27.3,19.5,20.6,17.2,28.7,Large,2024-08-29
Newport Insurance Group,66300,10.2,-2.7,11.8,19.6,43.6,24.7,24.7,21.2,25.5,27.8,20.9,21.1,19.5,26.6,Medium,2024-06-25
Oxford Software Solutions,62050,16.3,-6.9,20.1,34.2,49.2,29.3,23.3,19.2,24.8,26.1,21.6,20.1,18.5,31.1,Small,2024-09-11
Peterborough Food Services,47130,4.7,-0.8,2.9,5.3,31.4,15.6,25.8,23.1,26.7,28.9,22.8,19.4,19.1,25.7,Medium,2024-06-10
Queenstown IT Services,62060,13.8,-4.1,14.9,25.1,44.2,25.8,23.6,20.8,25.9,27.2,21.5,20.9,19.9,30.3,Large,2024-07-30
Rochester Banking Corp,66100,12.1,-3.5,13.4,21.9,42.8,22.5,24.2,21.6,25.1,27.4,21.3,20.2,18.6,29.2,Small,2024-08-02
Sunderland Energy Ltd,20200,21.5,-13.7,29.2,45.8,50.4,30.8,21.4,18.7,23.8,26.3,20.1,20.8,17.5,31.2,Medium,2024-06-17
Thames Transport Group,49200,17.6,-7.9,23.3,37.8,55.3,33.6,22.9,20.1,24.7,27.8,21.2,22.1,19.8,33.1,Large,2024-09-07
University Park Education,85300,8.3,-1.3,10.8,18.2,39.8,25.4,25.1,22.8,26.4,28.1,21.8,21.2,17.4,27.3,Small,2024-07-08
Vancouver Marine Services,49300,24.1,-14.6,33.9,49.6,59.8,34.3,20.2,18.1,21.9,25.1,21.0,22.5,18.9,31.8,Medium,2024-08-15
Watford Retail Stores,47200,5.2,-1.1,3.2,6.1,34.1,18.7,26.5,23.9,27.1,28.6,22.4,20.1,18.7,26.8,Small,2024-06-22
Xenon Medical Devices,62070,9.8,-3.8,12.3,20.4,40.3,24.1,24.8,21.4,25.4,26.9,21.1,20.7,19.3,28.2,Large,2024-09-20
Yorkshire Steel Works,20300,26.7,-18.2,37.9,54.2,62.4,36.1,20.0,18.2,21.6,24.7,20.5,21.8,18.2,32.1,Small,2024-07-14
Greenwich Automotive,33100,15.9,-9.4,21.4,32.6,48.7,29.1,23.2,20.1,24.9,26.7,20.8,22.3,18.9,29.7,Medium,2024-08-26
Hastings Hospitality Group,56100,7.4,-2.3,8.1,14.8,41.6,24.5,24.5,21.2,26.1,28.3,21.7,20.3,18.2,26.9,Large,2024-06-19
Inverness Tourism Services,79100,6.1,-1.8,9.2,16.2,38.9,22.7,25.0,22.1,26.3,27.6,21.9,20.5,18.5,27.8,Small,2024-09-01
Kingston Legal Services,69100,11.2,-3.9,13.1,22.3,42.3,21.9,23.9,20.3,25.3,27.9,20.7,19.9,19.1,29.6,Medium,2024-07-25
London Tech Innovations,62080,18.4,-7.1,25.6,39.8,52.8,30.4,22.6,19.4,24.0,26.5,19.8,20.9,19.3,33.4,Large,2024-08-09
Manchester Advertising Co,73100,3.9,0.2,1.8,3.4,32.7,16.4,26.2,23.8,27.4,28.9,22.8,20.0,18.1,24.6,Small,2024-06-28
Norwich Food Distribution,47300,4.2,-0.9,1.9,4.1,35.5,17.8,25.7,22.9,26.8,28.7,22.3,19.8,18.9,25.2,Medium,2024-09-14
Oxford Business Consulting,71130,20.7,-8.6,27.3,41.4,51.9,32.4,23.4,20.5,25.1,27.6,21.4,20.0,17.7,32.3,Large,2024-07-11
Paddington Medical Research,62090,9.4,-3.2,9.7,17.6,42.2,23.9,24.9,21.3,26.0,27.1,20.9,21.2,18.8,28.7,Small,2024-08-31
Quebec Healthcare Ltd,62100,14.1,-5.3,19.8,30.4,45.6,25.4,23.5,20.4,25.2,27.8,20.6,20.7,18.7,31.1,Medium,2024-06-12
Richmond Transportation,49400,23.8,-16.5,36.1,51.8,58.9,33.8,20.3,18.1,21.8,24.9,20.8,22.3,18.5,32.7,Large,2024-09-05
Scarborough Education Trust,85200,7.8,-2.1,9.5,16.7,40.1,23.8,24.7,22.2,26.0,28.3,21.5,21.0,18.0,26.8,Small,2024-07-20
Tottenham Sports Arena,79200,5.7,-1.6,5.1,9.3,36.3,18.9,25.5,22.7,26.8,29.2,22.6,20.2,18.3,25.6,Medium,2024-08-18
Uxbridge Real Estate,68200,8.2,-2.8,11.4,19.4,43.8,23.3,24.1,21.0,25.8,27.7,20.8,21.3,18.9,29.3,Large,2024-06-27
Venice Financial Holdings,66210,12.9,-4.2,16.3,27.3,44.7,25.8,23.7,21.1,25.3,27.8,20.5,20.1,18.4,31.3,Small,2024-09-16
Waterloo Industrial Supplies,47400,6.6,-1.9,7.5,13.6,39.1,20.8,25.4,23.2,26.7,28.5,22.1,19.4,18.7,26.2,Medium,2024-07-03
Westminster Insurance Group,66310,10.8,-2.9,14.1,24.2,45.9,24.6,24.6,21.2,25.9,27.4,20.2,20.4,19.0,28.8,Large,2024-08-21
York Architecture Studio,71140,15.4,-5.6,18.6,32.1,46.5,26.7,23.2,20.3,25.2,28.1,20.6,20.8,18.9,30.1,Small,2024-06-30
Bath Computer Systems,62110,13.2,-4.8,15.7,26.4,47.2,27.8,23.8,20.7,25.1,27.6,20.4,20.3,19.5,31.6,Medium,2024-09-09
Croydon Automotive Parts,33110,22.1,-12.5,30.5,48.1,54.8,32.6,21.3,19.1,23.6,26.4,20.2,22.1,17.8,31.5,Large,2024-07-27
Derby Textile Manufacturing,14100,17.3,-8.9,22.9,35.3,51.4,30.2,22.0,19.0,24.3,27.1,20.7,21.1,18.7,30.9,Small,2024-08-13
Eastbourne Retail Services,47500,5.4,-1.2,3.7,6.2,33.9,16.9,25.8,23.4,26.9,28.8,22.7,19.6,18.6,27.5,Medium,2024-06-20
Folkestone Property Developers,68100,11.6,-3.3,14.6,23.4,43.2,26.1,24.0,21.3,25.2,27.9,20.3,20.5,19.2,29.0,Large,2024-09-22
Gloucester Leisure Group,79300,6.9,-2.4,8.3,15.1,39.6,24.1,25.1,22.4,26.4,28.2,21.8,20.2,18.2,27.0,Small,2024-07-17
Harrogate Media Group,73110,8.7,-3.6,9.4,16.9,41.3,22.6,24.2,21.1,25.5,27.5,20.8,20.0,19.1,28.5,Medium,2024-08-05
Hull Manufacturing Solutions,20400,19.5,-11.8,26.8,40.3,52.1,31.3,21.6,19.2,23.7,26.5,19.9,21.4,18.3,30.7,Large,2024-06-05
Isle of Wight Tourist Services,79400,4.3,-0.9,2.4,5.8,32.2,15.9,26.4,23.6,27.1,29.1,22.9,19.7,18.4,25.8,Small,2024-09-10
Kingston Logistics & Delivery,49110,26.2,-17.3,38.4,53.7,61.8,34.9,19.8,17.5,20.8,24.2,20.7,22.0,18.2,31.8,Medium,2024-07-01
Leicester Engineering Projects,71150,21.4,-10.3,28.6,42.9,53.4,30.5,21.8,19.0,23.3,25.8,20.1,21.2,18.6,31.0,Large,2024-08-27
Liverpool Retail Operations,47140,7.2,-2.2,8.6,14.2,41.1,22.9,24.8,22.8,26.2,28.1,21.1,19.8,18.6,26.7,Small,2024-06-18
Manchester Tech Services,62120,16.8,-5.8,21.7,33.9,49.7,30.9,23.1,20.4,24.9,27.4,20.6,20.2,18.8,32.1,Medium,2024-09-12
Norwich Medical Laboratories,62010,9.9,-3.4,12.6,21.2,44.9,25.3,24.3,21.0,25.7,27.8,20.8,21.1,19.0,30.2,Large,2024-07-23
Oliver's Garden Centre,47110,3.8,0.1,1.7,3.3,32.6,16.5,26.0,23.3,27.0,29.3,22.6,19.9,18.1,24.8,Small,2024-08-19
Portsmouth Construction Group,42100,18.4,-10.8,24.8,38.9,50.9,29.5,22.1,19.7,24.2,26.6,20.4,21.6,18.3,30.4,Medium,2024-06-03
Preston Financial Advisory,66200,14.3,-4.6,17.2,29.7,47.1,25.9,23.5,20.1,25.1,27.7,20.6,20.9,18.5,30.8,Large,2024-09-19
Reading Manufacturing Ltd,20100,23.7,-14.2,32.1,46.5,58.4,33.5,20.5,18.5,22.1,25.3,20.5,22.2,18.4,32.0,Small,2024-06-21
Stoke-on-Trent Retail Stores,47210,5.1,-1.0,3.1,5.9,34.4,17.7,26.0,23.2,27.2,28.8,22.8,19.2,18.6,25.4,Medium,2024-08-07
Swansea Health Services,85100,10.1,-2.6,13.3,21.6,44.3,21.5,24.7,21.4,25.8,27.7,20.9,20.3,19.1,29.5,Large,2024-07-16
Telford IT Solutions,62050,17.2,-6.8,22.5,35.8,50.1,28.8,23.0,20.3,24.7,27.5,20.8,20.8,18.6,30.7,Small,2024-09-04
Wakefield Automotive Services,33120,13.6,-7.2,16.9,24.1,48.3,26.5,22.7,19.8,24.1,26.8,20.3,21.2,18.5,30.5,Medium,2024-06-01
Worcester Educational Institution,85300,8.5,-2.7,11.1,18.8,42.6,22.4,24.9,22.2,26.0,28.2,21.2,20.5,18.3,27.7,Large,2024-08-24
Yorkshire Transport Group,49210,15.8,-9.1,21.2,34.6,52.9,33.2,22.3,19.6,23.7,26.5,19.9,21.9,18.7,33.8,Small,2024-06-16
Brighton Marine Supplies,47150,4.5,-1.3,2.7,5.1,33.2,15.8,25.6,23.1,26.8,29.0,22.5,19.8,18.8,26.2,Medium,2024-09-13
Cleveland Power Company,20200,22.8,-13.2,31.5,47.2,55.1,32.7,21.4,18.9,23.0,25.8,20.0,21.7,18.0,30.9,Large,2024-07-28
Dundee Publishing House,71110,9.3,-3.7,10.4,18.7,41.8,24.0,25.4,21.8,26.7,28.2,20.7,20.2,18.2,28.9,Small,2024-08-11
Edinburgh Software Development,62060,18.9,-6.4,25.1,37.3,51.7,31.3,23.4,20.6,25.2,27.8,20.7,20.6,18.8,32.8,Medium,2024-06-14
Gloucester Technology Ltd,62070,12.8,-4.0,15.3,23.6,45.2,26.9,24.1,21.7,25.6,27.9,21.0,20.0,19.3,31.4,Large,2024-09-08
Hull Retail Solutions,47160,5.9,-1.7,3.4,6.6,36.1,18.6,25.8,23.6,27.2,29.1,23.1,20.2,18.2,26.0,Small,2024-07-09
Kent Construction Materials,42110,17.7,-10.4,23.2,36.9,51.3,29.8,22.2,19.4,24.4,26.7,19.9,21.3,18.5,30.2,Medium,2024-08-01
Liverpool Financial Services,66300,13.4,-5.1,16.8,25.8,46.7,28.1,23.9,20.8,25.3,27.1,20.3,20.5,18.4,31.9,Large,2024-06-11
Manchester Food Distributors,47170,6.2,-1.8,3.9,7.2,34.8,16.3,25.6,23.1,27.3,28.6,22.7,19.3,18.4,27.1,Small,2024-09-15
Newcastle Medical Supplies,62080,9.6,-2.5,11.9,20.7,44.8,23.2,24.4,20.9,25.9,27.8,21.3,20.3,18.9,29.6,Medium,2024-07-24
Oxford Retail Partners,47180,5.5,-1.4,3.1,5.7,32.9,17.6,25.9,23.3,27.1,28.8,23.2,19.4,18.7,26.7,Large,2024-08-30
Plymouth Environmental Services,73120,7.4,-2.2,9.1,15.4,38.7,21.8,25.2,22.3,26.5,28.0,21.5,20.4,18.6,28.3,Small,2024-06-09
Reading Transport Solutions,49120,20.9,-12.9,29.9,44.3,59.3,31.4,20.8,18.3,22.4,25.1,21.1,22.2,18.2,32.4,Medium,2024-09-02
Sheffield Construction Services,42120,16.5,-9.6,22.1,33.5,50.7,29.9,22.8,19.2,24.1,26.8,20.3,20.9,18.4,30.7,Large,2024-07-06
Swindon Educational Resources,85200,8.8,-3.0,11.6,19.2,42.3,24.3,24.8,21.9,26.1,28.3,21.6,20.6,18.2,28.5,Small,2024-08-28
Timberland Manufacturing,20500,24.3,-15.1,32.8,48.7,57.8,34.1,20.1,18.4,21.7,24.9,20.9,22.3,18.6,31.7,Medium,2024-06-23
Wigan Travel Agency,79200,6.7,-2.0,7.7,13.8,39.4,22.6,25.1,22.1,26.5,28.4,21.7,20.4,18.1,27.2,Large,2024-09-17
Yorkshire Energy Corporation,20200,25.7,-16.3,34.7,50.1,59.9,35.2,20.5,17.9,22.2,25.5,20.7,21.9,18.4,31.7,Small,2024-07-26
TechGlobal Solutions,62010,-12.3,8.7,-3.2,15.6,22.1,19.8,45.2,52.1,38.9,42.3,27.6,21.4,8.3,11.2,500-999,2024-03-15
Northern Healthcare Ltd,86100,5.8,3.2,2.1,4.5,16.7,18.9,58.3,54.1,34.7,38.2,22.9,25.6,9.1,6.8,1000-4999,2024-02-28
Greenwood Construction Co,41000,-8.9,-12.1,-5.4,-8.9,18.3,12.1,42.1,45.8,35.7,30.2,28.1,22.4,9.7,17.3,50-249,2024-01-20
London Financial Services,66210,11.2,9.8,2.8,6.7,25.1,26.3,47.8,44.2,39.1,36.8,26.4,25.1,8.9,12.1,500-999,2024-04-10
Sustainable Energy Group,35130,-15.6,-18.2,-7.3,-14.8,21.2,17.8,49.4,47.1,33.8,31.9,25.3,24.2,8.6,10.8,250-499,2024-03-05
Brighton Retail Partners,47110,-6.7,-4.3,-2.9,-6.1,13.8,15.2,52.4,56.1,36.9,34.2,26.8,25.7,8.2,9.1,100-249,2024-02-12
Midland Insurance Brokers,66310,2.4,1.8,3.5,2.1,20.9,22.4,46.8,48.3,40.1,39.5,27.2,26.8,9.3,8.7,250-499,2024-05-22
Metro Manufacturing Group,23120,3.2,4.1,-1.5,-2.8,19.6,17.3,43.1,41.8,36.1,38.7,29.2,27.1,8.9,10.2,1000-4999,2024-01-30
North West Education Trust,85510,1.8,-3.2,0.5,2.1,15.8,13.9,54.7,51.2,35.3,32.9,23.8,24.1,7.9,9.8,250-499,2024-03-17
Coastal Shipping Ltd,52200,-12.1,-15.3,-9.2,-11.7,17.4,11.3,45.8,48.9,32.1,31.6,26.3,23.4,7.8,8.7,500-999,2024-02-18
Capital Investment Partners,66220,8.4,6.3,4.1,7.8,22.9,24.2,44.2,43.5,37.9,39.4,25.8,27.3,10.1,8.5,500-999,2024-04-05
Eastern Logistics Group,49300,-8.6,-10.2,-6.7,-9.1,19.1,14.8,46.2,49.1,33.7,31.2,27.9,24.1,8.1,12.3,500-999,2024-03-29
Westminster Property Ltd,68200,1.2,2.4,-1.8,3.2,16.7,14.2,51.3,49.7,34.8,36.3,24.7,25.9,10.2,9.1,250-499,2024-01-08
South Central Mining Co,08100,-22.3,-25.1,-12.4,-16.7,24.8,16.3,44.9,52.1,31.8,24.9,20.6,19.8,8.7,13.2,100-249,2024-05-14
