data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,City,AL,Alabama,1991-03-15,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Other,S,S
1992,County,AZ,Arizona,1992-11-22,1.0,0.0,2,1.0,1.0,White,Not Hispanic or Latino,1,Assault,2.0,Park/Agricultural Area,Anti-Jewish,Individual,S,S
1993,Tribal,AR,Arkansas,1993-07-18,,,1,,,American Indian or Alaska Native,Not Specified,1,Simple Assault,1.0,Other Public Property,Anti-Asian,Individual,S,S
1994,City,CA,California,1994-01-05,,,1,,,Hispanic or Latino,Not Specified,1,Aggravated Assault,1.0,Residence/Home,Anti-Hispanic or Latino,Other,S,S
1995,County,CO,Colorado,1995-08-30,,,1,,,White,Not Specified,1,Simple Assault,1.0,Church/Synagogue/A temple,Anti-Jewish,Individual,S,S
1996,City,CT,Connecticut,1996-02-14,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,3,Aggravated Assault,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Group,S,S
1997,County,DE,Delaware,1997-09-09,,,1,,,Hispanic or Latino,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Hospital Building,Anti-Hispanic or Latino,Individual,S,S
1998,City,FL,Florida,1998-04-12,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Office Building,Anti-Black or African American,Individual,S,S
1999,County,GA,Georgia,1999-10-03,2.0,0.0,1,1.0,0.0,Hispanic or Latino,Not Specified,1,Aggravated Assault,2.0,Warehouse/Apartment Storage Facility,Anti-Hispanic or Latino,Individual,S,S
2000,City,HI,Hawaii,2000-06-17,,,1,,,Unknown,Not Specified,1,Simple Assault,1.0,Residence/Home,Anti-Asian,Individual,S,S
2001,County,ID,Idaho,2001-05-21,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Assault,1.0,Church/Synagogue/A temple,Anti-Jewish,Individual,S,S
2002,City,IL,Illinois,2002-12-25,0.0,1.0,1,0.0,1.0,Black or African American,Not Specified,1,Aggravated Assault,2.0,Other Educational Institution,Anti-Black or African American,Individual,S,S
2003,County,IN,Indiana,2003-03-08,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,School/College,Anti-Jewish,Group,S,S
2004,City,IA,Iowa,2004-09-19,,,1,,,Hispanic or Latino,Not Specified,1,Simple Assault,1.0,Park/Agricultural Area,Anti-Gay (Male),Other,S,S
2005,County,KS,Kansas,2005-11-11,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Assault,1.0,School/College,Anti-White,Individual,S,S
2006,City,KY,Kentucky,2006-07-27,,1.0,1,,1.0,Hispanic or Latino,Not Specified,1,Aggravated Assault,2.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
2007,County,LA,Louisiana,2007-01-30,,,1,,,Black or African American,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Retail Store,Anti-Black or African American,Individual,S,S
2008,City,ME,Maine,2008-04-22,0.0,0.0,1,0.0,1.0,White,Not Hispanic or Latino,2,Simple Assault,2.0,Other Public Property,Anti-Jewish,Group,S,S
2009,County,MD,Maryland,2009-10-15,,,1,,,American Indian or Alaska Native,Not Specified,1,Aggravated Assault,1.0,Office Building,Anti-American Indian or Alaska Native,Individual,S,S
2010,City,MA,Massachusetts,2010-02-06,1.0,0.0,2,1.0,1.0,Black or African American,Not Specified,1,Assault,2.0,Hospital Building,Anti-Black or African American,Individual,S,S
2011,County,MI,Michigan,2011-08-13,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Store/Shop/Apartment,Anti-Gay (Male),Individual,S,S
2012,City,MN,Minnesota,2012-05-28,,,1,,,White,Not Specified,1,Simple Assault,1.0,Residence/Home,Other,Anti-Jewish,Individual,S,S
2013,County,MS,Mississippi,2013-03-14,1.0,0.0,1,1.0,0.0,Hispanic or Latino,Not Specified,1,Aggravated Assault,1.0,Church/Synagogue/A temple,Anti-Hispanic or Latino,Individual,S,S
2014,City,MO,Missouri,2014-11-02,,1.0,1,,1.0,Black or African American,Not Specified,1,Simple Assault,2.0,Other Educational Institution,Anti-Black or African American,Individual,S,S
1991,City,MT,Montana,1991-06-19,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
1992,County,NE,Nebraska,1992-12-05,0.0,1.0,1,0.0,1.0,White,Not Specified,1,Assault,2.0,School/College,Anti-White,Group,S,S
1993,City,NV,Nevada,1993-04-11,,,0,,,Unknown,Not Specified,2,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Asian,Group,S,S
1994,County,NH,New Hampshire,1994-09-30,,,1,,,American Indian or Alaska Native,Not Specified,1,Aggravated Assault,1.0,Office Building,Anti-American Indian or Alaska Native,Individual,S,S
1995,City,NJ,New Jersey,1995-07-08,1.0,0.0,1,1.0,0.0,Black or African American,Not Specified,1,Simple Assault,1.0,Church/Synagogue/A temple,Anti-Black or African American,Individual,S,S
1996,County,NM,New Mexico,1996-02-21,,,1,,,Hispanic or Latino,Not Specified,1,Assault,1.0,Hospital Building,Anti-Hispanic or Latino,Individual,S,S
1997,City,NY,New York,1997-10-15,2.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Aggravated Assault,2.0,Store/Shop/Apartment,Anti-Jewish,Group,S,S
1998,County,NC,North Carolina,1998-01-18,,,1,,,White,Not Specified,2,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
1999,City,ND,North Dakota,1999-08-08,1.0,0.0,1,1.0,0.0,Hispanic or Latino,Not Specified,1,Simple Assault,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
2000,County,OH,Ohio,2000-03-23,0.0,0.0,1,0.0,1.0,White,Not Specified,1,Aggravated Assault,1.0,Retail Store,Anti-Jewish,Individual,S,S
2001,City,OK,Oklahoma,2001-05-17,1.0,0.0,1,1.0,0.0,Black or African American,Not Specified,1,Assault,1.0,Other Educational Institution,Anti-Black or African American,Individual,S,S
2002,County,OR,Oregon,2002-11-11,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Park/Agricultural Area,Anti-Asian,Individual,S,S
2003,City,PA,Pennsylvania,2003-07-29,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Hospital Building,Anti-Jewish,Individual,S,S
2004,County,RI,Rhode Island,2004-09-14,,,1,,,American Indian or Alaska Native,Not Specified,1,Aggravated Assault,1.0,Church/Synagogue/A temple,Anti-American Indian or Alaska Native,Individual,S,S
2005,City,SC,South Carolina,2005-01-04,2.0,0.0,1,1.0,0.0,White,Not Specified,1,Assault,3.0,Residence/Home,Anti-White,Group,S,S
2006,County,SD,South Dakota,2006-06-18,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
2007,City,TN,Tennessee,2007-07-07,0.0,1.0,1,0.0,1.0,Hispanic or Latino,Not Specified,1,Simple Assault,2.0,Other Educational Institution,Anti-Hispanic or Latino,Individual,S,S
2008,County,TX,Texas,2008-02-01,1.0,0.0,1,1.0,0.0,Hispanic or Latino,Not Specified,1,Aggravated Assault,1.0,Store/Shop/Apartment,Anti-Hispanic or Latino,Individual,S,S
2009,City,UT,Utah,2009-08-12,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/A temple,Anti-Black or African American,Individual,S,S
2010,County,VT,Vermont,2010-03-25,0.0,0.0,1,0.0,1.0,White,Not Specified,1,Assault,1.0,Residence/Home,Anti-Jewish,Individual,S,S
2011,City,VA,Virginia,2011-09-19,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Park/Agricultural Area,Anti-White,Individual,S,S
