activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,99999,CA,37051.0,37051090300.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Approve,32,425000.0,,5.75,,3,,2640.0,,950.0,1690.0,,360.0,,,2,2,2,2,450000.0,1,1,3,5,1,,104.0,,1111,1111,2.0,4.0,2,4,7.0,9.0,2,4,1,5,2,4,65-74,9999,Yes,,1
2024,12054,FL,12023.0,12023005500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black,Male,Deny,1,350000.0,,4.5,,3,,1500.0,,750.0,750.0,,300.0,,,2,2,2,2,380000.0,1,1,3,5,1,,110.0,,3,10,1.0,3.0,2,4,5.0,7.0,2,4,1,5,2,4,65-74,9999,Yes,,1
2024,20001,CO,08049.0,08049011200.0,FHA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,Conditionally Approve,32,275000.0,,6.5,,3,,1200.0,,500.0,700.0,,360.0,,,2,2,2,2,290000.0,1,1,3,5,1,,111.0,,3,10,1.0,3.0,2,4,6.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1
2024,20137,VA,51715.0,51715540203.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Purchase,32,195000.0,,5.25,,3,,1400.0,,600.0,800.0,,360.0,,,2,2,2,2,200000.0,1,1,3,5,1,,99.0,,3,10,1.0,3.0,2,4,5.0,7.0,2,4,1,5,2,4,65-74,9999,Yes,,1
2024,19039,MI,26117.0,26117041400.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Rate Reduction Refinance,32,345000.0,,6.25,,1,,1200.0,,700.0,500.0,,360.0,,,2,2,2,2,370000.0,1,1,3,5,1,,108.0,,3,10,2.0,4.0,2,4,7.0,9.0,2,4,1,5,2,4,65-74,9999,Yes,,1
2024,55001,GA,13205.0,13205051000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black,Female,Approve,1,365000.0,,5.0,,3,,1500.0,,800.0,700.0,,300.0,,,2,2,2,2,370000.0,1,1,3,5,1,,101.0,,3,10,1.0,3.0,2,4,6.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1
2024,12203,CA,37051.0,37051090300.0,FHA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Husban Hispanic or Latino,White,Male,Deny,1,275000.0,,6.5,,3,,1800.0,,900.0,900.0,,300.0,,,2,2,2,2,290000.0,1,1,3,5,1,,106.0,,3,10,1.0,3.0,2,4,5.0,7.0,2,4,1,5,2,4,65-74,9999,Yes,,1
2024,47095,TX,48085.0,48085040700.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Refinance,32,385000.0,,5.75,,1,,1600.0,,750.0,850.0,,300.0,,,2,2,2,2,400000.0,1,1,3,5,1,,105.0,,3,10,1.0,3.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1
2024,20271,OH,39025.0,39025041000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Reject,1,285000.0,,6.25,,1,,1600.0,,800.0,800.0,,360.0,,,2,2,2,2,290000.0,1,1,3,5,1,,103.0,,3,10,1.0,3.0,2,4,6.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1
2024,20285,WA,53033.0,53033020100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Approve,32,410000.0,,5.5,,3,,1400.0,,700.0,700.0,,360.0,,,2,2,2,2,430000.0,1,1,3,5,1,,106.0,,3,10,1.0,3.0,2,4,7.0,9.0,2,4,1,5,2,4,65-74,9999,Yes,,1
