activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,99999,CT,9150.0,9150708100.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,25000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,99999,PA,42127.0,42127960600.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Application denied,32,355000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,108.0,,3,10,3.0,5.0,2,4,6.0,8.0,2,4,3,5,2,4,65-74,9999,Yes,,1,1
2024,12054,GA,13121.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,32,225000.0,,6.875,,2,16692.05,,10197.8,8302.8,,300.0,,,2,2,2,2,275000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3,
2024,12054,MD,24510.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,32,480000.0,,7.5,,5,41203.0,,18800.0,35203.0,,360.0,,,2,2,2,2,300000.0,1,1,3,5,1,,93.0,,1111,1111,1.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,45-54,9999,Yes,,1,1,
2024,99999,TX,48201.0,Bank:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,32,500000.0,,3.75,,1,15000.0,,7500.0,7500.0,,360.0,,,2,2,2,2,400000.0,1,1,3,5,1,,90.0,,4444,9995,1.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,45-54,9999,Yes,,1,1
2024,12054,NV,32007.0,Conventional:Second Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,32,123000.0,,6.5,,3,12000.0,,5000.0,7000.0,,120.0,,,2,2,2,2,150000.0,1,1,3,5,1,,105.0,,1111,1112,2.0,7.0,1,4,10.0,12.0,1,4,4,5,4,4,50-59,9999,Yes,,1,1,
2024,99999,WI,55009.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Native American or Alaska Native,Female,1,32,150000.0,,6.25,,3,26000.0,,13000.0,13000.0,,300.0,2.0,,2,2,2,2,160000.0,1,1,3,5,1,,98.0,,4444,3333,1.0,8.0,1,4,6.0,9.0,3,5,4,5,2,4,65-74,9999,Yes,,1,1,
2024,12054,WY,56015.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,32,900000.0,,4.25,,3,75000.0,,22500.0,52500.0,,300.0,2.0,,2,2,2,2,1000000.0,1,1,3,5,1,,100.0,,9999,8888,1.0,9.0,2,5,8.0,12.0,3,5,2,5,3,4,70-79,9999,Yes,,1,1,
2024,12054,NJ,34011.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,1,32,280000.0,,10.0,,1,27500.0,,12000.0,15500.0,,320.0,,,2,2,2,2,300000.0,1,1,3,5,1,,87.0,,3333,1111,1.0,9.0,3,5,9.0,10.0,2,5,4,5,2,4,60-69,9999,Yes,,1,1,
2024,99999,IL,17015.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,32,300000.0,,6.0,,3,30000.0,,15000.0,15000.0,,360.0,,,2,2,2,2,380000.0,1,1,3,5,1,,103.0,,5555,2222,1.0,10.0,2,5,7.5,10.0,2,5,3,5,3,4,45-54,9999,Yes,,1,1,
