activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,99999,CT,9150.0,9150708100.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,25000.0,,,,3,,,,,,240.0,,,2.0,2,2,2,,1,1,3,5,1,,96.0,,1111.0,1111.0,2.0,5.0,2,4.0,5.0,8.0,2.0,4,1,5,2,4,65-74,9999,Yes,,1.0,1.0
2024,12345,NY,1234.0,1234123456.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Female,Loan originated,10,350000.0,85.0,4.5,1.5,1,3500.0,500.0,2000.0,1.5,1500.0,360.0,360.0,24.0,1.0,0,0,0,1,1,1,1,1,,300.0,,5555.0,5555.0,3.0,6.0,3,5,6.0,9.0,3.0,5.0,2,6,3,5,30-39,40-49,No,,1,1.0,
2024,23456,TX,2345.0,2345234567.0,VA:First Lien,Single Family (1-4 Units):Mobile Home,Not Hispanic or Latino,Asian,Female,Application denied by financial institution,20,420000.0,90.0,4.8,2.0,0,4700.0,600.0,2500.0,2.0,1800.0,360.0,360.0,36.0,0.0,0,0,1,1,1,0,0,1,,250.0,,7777.0,7777.0,4.0,7.0,4,4,7.0,10.0,4.0,4.0,4,7,4,4,40-49,50-59,No,,0,1.0,
2024,34567,FL,3456.0,3456345678.0,Conventional:First Lien,Two-Family:Site-Built,Not Hispanic or Latino,White,Male,Application withdrawn by applicant,10,280000.0,75.0,4.0,1.0,1,3000.0,450.0,1750.0,1.0,1300.0,360.0,360.0,36.0,1.0,1,0,0,0,1,0,1,0,,190.0,,2222.0,2222.0,5.0,8.0,5,3,8.0,11.0,5.0,3.0,5,8,5,3,50-59,60-69,Yes,,1,0.0,
2024,45678,CA,4567.0,4567456789.0,FHA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic,Female,Loan approved but not accepted,20,325000.0,80.0,4.3,1.2,0,3400.0,520.0,2200.0,1.7,1500.0,360.0,360.0,24.0,0.0,0,1,1,1,0,1,1,1,,280.0,,3333.0,3333.0,6.0,9.0,6,6,9.0,12.0,6.0,6.0,6,9,6,6,60-69,40-49,Yes,,0,1.0,
2024,56789,IL,5678.0,5678567890.0,VA:First Lien,Three-Family:Mobile Home,Not Hispanic or Latino,White,Female,Loan originated,10,380000.0,88.0,4.9,2.2,1,4200.0,620.0,3000.0,2.2,1900.0,300.0,300.0,36.0,1.0,0,0,0,1,0,0,1,1,,330.0,,4444.0,4444.0,7.0,10.0,7,5,10.0,13.0,7.0,5.0,7,10,7,5,70-79,30-39,No,,1,1.0,
2024,67890,GA,6789.0,6789678901.0,Conventional:First Lien,Multi-Family:Site-Built,Not Hispanic or Latino,Black,Male,Loan denied,20,210000.0,70.0,5.2,1.8,0,2500.0,400.0,1300.0,1.2,900.0,360.0,360.0,30.0,0.0,1,1,1,0,1,1,0,0,,220.0,,6666.0,6666.0,8.0,11.0,8,4,11.0,14.0,8.0,4.0,8,11,8,4,20-29,20-29,Yes,,0,1.0,
2024,78901,PA,7890.0,7890789012.0,FHA:Subordinate Lien,Single Family (1-4 Units):Mobile Home,Not Hispanic or Latino,White,Female,Application denied by financial institution,10,450000.0,92.0,5.1,2.5,1,4500.0,650.0,2750.0,2.5,2000.0,360.0,360.0,48.0,1.0,0,0,0,1,0,1,1,1,,290.0,,8888.0,8888.0,9.0,12.0,9,7,12.0,15.0,9.0,7.0,9,12,9,7,50-59,60-69,Yes,,1,1.0,
2024,89012,OH,8901.0,8901890123.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic,Male,Loan originated,10,350000.0,85.0,4.6,1.8,0,3800.0,550.0,2300.0,1.8,1500.0,360.0,360.0,24.0,0.0,0,0,1,1,0,1,0,1,,210.0,,9999.0,9999.0,10.0,13.0,10,8,13.0,16.0,10.0,8.0,10,13,10,8,60-69,80-89,No,,0,1.0,
2024,90123,MI,9012.0,9012901213.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan approved but not accepted,20,600000.0,95.0,5.8,2.8,1,6200.0,750.0,3500.0,3.0,2500.0,360.0,360.0,36.0,0.0,1,0,0,0,0,1,1,0,,180.0,,1122.0,1122.0,11.0,14.0,11,6,14.0,17.0,11.0,6.0,11,14,11,6,30-39,50-59,Yes,,1,1.0,
2024,1234,MA,123.0,123012345.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan denied,10,290000.0,72.0,4.4,1.3,0,2800.0,460.0,1800.0,1.3,1200.0,360.0,360.0,24.0,0.0,1,0,0,1,1,0,1,0,,150.0,,3344.0,3344.0,12.0,15.0,12,5,15.0,18.0,12.0,5.0,12,15,12,5,40-49,30-39,Yes,,1,0.0,
2024,12345,WA,1234.0,1234123456.0,VA:Subordinate Lien,Single Family (1-4 Units):Mobile Home,Hispanic or Latino,Hispanic,Female,Loan originated,20,420000.0,83.0,4.7,1.6,1,4200.0,600.0,2500.0,1.9,1700.0,300.0,300.0,36.0,1.0,0,1,1,0,1,1,1,1,,300.0,,5566.0,5566.0,13.0,16.0,13,4,16.0,19.0,13.0,4.0,13,16,13,4,20-29,60-69,No,,1,1.0,
