activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,42620,36,061,030901,Conventional,Single-Family,Hispanic or Latino,White,Male,1,Home Purchase,350000,0.8,6.5,2.25,Not HOEPA,5250,3500,1750,0.75,1750,30,0,0,No,Yes,No,Yes,,450000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,85000,35,FICO,Other,Hispanic or Latino,Hispanic or Latino,Yes,Yes,White,White,Yes,Yes,Male,Male,Male,Male,35,32,No,No,Y,N
2024,31080,06,075,010700,Conventional,Single-Family,White,White,Male,1,Home Purchase,425000,0.7,5.25,1.75,Not HOEPA,4800,3200,1600,0.5,1600,30,0,0,No,No,No,No,,600000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,120000,28,FICO,FICO,White,White,Yes,Yes,White,White,Yes,Yes,Male,Male,Male,Male,42,40,No,No,Y,N
2024,31080,06,075,010701,Conventional,Single-Family,Black or African American,Black or African American,Female,1,Home Purchase,285000,0.75,6.75,2.25,Not HOEPA,4200,2800,1400,0.6,1400,30,0,0,No,Yes,No,Yes,,380000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,65000,39,FICO,Other,Black or African American,Other,Yes,Yes,Black or African American,Black or African American,Yes,Yes,Female,Female,Female,Female,38,41,No,No,Y,N
2024,31080,06,075,010702,Conventional,Single-Family,Asian,Asian,Male,1,Home Purchase,550000,0.65,5.5,1.5,Not HOEPA,5500,3667,1833,0.65,1833,30,0,0,No,No,No,Yes,,700000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,180000,25,FICO,FICO,Asian,Asian,Yes,Yes,Asian,Asian,Yes,Yes,Male,Male,Male,Male,31,33,No,No,Y,N
2024,47020,12,003,020400,FHA,Single-Family,Hispanic or Latino,White,Female,1,Home Purchase,225000,0.85,8.25,3.5,Not HOEPA,4100,2733,1367,0.8,1367,30,0,0 No,No,No,No,,265000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,90000,42,FICO,FICO,Hispanic or Latino,Hispanic or Latino,Yes,Yes,White,White,Yes,Yes,Female,Female,Female,Female,33,35,No,No,Y,Y
2024,47020,12,003,020401,FHA,Single-Family,White,White,Female,1,Home Purchase,345000,0.7,5.5,1.5,Not HOEPA,4800,3200,1600,0.5,1600,30,0,0,No,Yes,No,Yes,,450000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,110000,30,FICO,FICO,White,White,Yes,Yes,White,White,Yes,Yes,Female,Female,Female,Female,48,45,No,No,Y,N
2024,47020,12,003,020402,FHA,Single-Family,Black or African American,Black or African American,Male,1,Home Purchase,410000,0.78,7.25,2.75,Not HOEPA,6400,4267,2133,0.65,2133,30,0,0,No,No,No,No,,520000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,135000,38,FICO,FICO,Black or African American,Black or African American,Yes,Yes,Black or African American,Black or African American,Yes,Yes,Male,Male,Male,Male,39,41,No,No,Y,N
2024,47020,12,003,020403,FHA,Single-Family,White,White,Male,1,Home Purchase,295000,0.8,7.5,2.5,Not HOEPA,4650,3100,1550,0.6,1550,30,0,0,No,No,No,No,,370000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,80000,45,FICO,FICO,White,White,Yes,Yes,White,White,Yes,Yes,Male,Male,Male,Male,54,51,Yes,No,Y,N
2024,18100,50,001,041401,FHA,Single-Family,Hispanic or Latino,Hispanic or Latino,Female,1,Home Purchase,278000,0.9,9.25,4.25,Not HOEPA,5500,3667,1833,0.85,1833,30,0,0,No,Yes,No,Yes,,320000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,55000,50,FICO,Other,Hispanic or Latino,Other,Yes,Yes,Hispanic or Latino,Hispanic or Latino,Yes,Yes,Female,Female,Female,Female,52,55,No,No,Y,N
2024,18100,50,001,041402,FHA,Single-Family,White,White,Male,1,Home Purchase,315000,0.75,5.75,1.25,Not HOEPA,3900,2600,1300,0.6,1300,30,0,0,No,No,No,No,,420000,Site-Built,Primary Residence,Not Applicable,Not Applicable,1,0,95000,31,FICO,FICO,White,White,Yes,Yes,White,White,Yes,Yes,Male,Male,Male,Male,44,46,No,No,Y,N
