EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
SAINSBURY'S SUPERMARKETS LIMITED,47810,15.5,10.2,24.7,18.1,30.0,36.2,20.1,79.9,35.6,64.4,42.3,57.7,68.8,31.2,5000-19999,2025-03-22 10:45:12
BRITISH AIRWAYS PLC,52100,8.3,2.7,31.2,-5.4,42.0,47.4,32.1,67.9,41.5,58.5,46.2,53.8,62.1,37.9,1000-4999,2025-02-18 14:33:29
KPMG LLP,74900,29.8,17.2,42.1,25.6,50.1,65.5,22.3,77.7,36.7,63.3,43.2,56.8,70.0,30.0,500-999,2025-01-05 15:20:07
ROYAL MAIL GROUP PLC,64910,22.1,15.9,33.5,16.2,34.0,46.1,40.0,60.0,47.0,53.0,53.5,46.5,72.0,28.0,5000-19999,2025-02-26 09:55:41
TESCO PLC,47810,9.4,6.3,21.9,12.4,28.1,32.4,19.8,80.2,35.1,64.9,42.7,57.3,67.2,32.8,5000-19999,2025-04-01 16:21:37
HSBC HOLDINGS PLC,64110,30.2,19.8,41.2,32.6,52.1,63.2,21.0,79.0,36.4,63.6,44.0,56.0,71.0,29.0,1000-4999,2025-03-30 13:17:52
WALLIS & HOPKINS LTD,64209,25.5,18.6,39.5,21.1,40.0,51.3,25.0,75.0,38.2,61.8,47.1,52.9,65.0,35.0,100-249,2025-01-24 11:11:45
THE UNIVERSITY OF EDINBURGH,85310,22.6,13.1,25.3,17.4,33.2,37.8,21.0,79.0,34.5,65.5,43.0,57.0,60.0,40.0,1000-4999,2025-03-19 12:08:01
BARCLAYS PLC,64110,22.8,16.3,29.6,19.4,36.7,46.3,27.0,73.0,37.8,62.2,46.4,53.6,68.1,31.9,1000-4999,2025-02-01 08:24:15
FEDERAL-MOGUL LTD,28920,33.8,22.7,45.5,31.8,44.4,54.2,23.2,76.8,38.0,62.0,44.1,55.9,69.0,31.0,500-999,2025-03-15 10:18:22
VODAFONE GROUP PLC,61900,18.2,10.8,38.9,29.1,43.1,53.5,26.8,73.2,35.7,64.3,45.2,54.8,67.0,33.0,5000-19999,2025-01-26 09:59:09
LONDON STOCK EXCHANGE GROUP,64990,28.1,18.4,43.0,30.2,47.3,59.1,19.5,80.5,33.5,66.5,42.6,57.4,68.3,31.7,500-999,2025-04-05 14:05:33
REDBULL GmbH,73100,43.0,30.4,52.1,33.5,50.0,63.0,24.1,75.9,36.9,63.1,45.0,55.0,72.0,28.0,100-249,2025-02-14 15:48:10
AON RISK SERVICES LTD,74900,20.5,12.6,37.1,24.0,44.2,50.2,23.7,76.3,35.1,64.9,43.3,56.7,66.5,33.5,500-999,2025-01-09 13:12:18
BASF SE,20100,23.1,13.3,36.9,22.8,40.8,51.0,22.9,77.1,32.5,67.5,41.2,58.8,66.8,33.2,5000-19999,2025-03-07 12:39:15
CITY OF LONDON CORPORATION,84110,14.6,9.1,30.2,15.9,25.0,39.5,20.0,80.0,34.2,65.8,42.1,57.9,71.0,29.0,1000-4999,2025-02-22 10:47:36
AXA GROUP SERVICES LTD,65210,25.4,16.8,31.3,22.1,34.9,54.1,31.1,68.9,42.7,57.3,49.1,50.9,65.3,34.7,100-249,2025-03-01 11:53:48
JCB PLC,28910,22.1,18.0,31.0,25.5,42.6,49.7,20.0,80.0,32.5,67.5,42.0,58.0,63.0,37.0,500-999,2025-04-09 09:20:44
MORRISON’SSUPERMARKETS LIMITED,47810,18.5,12.2,28.1,14.8,28.9,36.5,32.2,67.8,41.7,58.3,44.9,55.1,59.0,41.0,5000-19999,2025-01-14 14:38:55
NATIONAL GRID PLC,61100,19.2,14.4,32.9,13.0,36.0,47.1,29.5,70.5,43.1,56.9,46.3,53.7,64.6,35.4,500-999,2025-03-10 16:30:26
