EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
STANDARD CHARTERED BANK PLC,64190,25.3,18.7,65.2,28.9,48.1,73.4,32.1,76.9,19.8,80.2,28.5,71.5,59.6,40.4,1000-4999,2025-02-18 09:32:15
LONDON STOCK EXCHANGE GROUP PLC,64999,32.1,24.8,58.7,31.2,52.3,83.7,28.9,71.1,21.4,78.6,29.2,70.8,54.3,45.7,500-999,2025-03-01 11:45:22
BARCLAYS BANK PLC,64110,28.9,22.1,71.8,35.6,61.4,96.2,31.2,78.8,18.7,81.3,26.8,73.2,58.1,41.9,10000+,2025-01-29 14:20:08
COFFEE BEAN CO LTD,60930,35.7,29.4,42.3,15.8,38.2,54.1,24.6,75.4,16.3,83.7,29.1,70.9,44.2,55.8,250-499,2025-04-02 16:55:33
NATIONAL GRID PLC,61000,18.5,12.3,48.9,22.1,43.7,65.8,36.2,63.8,22.1,77.9,27.8,72.2,51.9,48.1,5000-9999,2025-03-15 10:12:47
SANTANDER UK PLC,64190,31.2,25.8,68.4,38.7,59.3,97.1,33.1,66.9,20.4,79.6,26.2,73.8,57.3,42.7,1000-4999,2025-02-24 08:41:36
THE CO-OPERATIVE GROUP PLC,64910,26.8,19.9,55.3,20.4,46.7,77.1,32.8,77.2,20.1,79.9,28.3,71.7,58.7,41.3,500-999,2025-03-28 13:17:58
VODAFONE GROUP PLC,61300,24.1,17.8,59.2,25.6,51.2,84.8,33.6,66.4,19.3,80.7,26.7,73.3,58.9,41.1,5000-9999,2025-01-16 15:28:19
HSBC GROUP PLC,64110,34.2,28.1,72.6,39.5,64.1,104.3,30.8,69.2,17.9,82.1,26.4,73.6,55.8,44.2,10000+,2025-02-11 09:53:42
RENAULT UK LIMITED,64999,29.7,23.4,53.8,19.8,44.1,73.6,31.4,78.6,19.2,80.8,27.6,72.4,59.5,40.5,250-499,2025-03-22 11:05:54
WATERLOW PLC,64999,27.4,20.9,51.6,22.7,45.3,74.1,30.7,79.3,18.2,81.8,26.1,73.9,58.3,41.7,500-999,2025-04-03 07:36:28
JPMORGAN CHASE BANK PLC,64100,38.9,31.2,77.3,43.1,71.2,108.9,29.1,70.9,16.4,83.6,25.3,74.7,55.1,44.9,1000-4999,2025-01-23 10:14:02
TESCO PLC,64930,19.2,13.6,45.1,18.2,44.2,63.3,34.2,65.8,21.0,79.0,28.7,71.3,57.1,42.9,10000+,2025-02-26 14:48:33
ROYAL MAIL PLC,64190,23.8,16.9,57.4,24.5,51.3,75.9,35.7,64.3,20.8,79.2,27.1,72.9,57.8,42.2,5000-9999,2025-03-10 12:27:57
BANK OF SCOTLAND PLC,64190,30.5,24.3,62.8,32.9,55.2,88.7,32.1,77.9,19.6,80.4,27.5,72.5,58.2,41.8,1000-4999,2025-01-31 08:43:12
UNILEVER PLC,64910,21.6,15.3,49.1,20.1,42.8,67.4,37.4,62.6,22.9,77.1,26.8,73.2,48.4,51.6,10000+,2025-02-15 16:11:34
ING UK BANK PLC,64190,25.8,19.4,61.7,30.2,54.8,86.5,31.7,68.3,18.9,81.1,26.6,73.4,58.4,41.6,500-999,2025-03-07 10:35:49
AVIVA PLC,64190,28.1,22.7,58.3,26.8,53.5,80.6,33.2,66.8,19.7,80.3,27.3,72.7,55.7,44.3,5000-9999,2025-01-28 13:19:07
DEUTSCHE BANK PLC,64100,35.2,28.9,75.8,42.1,68.7,104.9,30.2,69.8,17.1,82.9,26.8,73.2,56.2,43.8,1000-4999,2025-02-20 09:24:56
BAE SYSTEMS PLC,64999,33.8,27.1,64.1,34.9,58.2,93.0,31.6,68.4,18.5,81.5,27.9,72.1,59.3,40.7,5000-9999,2025-03-19 11:58:13
BARCLAYS PRIVATE BANK PLC,64190,25.9,19.7,60.4,31.8,54.7,91.2,32.4,67.6,18.8,81.2,27.2,72.8,58.8,41.2,500-999,2025-02-04 15:39:27
THE CO-OPERATIVE GROUP PLC,64910,26.8,19.9,55.3,20.4,46.7,77.1,32.8,77.2,20.1,79.9,28.3,71.7,58.7,41.3,250-499,2025-01-08 14:16:41
CRUK-UNIVERSITY COLLEGE LONDON HOSPITALS NHS TRUST,64999,18.3,12.6,44.2,16.2,40.9,57.2,39.1,60.9,23.5,76.5,25.4,74.6,53.1,46.9,500-999,2025-02-27 10:30:17
BRITISH AIRWAYS PLC,64190,22.3,15.1,53.1,25.4,48.2,75.8,34.9,65.1,21.7,78.3,26.6,73.4,56.3,43.7,5000-9999,2025-03-21 13:42:38
GSK PLC,64910,24.7,18.2,56.4,23.9,50.1,77.9,35.8,64.2,21.5,78.5,26.9,73.1,56.8,43.2,10000+,2025-04-01 09:18:23
KPMG LLP,69110,32.1,25.4,70.2,36.1,62.8,97.3,29.8,70.2,18.3,81.7,26.2,73.8,58.1,41.9,250-499,2025-01-25 12:55:45
FIDELITY INTERNATIONAL PLC,64190,36.7,29.9,73.3,41.2,67.1,103.8,28.5,71.5,16.9,83.1,26.0,74.0,55.9,44.1,500-999,2025-02-12 08:47:10
WELLINGBOROUGH BAKERY,60930,41.3,34.7,45.9,19.5,37.1,65.2,23.2,76.8,15.6,84.4,28.9,71.1,43.5,56.5,50-249,2025-03-14 15:32:24
MIDLANDS ELECTRICITY BOARD,61100,16.8,11.5,40.8,15.1,38.9,56.0,41.9,58.1,24.1,75.9,22.9,77.1,59.2,40.8,500-999,2025-01-21 09:03:49
RBS GROUP PLC,64100,31.4,24.1,66.9,33.7,59.1,92.8,31.8,68.2,19.2,80.8,26.7,73.3,57.5,42.5,10000+,2025-02-17 14:45:50
PWC LIMITED,69110,34.5,27.8,69.4,38.2,63.2,99.3,29.5,70.5,17.8,82.2,25.8,74.2,57.1,42.9,250-499,2025-03-24 10:22:37
BROWN & FLETCHER PLC,60900,37.8,30.2,48.7,17.8,38.5,63.6,25.1,74.9,17.4,82.6,29.3,70.7,46.1,53.9,50-249,2025-01-30 11:51:44
ROYAL DUTCH SHELL PLC,64910,30.6,25.1,65.5,35.2,57.8,94.1,32.5,67.5,19.0,81.0,27.4,72.6,58.3,41.7,10000+,2025-02-09 13:26:08
MERRILL LYNCH PLC,64100,39.1,32.4,74.6,43.8,66.9,101.7,28.3,71.7,16.5,83.5,25.9,74.1,56.2,43.8,1000-4999,2025-03-16 08:09:12
SOLAR POWER UK LIMITED,62100,19.8,14.6,43.6,17.7,41.8,62.3,38.7,61.3,23.1,76.9,26.4,73.6,52.8,47.2,50-249,2025-02-14 11:43:26
GREAT BRITAIN CATERING PLC,60930,39.7,32.9,46.8,20.1,39.4,66.5,24.3,75.7,16.8,83.2,28.7,71.3,45.2,54.8,100-249,2025-01-15 14:13:35
CITY OF WESTMINSTER,64999,20.1,14.4,42.9,16.4,37.8,60.2,39.2,60.8,23.1,76.9,25.2,74.8,52.5,47.5,500-999,2025-03-05 09:21:09
BARCLAYS INVESTMENT MANAGEMENT,64100,26.4,20.1,62.5,31.4,55.9,90.1,31.5,68.5,18.7,81.3,26.9,73.1,57.1,42.9,1000-4999,2025-01-22 12:38:46
VONAGE UK PLC,61300,24.9,18.6,58.2,24.3,51.4,81.9,33.4,66.6,19.5,80.5,27.2,72.8,57.6,42.4,500-999,2025-02-28 15:14:52
REPUBLIC BANK PLC,64100,32.8,26.3,63.7,34.1,56.8,89.4,32.2,67.8,18.6,81.4,27.3,72.7,58.9,41.1,500-999,2025-03-11 10:01:32
LLOYDS BANK PLC,64110,29.3,22.5,66.1,33.3,57.4,89.9,33.7,66.3,20.1,79.9,26.5,73.5,57.7,42.3,10000+,2025-01-24 09:45:08
JAGUAR LAND ROVER PLC,64999,35.1,28.4,54.9,26.5,48.6,84.7,30.9,69.1,18.3,81.7,26.4,73.6,59.8,40.2,500-999,2025-02-22 14:27:43
SAS UK LIMITED,64999,23.1,16.7,52.7,25.2,47.2,78.6,34.2,65.8,21.0,79.0,26.7,73.3,56.1,43.9,500-999,2025-03-18 11:57:22
SIRIUS XM UK LIMITED,61300,25.6,19.3,57.9,23.5,51.8,84.2,32.7,67.3,19.0,81.0,27.1,72.9,58.5,41.5,100-249,2025-01-17 13:39:29
THE POST OFFICE LTD,64999,18.4,12.7,46.3,19.9,41.2,68.7,36.3,63.7,21.2,78.8,28.1,71.9,57.4,42.6,5000-9999,2025-02-13 09:15:39
AXA UK PLC,64190,27.2,20.8,54.2,22.9,49.8,77.5,34.7,65.3,20.3,79.7,27.0,73.0,57.7,42.3,1000-4999,2025-03-27 12:08:44
THE TOWN & GOWN HOSPITAL NHS TRUST,64999,16.9,12.1,40.9,15.0,38.3,57.8,40.2,59.8,23.8,76.2,25.6,74.4,52.2,47.8,500-999,2025-01-26 08:36:16
THERMOS UK PLC,61300,34.2,27.1,49.8,19.4,43.1,72.5,25.4,74.6,16.2,83.8,28.5,71.5,45.1,54.9,250-499,2025-02-23 13:44:05
BARCLAYS CAPITAL PLC,64100,35.7,28.6,72.1,38.9,63.8,102.1,30.4,69.6,17.5,82.5,26.5,73.5,56.7,43.3,1000-4999,2025-03-30 10:23:47
VODACOM GROUP PLC,61300,26.3,19.8,52.1,22.4,46.8,74.7,33.1,66.9,20.2,79.8,26.3,73.7,57.8,42.2,500-999,2025-01-19 15:05:21
HOLMES & WOODS PLC,60900,28.9,22.6,46.3,18.7,40.8,57.6,35.5,64.5,21.5,78.5,27.9,72.1,57.5,42.5,100-249,2025-03-17 14:18:53
THERAMIC UK LIMITED,62100,17.5,11.9,41.4,15.7,39.2,58.9,39.8,60.2,23.4,76.6,24.8,75.2,51.7,48.3,100-249,2025-02-05 08:55:30
CITY OF LONDON CORPORATION,64999,22.4,16.2,48.7,20.3,42.6,62.9,37.2,62.8,21.9,78.1,27.4,72.6,54.7,45.3,5000-9999,2025-01-14 10:40:18
NEXUS PLC,64999,19.1,13.8,50.1,21.8,44.7,72.6,36.7,63.3,22.4,77.6,27.5,72.5,52.4,47.6,100-249,2025-03-13 09:58:41
BARNARD'S GROVE PLC,60930,34.1,27.6,47.9,20.8,38.6,68.5,24.2,75.8,16.2,83.8,29.1,70.9,44.6,55.4,50-249,2025-02-10 13:11:38
THE UNIVERSITY OF LEEDS NHS TRUST,64999,17.2,11.8,43.8,15.9,39.4,59.1,38.5,61.5,22.6,77.4,25.5,74.5,52.3,47.7,500-999,2025-03-09 14:53:22
BRITISH GAS plc,64190,21.8,15.5,51.3,21.2,46.1,73.9,36.1,63.9,21.7,78.3,27.2,72.8,55.3,44.7,5000-9999,2025-01-27 11:55:06
CROWN PAPER PLATE PLC,60900,37.8,31.4,46.5,18.9,38.1,65.6,25.8,74.2,16.9,83.1,28.7,71.3,43.4,56.6,50-249,2025-03-25 16:02:04
KERR'S BREWERY PLC,60930,40.5,33.9,43.2,17.6,37.4,64.1,23.1,76.9,16.3,83.7,29.1,70.9,50.3,49.7,250-499,2025-01-12 10:27:19
CROWN FINANCIAL SERVICES LIMITED,64100,29.6,23.7,71.9,37.2,63.1,99.6,31.0,69.0,18.5,81.5,26.5,73.5,58.4,41.6,500-999,2025-02-25 08:48:23
CITY OF STAFFORDSHIRE,64999,19.9,14.2,45.2,19.4,41.5,64.7,37.5,62.5,21.4,78.6,28.5,71.5,54.1,45.9,500-999,2025-03-12 11:30:15
THE UNIVERSITY OF MANCHESTER,64999,18.7,13.3,47.6,20.1,42.9,67.5,39.0,61.0,23.3,76.7,26.9,73.1,51.8,48.2,5000-9999,2025-02-16 12:32:40
BROAD STREET CATERING PLC,60930,31.3,25.1,53.8,19.7,42.3,71.9,24.4,75.6,15.9,84.1,29.6,70.4,43.2,56.8,50-249,2025-01-11 14:27:46
THE ROYAL MINT LIMITED,64999,23.3,16.8,51.1,22.5,46.5,74.2,37.1,62.9,21.3,78.7,26.8,73.2,54.9,45.1,500-999,2025-03-20 09:23:48
NATIONAL AUTOMOBILES LTD,64999,30.5,24.2,61.3,31.6,54.1,87.9,32.7,67.3,19.1,80.9,26.8,73.2,58.2,41.8,500-999,2025-01-18 13:51:54
DHL UK LIMITED,64999,28.1,21.6,59.4,24.8,51.9,83.5,33.9,66.1,19.0,81.0,26.7,73.3,57.9,42.1,5000-9999,2025-02-21 10:47:33
THE RAILWAY AND INDUSTRIAL TRAINING BOARD,64999,17.6,12.2,48.2,18.6,42.7,66.8,37.8,62.2,21.8,78.2,27.1,72.9,52.1,47.9,500-999,2025-03-08 15:15:25
