EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Acme Limited,62010,12.3,8.7,15.2,10.8,25.0,18.5,45.0,52.0,35.0,38.0,20.0,19.0,40.0,35.0,Small,2024-03-15
Global Tech Solutions,62020,-2.1,-1.9,3.4,2.1,18.0,22.0,38.0,42.0,32.0,36.0,28.0,24.0,35.0,38.0,Medium,2024-04-22
Northern Energy Ltd,38110,5.6,4.2,7.8,5.3,22.0,19.0,40.0,45.0,30.0,32.0,25.0,23.0,45.0,40.0,Medium,2024-02-18
Royal Insurance Group,66210,18.9,15.4,22.1,18.7,28.0,21.0,42.0,48.0,36.0,39.0,22.0,18.0,50.0,42.0,Large,2024-05-30
Westminster Bank plc,64100,-3.2,-2.8,1.5,0.9,15.0,16.5,35.0,38.0,30.0,33.0,25.0,22.0,30.0,28.0,Very Large,2024-01-12
Bright Future Ltd,72100,9.8,6.5,12.4,8.9,20.0,17.0,48.0,50.0,38.0,40.0,15.0,18.0,37.0,35.0,Small,2024-06-25
City Construction Ltd,41200,11.2,9.1,14.8,11.5,24.0,21.0,32.0,36.0,40.0,38.0,23.0,21.0,45.0,42.0,Medium,2024-03-08
Ocean Shipping Co,49300,4.5,3.8,6.2,4.1,19.0,16.5,37.0,42.0,31.0,34.0,22.0,19.0,40.0,37.0,Medium,2024-04-17
Harmony Retail Group,47110,-1.3,-0.9,2.7,1.8,12.0,14.0,35.0,38.0,29.0,32.0,28.0,26.0,38.0,35.0,Medium,2024-02-28
Metropolitan Medical Ltd,86100,8.7,6.3,10.3,7.4,21.0,19.5,39.0,41.0,33.0,35.0,21.0,23.0,45.0,43.0,Small,2024-07-15
Brightwood Education,85200,13.4,10.9,16.8,13.2,26.0,23.0,42.0,45.0,34.0,36.0,20.0,22.0,44.0,41.0,Medium,2024-01-25
Prime Financial Services,66200,2.3,1.8,4.6,3.2,20.0,18.5,40.0,42.0,32.0,34.0,25.0,23.0,38.0,36.0,Large,2024-05-20
New Horizon Consulting,73100,7.9,5.7,11.8,8.3,23.0,19.0,44.0,47.0,36.0,38.0,22.0,20.0,40.0,37.0,Small,2024-03-10
Sunrise Manufacturing,23100,15.6,12.8,18.9,15.1,27.0,24.0,38.0,41.0,32.0,35.0,23.0,21.0,42.0,39.0,Medium,2024-06-04
Coastal Properties Ltd,68100,6.2,4.9,8.4,6.7,18.0,16.0,34.0,36.0,28.0,30.0,26.0,24.0,44.0,42.0,Medium,2024-02-10
River Valley Software,62030,10.4,8.1,13.7,9.8,23.0,20.5,46.0,49.0,37.0,39.0,18.0,20.0,39.0,36.0,Small,2024-04-12
High Street Fashion,47120,3.8,2.9,5.1,3.8,17.0,15.5,33.0,35.0,26.0,28.0,29.0,27.0,38.0,36.0,Medium,2024-05-28
Blue Sky Analytics,72200,14.3,11.8,17.2,14.5,25.0,22.0,40.0,43.0,34.0,36.0,20.0,22.0,46.0,43.0,Small,2024-01-30
Central Transport Ltd,49200,8.9,6.7,10.2,7.8,22.0,19.0,36.0,38.0,31.0,33.0,23.0,21.0,42.0,39.0,Medium,2024-03-25
Mountain Medical Trust,86200,-0.4,-0.2,1.2,0.7,14.0,16.0,32.0,34.0,27.0,29.0,30.0,28.0,35.0,33.0,Small,2024-04-18
Victory Insurance Co,66220,16.7,13.6,20.1,17.2,29.0,26.0,41.0,44.0,33.0,35.0,19.0,21.0,45.0,42.0,Medium,2024-02-14
Golden Gate Bank,64110,2.8,2.3,4.2,3.1,19.0,17.5,37.0,40.0,32.0,34.0,24.0,22.0,36.0,34.0,Large,2024-05-16
Future Enterprises Ltd,62040,5.1,3.9,6.9,5.4,21.0,18.5,39.0,42.0,33.0,35.0,24.0,22.0,41.0,38.0,Medium,2024-03-20
Royal Hotels Group,77200,9.4,7.2,12.6,9.5,20.0,17.5,41.0,44.0,35.0,37.0,22.0,20.0,43.0,40.0,Medium,2024-06-12
Aurora Solar Power,38120,13.8,11.1,16.3,12.9,26.0,23.0,36.0,40.0,30.0,32.0,24.0,22.0,44.0,41.0,Small,2024-02-22
Northern Securities,66230,-1.7,-1.1,0.8,0.4,11.0,13.0,34.0,36.0,28.0,30.0,30.0,28.0,37.0,35.0,Medium,2024-05-05
EastEnd Services Ltd,73200,7.2,5.4,9.6,7.1,21.0,18.0,42.0,45.0,34.0,36.0,20.0,22.0,40.0,38.0,Small,2024-03-01
Bayside Real Estate,68200,4.9,3.6,6.5,5.0,18.0,16.0,33.0,35.0,27.0,29.0,26.0,24.0,43.0,41.0,Medium,2024-04-29
Silver Leaf Technologies,62050,11.5,9.3,14.9,11.7,24.0,21.0,43.0,46.0,36.0,38.0,21.0,19.0,45.0,42.0,Small,2024-02-20
Prime Construction Ltd,41100,6.3,4.8,9.0,6.8,20.0,18.5,35.0,38.0,31.0,33.0,26.0,24.0,44.0,41.0,Medium,2024-05-31
Meridian Finance Group,66100,3.1,2.6,5.3,4.0,19.0,16.5,36.0,38.0,30.0,32.0,25.0,23.0,39.0,37.0,Large,2024-01-17
Northampton Healthcare,86300,8.6,6.4,10.0,7.5,21.0,19.0,40.0,42.0,34.0,36.0,20.0,22.0,44.0,41.0,Small,2024-04-14
Pine Valley Insurance,66240,12.1,9.6,15.4,12.3,25.0,23.0,41.0,43.0,34.0,36.0,19.0,21.0,45.0,43.0,Medium,2024-02-25
Riverside Logistics,49400,7.4,5.2,9.8,7.3,20.0,18.0,38.0,40.0,32.0,34.0,23.0,21.0,42.0,40.0,Medium,2024-06-18
Crystal Electronics Ltd,28100,14.6,11.9,17.5,14.1,27.0,24.0,37.0,40.0,31.0,33.0,24.0,22.0,43.0,41.0,Medium,2024-03-12
Capital Travel Ltd,77100,5.8,4.3,7.7,6.1,19.0,17.0,40.0,42.0,33.0,35.0,23.0,21.0,40.0,38.0,Small,2024-05-10
Hawthorne Chemicals Ltd,20100,9.2,7.1,12.2,9.3,22.0,19.5,36.0,39.0,31.0,33.0,25.0,23.0,44.0,42.0,Medium,2024-04-25
Greenwood Investments Ltd,66110,1.9,1.5,3.3,2.8,18.0,16.5,35.0,37.0,29.0,31.0,26.0,24.0,38.0,36.0,Large,2024-02-16
Skyline Construction,41300,6.5,4.7,9.2,6.9,20.0,18.0,39.0,41.0,32.0,34.0,24.0,22.0,43.0,40.0,Medium,2024-06-07
Meadowbrook Education,85300,11.7,9.2,14.0,11.0,24.0,21.0,42.0,45.0,35.0,37.0,19.0,21.0,44.0,41.0,Small,2024-01-23
Western Retail Group,47130,3.4,2.6,5.5,4.1,17.0,15.0,34.0,36.0,27.0,29.0,29.0,27.0,38.0,36.0,Medium,2024-04-03
Lakeside Banking Ltd,64120,2.4,2.0,4.1,3.0,18.0,16.5,36.0,38.0,31.0,33.0,25.0,23.0,37.0,35.0,Large,2024-03-05
Falcon Aviation Ltd,49100,10.8,8.5,13.4,10.7,23.0,20.5,41.0,44.0,34.0,36.0,20.0,22.0,42.0,40.0,Small,2024-05-22
Brightway Medical,86110,6.8,5.1,8.7,6.3,21.0,19.0,39.0,41.0,33.0,35.0,22.0,20.0,43.0,41.0,Small,2024-02-09
Seaside Hotels,77210,9.1,7.0,12.1,9.4,21.0,19.0,39.0,42.0,35.0,37.0,21.0,19.0,42.0,40.0,Medium,2024-05-08
Northern Tech Systems,62060,8.3,6.2,11.2,8.6,22.0,19.5,40.0,43.0,34.0,36.0,20.0,22.0,43.0,40.0,Small,2024-01-29
Midfield Services Ltd,73300,5.2,3.8,6.7,5.0,19.0,17.0,37.0,40.0,31.0,33.0,24.0,22.0,39.0,37.0,Small,2024-04-11
Northern Energy Holdings,38200,4.1,3.2,6.1,4.8,18.0,16.0,40.0,42.0,32.0,34.0,23.0,21.0,44.0,41.0,Medium,2024-03-17
Golden Fields Ltd,72210,12.9,10.4,15.8,12.5,26.0,23.0,41.0,44.0,36.0,38.0,19.0,21.0,44.0,41.0,Small,2024-06-15
Sapphire Insurance Co,66250,7.6,5.9,10.1,8.2,23.0,20.0,40.0,43.0,33.0,35.0,20.0,22.0,43.0,40.0,Medium,2024-02-13
Crestview Properties,68300,5.7,4.1,7.3,5.8,18.0,16.0,35.0,37.0,29.0,31.0,26.0,24.0,41.0,39.0,Medium,2024-05-25
Oceanic Transport Ltd,49410,10.2,7.9,13.3,9.9,22.0,19.5,39.0,41.0,32.0,34.0,23.0,21.0,44.0,42.0,Medium,2024-03-03
