data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,Police,MN,Minnesota,1991-03-15,1,0,2,1,1,White,Not Hispanic,1,Assault,1,Residence,Religious Bias,"Individual, Family",No,Yes
1992,Police,CA,California,1992-07-22,0,1,3,2,1,Black,Not Hispanic,1,Intimidation,1,School,Sexual Orientation Bias,Student,No,No
1993,Police,TX,Texas,1993-11-08,2,0,4,3,1,Hispanic,Hispanic,2,Assault,2,Store,Religious Bias,Individual,Yes,No
1994,Police,NY,New York,1994-02-14,1,1,3,2,1,White,Not Hispanic,2,Vandalism,2,Street,Political Bias,"Individual, Family",No,No
1995,Police,FL,Florida,1995-09-30,0,0,1,0,1,Native American,Not Hispanic,0,Intimidation,0,Office,Racial Bias,,No,Yes
1996,Police,IL,Illinois,1996-05-17,1,0,2,1,1,Hispanic,Hispanic,1,Burglary,1,Apartment,Sexual Orientation Bias,Individual,No,Yes
1997,Police,OH,Ohio,1997-12-03,0,1,3,2,1,White,Not Hispanic,1,Assault,1,Residence,Religious Bias,Student,No,No
1998,Police,PA,Pennsylvania,1998-08-29,2,0,4,3,1,Black,Not Hispanic,2,Stalking,2,Hallway,Political Bias,Individual,Yes,Yes
1999,Police,GA,Georgia,1999-01-11,1,0,2,1,1,Asian,Asian,1,Vandalism,1,College Campus,Religious Bias,Individual,No,No
2000,Police,NC,Carolina,2000-06-19,0,1,3,2,1,White,Not Hispanic,1,Intimidation,1,Public Transportation,Sexual Orientation Bias,Student,No,No
2001,Police,TX,Texas,2001-04-02,1,0,2,1,1,Hispanic,Hispanic,1,Assault,1,Retail Store,Racial Bias,Individual,No,Yes
2002,Police,WA,Washington,2002-10-14,1,1,3,2,1,Black,Not Hispanic,2,Attack,2,Cafe,Political Bias,"Individual, Family",No,No
2003,Police,CO,Colorado,2003-03-27,0,0,1,0,1,White,Not Hispanic,0,Intimidation,0,Home,Religious Bias,,No,Yes
2004,Police,MD,Maryland,2004-11-05,2,0,4,3,1,Unknown,Not Hispanic,2,Burglary,2,Apartment Complex,Sexual Orientation Bias,Individual,Yes,No
2005,Police,VA,Virginia,2005-07-18,1,0,2,1,1,White,Not Hispanic,1,Assault,1,Restaurant,Religious Bias,Individual,No,Yes
2006,Police,MA,Massachusetts,2006-09-12,0,1,3,2,1,Hispanic,Hispanic,1,Stalking,1,School,Political Bias,Student,No,No
2007,Police,MI,Michigan,2007-02-23,1,0,2,1,1,Black,Not Hispanic,1,Vandalism,1,Housing Complex,Sexual Orientation Bias,Individual,No,Yes
2008,Police,SC,South Carolina,2008-08-30,0,1,3,2,1,Asian,Asian,1,Attack,1,Dormitory,Racial Bias,Student,No,No
2009,Police,AL,Alabama,2009-05-16,1,0,2,1,1,White,Not Hispanic,1,Intimidation,1,Office,Bias Against Women,Individual,No,Yes
2010,Police,IN,Indiana,2010-12-01,0,0,1,0,1,Hispanic,Hispanic,0,Assault,0,Street,Religious Bias,,No,No
2011,Police,WI,Wisconsin,2011-04-14,2,0,4,3,1,White,Not Hispanic,2,Burglary,2,Store,Political Bias,Individual,Yes,No
2012,Police,KY,Kentucky,2012-07-28,1,1,3,2,1,Black,Not Hispanic,2,Assault,2,Residence,Sexual Orientation Bias,"Individual, Family",No,Yes
2013,Police,OR,Oregon,2013-01-09,0,0,1,0,1,Native American,Not Hispanic,0,Vandalism,0,College Campus,Racial Bias,,NoNo,
2014,Police,VT,Vermont,2014-06-17,1,0,2,1,1,White,Not Hispanic,1,Intimidation,1,Public Transit,Religious Bias,Individual,No,Yes
1991,Police,GA,Georgia,1991-10-11,0,1,3,2,1,Hispanic,Hispanic,1,Assault,1,School,Political Bias,Student,No,No
1992,Police,TN,Tennessee,1992-03-04,1,0,2,1,1,Black,Not Hispanic,1,Stalking,1,Office,Sexual Orientation Bias,Individual,No,Yes
1993,Police,FL,Florida,1993-11-22,0,0,1,0,1,White,Not Hispanic,0,Burglary,0,Residence,Religious Bias,,No,No
1994,Police,NV,Nevada,1994-08-30,1,1,3,2,1,Asian,Asian,2,Assault,2,Street,Political Bias,"Individual, Family",Yes,No
1995,Police,MN,Minnesota,1995-05-02,0,1,3,2,1,White,Not Hispanic,1,Vandalism,1,Hotel,Sexual Orientation Bias,Student,No,Yes
