activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,15010,CA,4020.0,4020709100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,430000.0,81.0,6.475,1.57,1,5500.0,3000.0,2500.0,500.0,2000.0,360,0,0,2,2,2,2,450000.0,1,1,3,5,3,,106.0,,1111,1111,3.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,1111,1,1
2024,20050,NJ,1001.0,1001702500.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,32,275000.0,92.0,7.25,2.25,3,4500.0,2000.0,2500.0,250.0,1750.0,360,2,2,2,2,2,2,,1,1,3,5,1,,109.0,,1,1,4.0,5.0,2,4,6.0,7.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,99999,WV,5800.0,5800704000.0,VA:Second Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,1,250000.0,89.0,5.83,1.23,3,1900.0,950.0,950.0,200.0,750.0,240,0,0,2,2,2,2,280000.0,1,1,3,5,1,,108.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,70-74,9999,No,,1,1
2024,48880,NY,11111.0,1111199000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,32,305000.0,86.0,6.67,1.75,1,4200.0,2000.0,2200.0,300.0,1300.0,360,0,0,2,2,2,2,350000.0,1,1,3,5,3,,115.0,,1111,1111,3.0,5.0,2,4,7.0,8.0,2,4,2,4,2,3,60-64,7777,Yes,,1,1
2024,77000,FL,1000.0,1000000000.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,280000.0,92.5,7.15,1.85,3,3800.0,1500.0,2300.0,300.0,1000.0,300,0,0,2,2,2,2,310000.0,1,1,3,5,3,,111.0,,1111,1111,3.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,1111,1,1
2024,99999,OH,1988.0,1988704300.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,32,185000.0,95.0,6.42,1.62,3,2500.0,1000.0,1500.0,200.0,800.0,300,2,2,2,2,2,2,200000.0,1,1,3,5,1,,109.0,,1,1,4.0,5.0,2,4,6.0,7.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,40010,VA,8908.0,8908700000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,32,325000.0,89.0,7.33,2.13,3,3000.0,1500.0,1500.0,200.0,1000.0,360,0,0,2,2,2,2,365000.0,1,1,3,5,1,,100.0,,1111,1111,3.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,70-74,9999,No,,1,1
2024,22200,MD,1030.0,1030703200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,450000.0,88.0,6.37,1.47,1,6500.0,3500.0,3000.0,500.0,2000.0,300,2,2,2,2,2,2,510000.0,1,1,3,5,3,,107.0,,1,1,3.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,70-74,9999,Yes,,1,1
2024,99999,MI,2551.0,2551703900.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Female,1,5,220000.0,88.0,6.52,1.98,1,2800.0,1200.0,1700.0,250.0,900.0,300,0,0,2,2,2,2,250000.0,1,1,3,5,3,,110.0,,1111,1111,1.0,5.0,2,4,6.0,7.0,2,4,2,4,2,3,65-74,7777,Yes,,1,1
2024,11220,GA,1273.0,1273701000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,5,32,365000.0,92.0,7.20,2.10,3,3800.0,2000.0,1800.0,300.0,1000.0,360,2,2,2,2,2,2,400000.0,1,1,3,5,1,,113.0,,1111,1111,3.0,5.0,2,4,6.0,8.0,2,4,1,5,2,4,70-74,9999,No,,1,1
2024,99999,DE,2275.0,2275703000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,32,320000.0,90.0,7.03,2.23,1,4800.0,2000.0,2800.0,250.0,1750.0,300,2,2,2,2,2,2,360000.0,1,1,3,5,1,,102.0,,1,1,4.0,5.0,2,4,6.0,7.0,2,4,1,5,2,4,60-64,7777,Yes,,1,1
2024,55522,AL,1053.0,1053700500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,225000.0,80.0,6.09,1.29,1,3200.0,1700.0,1500.0,200.0,1000.0,300,0,0,2,2,2,2,240000.0,1,1,3,5,3,,113.0,,1111,1111,3.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,11550,CO,5150.0,5150702200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,32,480000.0,92.0,7.12,1.82,1,7000.0,3500.0,3500.0,300.0,1500.0,360,2,2,2,2,2,2,530000.0,1,1,3,5,3,,111.0,,1111,1111,3.0,5.0,2,4,7.0,8.0,2,4,2,4,2,3,65-74,7777,Yes,,1,1
2024,18022,VT,1000.0,1000702000.0,FHA:Second Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,32,160000.0,95.0,6.35,1.65,3,1700.0,850.0,850.0,100.0,600.0,300,0,0,2,2,2,2,180000.0,1,1,3,5,1,,103.0,,1,1,4.0,5.0,2,4,6.0,7.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,99999,MA,1000.0,1000705900.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,32,310000.0,88.0,6.71,1.61,1,4800.0,2200.0,2600.0,400.0,1000.0,360,0,0,2,2,2,2,345000.0,1,1,3,5,3,,114.0,,1111,1111,3.0,5.0,2,4,7.0,8.0,2,4,2,4,2,3,60-64,7777,Yes,,1,1
2024,7200,CT,9001.0,9001707000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,550000.0,91.0,7.32,2.12,3,3500.0,1500.0,2000.0,300.0,1000.0,300,2,2,2,2,2,2,600000.0,1,1,3,5,1,,112.0,,1111,1111,1.0,5.0,2,4,6.0,7.0,2,4,1,5,2,4,70-74,9999,Yes,,1,1
2024,99999,NC,1600.0,1600709000.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,390000.0,87.0,6.80,1.67,1,4500.0,2000.0,2500.0,300.0,1000.0,300,2,2,2,2,2,2,420000.0,1,1,3,5,3,,108.0,,1,1,3.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,70-74,9999,Yes,,1,1
2024,7800,IL,9930.0,9930700100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,32,280000.0,90.0,6.57,1.77,3,3800.0,1500.0,2300.0,250.0,1300.0,360,2,2,2,2,2,2,310000.0,1,1,3,5,1,,110.0,,1,1,1.0,5.0,2,4,6.0,8.0,2,4,3,2,2,2,70-74,7777,No,,1,1
2024,99999,TN,3823.0,3823705000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,255000.0,86.0,6.73,1.83,1,2900.0,1200.0,1800.0,200.0,700.0,300,0,0,2,2,2,2,280000.0,1,1,3,5,1,,113.0,,1111,1111,1.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,70-74,9999,No,,1,1
2024,7770,SC,2281.0,2281701300.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,32,480000.0,89.0,7.04,1.94,1,4800.0,2200.0,2600.0,400.0,1000.0,300,2,2,2,2,2,2,530000.0,1,1,3,5,1,,105.0,,1111,1111,1.0,5.0,2,4,6.0,8.0,2,4,3,3,2,2,60-64,7777,Yes,,1,1
2024,99999,OK,3000.0,3000703000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,220000.0,92.0,7.08,2.08,3,3000.0,1500.0,1500.0,200.0,1000.0,300,2,2,2,2,2,2,240000.0,1,1,3,5,1,,108.0,,1111,1111,1.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,No,,1,1
2024,66720,AR,3200.0,3200702000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,300000.0,85.0,6.50,1.60,1,3500.0,1700.0,1800.0,300.0,1000.0,300,2,2,2,2,2,2,340000.0,1,1,3,5,3,,113.0,,1111,1111,1.0,5.0,2,4,7.0,8.0,2,4,1,5,2,4,60-64,7777,Yes,,1,1
2024,99999,IN,3225.0,3225109000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,32,260000.0,93.0,6.89,1.89,3,2800.0,1200.0,1600.0,200.0,800.0,300,2,2,2,2,2,2,280000.0,1,1,3,5,1,,107.0,,1111,1111,1.0,5.0,2,4,6.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,7790,NH,4500.0,4500709000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,375000.0,88.0,6.39,1.59,1,5100.0,2300.0,2800.0,400.0,1200.0,300,2,2,2,2,2,2,410000.0,1,1,3,5,3,,108.0,,1111,1111,3.0,5.0,2,4,6.0,7.0,2,4,3,2,2,2,70-74,7777,Yes,,1,1
2024,99999,OR,3200.0,3200706400.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,32,200000.0,88.0,7.10,1.84,1,2600.0,1100.0,1500.0,200.0,800.0,300,2,2,2,2,2,2,230000.0,1,1,3,5,1,,115.0,,1111,1111,4.0,5.0,2,4,5.0,7.0,2,4,1,5,2,4,70-74,9999,Yes,,1,1
2024,20330,PA,42127.0,42127960600.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,335000.0,92.0,6.60,1.50,1,4200.0,2000.0,2200.0,400.0,1200.0,300,2,2,2,2,2,2,370000.0,1,1,3,5,3,,108.0,,1111,1111,3.0,5.0,2,4,6.0,8.0,2,4,1,5,2,4,70-74,9999,Yes,,1,1
2024,99999,WI,8000.0,8000705000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,32,250000.0,86.0,6.30,1.72,1,2100.0,900.0,1200.0,100.0,700.0,360,0,0,2,2,2,2,275000.0,1,1,3,5,1,,106.0,,1111,1111,3.0,5.0,2,4,5.0,7.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,6650,KS,2207.0,2207708300.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,32,350000.0,89.0,6.52,1.92,3,2900.0,1300.0,1600.0,200.0,800.0,300,2,2,2,2,2,2,400000.0,1,1,3,5,1,,100.0,,1,1,1.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,60-64,7777,Yes,,1,1
2024,99999,RI,1000.0,1000703200.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,32,410000.0,92.0,6.92,1.72,1,6100.0,3000.0,3100.0,600.0,1500.0,300,2,2,2,2,2,2,450000.0,1,1,3,5,3,,111.0,,1111,1111,3.0,5.0,2,4,6.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,99999,WY,1600.0,1600703000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,230000.0,91.0,6.80,1.60,1,2700.0,1200.0,1500.0,200.0,800.0,360,0,0,2,2,2,2,260000.0,1,1,3,5,3,,110.0,,1111,1111,1.0,5.0,2,4,6.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,99999,LA,1250.0,1250702000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,32,240000.0,88.0,6.70,1.75,3,2500.0,1000.0,1500.0,200.0,750.0,300,0,0,2,2,2,2,270000.0,1,1,3,5,1,,106.0,,1111,1111,1.0,5.0,2,4,5.0,7.0,2,4,1,5,2,4,65-74,9999,No,,1,1
2024,9010,MS,1073.0,1073708000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,180000.0,92.0,7.08,2.08,3,2500.0,1000.0,1500.0,200.0,750.0,300,2,2,2,2,2,2,200000.0,1,1,3,5,1,,107.0,,1111,1111,1.0,5.0,2,4,5.0,7.0,2,4,1,5,2,4,70-74,9999,No,,1,1
2024,99999,ID,1500.0,1500704100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,32,300000.0,90.0,7.20,2.03,3,4200.0,1800.0,2400.0,300.0,1400.0,360,2,2,2,2,2,2,330000.0,1,1,3,5,3,,100.0,,1,1,4.0,5.0,2,4,6.0,8.0,2,4,2,4,2,3,60-64,7777.Yes,,1,1
2024,6700,MO,6500.0,6500701000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,360000.0,89.0,6.71,1.86,1,4400.0,2000.0,2400.0,300.0,1100.0,360,0,0,2,2,2,2,400000.0,1,1,3,5,1,,108.0,,1,1,1.0,5.0,2,4,6.0,8.0,2,4,1,5,2,4,70-74,9999,Yes,,1,1
