activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,12054,GA,13121.0,13121010529.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,32.0,225000.0,,6.875,,2.0,16692.05,,10197.8,8302.8,,300.0,,,2.0,2.0,2.0,2.0,275000.0,1.0,1.0,3.0,5.0,1.0,,,,9.0,9.0,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3.0
2024,12054,GA,13121.0,13121010531.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Approved,1.0,400000.0,,3.595,,2.0,8500.0,,4500.0,4000.0,,360.0,,,2.0,2.0,2.0,2.0,450000.0,1.0,1.0,1.0,5.0,1.0,,,,2.0,1.0,6.0,5.0,2,3,7.0,6.0,2,3,5,5,3,3,35-44,35-44,Yes,,1,1.0
2024,12054,GA,13121.0,13121010531.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic or Latino,Female,Approved,32.0,200000.0,,6.5,,2.0,4966.0,,3838.8,1127.2,,360.0,,,2.0,2.0,2.0,2.0,210000.0,1.0,1.0,1.0,5.0,1.0,,,,13.0,14.0,3.0,5.0,2,3,7.0,6.0,2,3,5,5,3,3,25-34,25-34,Yes,,13,14.0
2024,12054,GA,13121.0,13121010531.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Approved,1.0,300000.0,,4.35,,1.0,7625.0,,4950.0,2675.0,,360.0,,,2.0,2.0,2.0,2.0,310000.0,1.0,1.0,1.0,5.0,1.0,,,,11.0,11.0,1.0,4.0,2,4,6.0,7.0,2,4,5,5,3,3,35-44,35-44,Yes,,1,1.0
2024,12054,GA,13121.0,13121010531.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black,Male,Approved,32.0,298000.0,,5.625,,2.0,4063.0,,3449.8,613.2,,360.0,,,2.0,3.0,3.0,3.0,309000.0,1.0,1.0,1.0,5.0,1.0,,,,12.0,14.0,4.0,6.0,2,2,7.0,7.0,2,2,4,4,3,3,25-34,25-34,Yes,,12,14.0
2024,12054,GA,13121.0,13121010570.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Approved,1.0,200000.0,,3.355,,2.0,6000.0,,4200.0,1800.0,,360.0,,,2.0,2.0,2.0,2.0,215000.0,1.0,1.0,1.0,5.0,1.0,,,,11.0,11.0,3.0,4.0,2,3,7.0,7.0,2,3,5,5,3,3,45-54,45-54,Yes,,1,1.0
2024,12054,GA,13121.0,13121032220.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Approved,1.0,250000.0,,3.275,,1.0,6100.0,,3000.0,3100.0,,360.0,,,2.0,2.0,2.0,2.0,255000.0,1.0,1.0,3.0,5.0,1.0,,,,9.0,11.0,3.0,4.0,2,3,7.0,6.0,2,3,5,5,3,3,55-64,55-64,Yes,,1,1.0
2024,12054,GA,13121.0,13121043250.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Approved,1.0,320000.0,,2.595,,2.0,9225.0,,6500.0,2725.0,,360.0,,,2.0,2.0,2.0,2.0,345000.0,1.0,1.0,1.0,5.0,1.0,,,,11.0,11.0,4.0,4.0,2,3,9.0,8.0,2,3,5,5,3,3,35-44,35-44,Yes,,1,1.0
2024,12054,GA,13121.0,13121043250.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic or Latino,Male,Approved,1.0,225000.0,,5.25,,1.0,4700.0,,2500.0,2200.0,,360.0,,,2.0,2.0,2.0,2.0,230000.0,1.0,1.0,1.0,5.0,1.0,,,,11.0,10.0,3.0,5.0,2,3,8.0,7.0,2,3,4,4,3,3,55-64,55-64,Yes,,10,11.0
2024,12054,GA,13121.0,13121065020.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic or Latino,Male,Approved,1.0,250000.0,,4.75,,1.0,5000.0,,3200.0,1800.0,,360.0,,,2.0,2.0,2.0,2.0,275000.0,1.0,1.0,1.0,5.0,1.0,,,,10.0,11.0,3.0,5.0,2,2,7.0,7.0,2,2,5,5,3,3,35-44,35-44,Yes,,11,10.0
2024,12054,GA,13121.0,13121065020.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Approved,1.0,600000.0,,4.125,,2.0,11110.0,,5900.0,5210.0,,360.0,,,2.0,2.0,2.0,2.0,650000.0,1.0,1.0,1.0,5.0,1.0,,,,11.0,11.0,2.0,4.0,2,2,7.0,6.0,2,2,5,5,3,3,25-34,25-34,Yes,,1,1.0
2024,12054,GA,13121.0,13121065020.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic or Latino,Male,Preapproval Request Submitted,1.0,400000.0,,5.825,,2.0,6300.0,,4400.0,1900.0,,360.0,,,2.0,2.0,2.0,2.0,425000.0,1.0,1.0,1.0,5.0,1.0,,,,10.0,10.0,3.0,4.0,2,5,6.0,7.0,2,5,4,4,3,3,75+,75+,Yes,,1,1.0
2024,12054,GA,13121.0,13121083410.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic or Latino,Male,Approved,32.0,300000.0,,2.95,,2.0,6340.0,,4000.0,2340.0,,360.0,,,2.0,2.0,2.0,2.0,325000.0,1.0,1.0,1.0,5.0,1.0,,,,11.0,11.0,4.0,4.0,2,2,8.0,8.0,2,2,5,5,3,3,35-44,35-44,Yes,,1,1.0
2024,12054,GA,13121.0,13121083410.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic or Latino,Female,Approved,1.0,200000.0,,4.25,,2.0,5650.0,,4200.0,1450.0,,360.0,,,2.0,2.0,2.0,2.0,205000.0,1.0,1.0,1.0,5.0,1.0,,,,12.0,11.0,3.0,5.0,2,2,7.0,8.0,2,2,4,4,3,3,35-44,35-44,Yes,,1,1.0
2024,12054,GA,13121.0,13121083410.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic or Latino,Female,Denied,32.0,150000.0,,6.25,,2.0,6900.0,,5900.0,1000.0,,360.0,,,2.0,2.0,2.0,2.0,180000.0,1.0,1.0,1.0,5.0,1.0,,,,11.0,11.0,3.0,5.0,2,2,7.0,7.0,2,2,5,5,3,3,55-64,55-64,Yes,,1,1.0
2024,12054,GA,13121.0,13121083410.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Approved,1.0,274000.0,,3.75,,2.0,5650.0,,4400.0,1250.0,,360.0,,,2.0,2.0,2.0,2.0,280000.0,1.0,1.0,1.0,5.0,1.0,,,,10.0,11.0,3.0,5.0,2,2,7.0,7.0,2,2,5,5,3,3,25-34,25-34,Yes,,1,1.0
