activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,50000,01,001,001020,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,325000,85.0,6.75,1.55,Not Applicable,4280.50,3500.00,780.50,0.00,780.50,30,0,0,0,0,0,0,495000,Site Built,Primary Residence,Other,Other,1,0,65000,35.0,1,2,1,1,Yes,Yes,1,1,1,1,1,1,1,1,35,34,0,0,0,1
2024,50000,01,001,001020,Conventional,Single-Family,Not Hispanic or Latino,White,Female,1,Home Purchase,275000,83.0,5.85,2.15,Not Applicable,3460.00,2950.00,510.00,100.00,510.00,30,0,0,0,0,0,0,331000,Site Built,Primary Residence,Other,Other,1,0,72000,28.0,1,2,1,1,No,Yes,1,1,1,1,1,1,1,1,28,32,0,0,1,1
2024,50000,02,013,002030,Conventional,Single-Family,Hispanic or Latino,White,Male,1,Home Purchase,400000,80.0,6.25,1.25,Not Applicable,5230.00,4200.00,1030.00,100.00,500.00,30,0,0,0,0,0,0,500000,Site Built,Primary Residence,Other,Other,1,0,75000,32.0,1,1,2,1,No,No,2,1,1,1,1,1,1,1,34,31,0,0,1,1
2024,50000,04,019,003040,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,265000,78.0,5.45,2.85,Not Applicable,3090.00,2800.00,290.00,50.00,100.00,30,0,0,0,0,0,0,340000,Site Built,Primary Residence,Other,Other,1,0,62000,30.0,1,2,1,1,Yes,No,1,1,1,1,1,1,1,1,32,35,0,0,1,1
2024,50000,05,001,004050,Conventional,Single-Family,Not Hispanic or Latino,Black,Male,1,Home Purchase,350000,82.0,7.15,2.55,Not Applicable,4720.00,3900.00,820.00,150.00,300.00,30,0,0,0,0,0,0,427000,Site Built,Primary Residence,Other,Other,1,0,60000,40.0,1,2,1,1,Yes,No,1,1,1,1,1,1,1,1,41,38,0,0,1,1
2024,50000,06,075,005060,FHA,Single-Family,Not Hispanic or Latino,White,Female,1,Home Purchase,280000,90.0,6.65,2.05,Not Applicable,3870.00,3500.00,370.00,180.00,50.00,30,0,0,0,0,0,0,311000,Site Built,Primary Residence,Other,Other,1,0,68000,33.0,1,1,1,1,No,Yes,1,1,1,1,1,1,1,1,33,34,0,0,1,1
2024,50000,08,031,006070,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,315000,81.0,5.95,2.05,Not Applicable,4050.00,3800.00,250.00,150.00,100.00,30,0,12,0,0,0,0,390000,Site Built,Primary Residence,Other,Other,1,0,70000,31.0,1,2,1,1,Yes,Yes,1,1,1,1,1,1,1,1,29,33,0,0,1,1
2024,50000,09,003,007080,Conventional,Single-Family,Hispanic or Latino,Hispanic/Mexican,Not Specified,1,Home Purchase,340000,86.0,6.55,2.25,Not Applicable,4550.00,3700.00,850.00,100.00,100.00,30,0,0,0,0,0,0,400000,Site Built,Primary Residence,Other,Other,1,0,67000,34.0,1,1,2,1,Yes,No,1,1,1,1,1,1,1,1,36,37,0,0,1,1
2024,50000,10,005,008090,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,450000,79.0,8.75,1.25,Not Applicable,6650.00,5600.00,1050.00,400.00,250.00,30,0,0,0,0,0,0,570000,Site Built,Primary Residence,Other,Other,1,0,92000,38.0,1,2,1,1,Yes,Yes,1,1,1,1,1,1,1,1,42,39,0,0,1,1
2024,50000,11,011,009100,FHA,Single-Family,Not Hispanic or Latino,White,Female,1,Home Purchase,365000,87.0,6.35,1.75,Not Applicable,4950.00,4400.00,550.00,90.00,150.00,30,0,0,0,0,0,0,420000,Site Built,Primary Residence,Other,Other,1,0,73000,35.0,1,2,1,1,Yes,Yes,1,1,1,1,1,1,1,1,37,36,0,0,1,1
