activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,50000,01,1,1020.0,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1.0,Home Purchase,325000.0,85.0,6.75,1.55,Not Applicable,4280.5,3500.0,780.5,0.0,780.5,30.0,0.0,0.0,0,0.0,0.0,0,495000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,65000.0,35.0,1,2,1,1,Yes,Yes,1,1,1,1,1,1,1,1,35.0,34,0,0,0,1
2024,50000,01,1,1020.0,Conventional,Single-Family,Not Hispanic or Latino,White,Female,1.0,Home Purchase,275000.0,83.0,5.85,2.15,Not Applicable,3460.0,2950.0,510.0,100.0,510.0,30.0,0.0,0.0,0,0.0,0.0,0,331000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,72000.0,28.0,1,2,1,1,No,Yes,1,1,1,1,1,1,1,1,28.0,32,0,0,1,1
2024,50000,02,13,2030.0,Conventional,Single-Family,Hispanic or Latino,White,Male,1.0,Home Purchase,400000.0,80.0,6.25,1.25,Not Applicable,5230.0,4200.0,1030.0,100.0,500.0,30.0,0.0,0.0,0,0.0,0.0,0,500000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,75000.0,32.0,1,1,2,1,No,No,2,1,1,1,1,1,1,1,34.0,31,0,0,1,1
2024,50000,04,19,3040.0,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1.0,Home Purchase,265000.0,78.0,5.45,2.85,Not Applicable,3090.0,2800.0,290.0,50.0,100.0,30.0,0.0,0.0,0,0.0,0.0,0,340000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,62000.0,30.0,1,2,1,1,Yes,No,1,1,1,1,1,1,1,1,32.0,35,0,0,1,1
2024,50000,05,1,4050.0,Conventional,Single-Family,Not Hispanic or Latino,Black,Male,1.0,Home Purchase,350000.0,82.0,7.15,2.55,Not Applicable,4720.0,3900.0,820.0,150.0,300.0,30.0,0.0,0.0,0,0.0,0.0,0,427000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,60000.0,40.0,1,2,1,1,Yes,No,1,1,1,1,1,1,1,1,41.0,38,0,0,1,1
2024,50000,06,75,5060.0,FHA,Single-Family,Not Hispanic or Latino,White,Female,1.0,Home Purchase,280000.0,90.0,6.65,2.05,Not Applicable,3870.0,3500.0,370.0,180.0,50.0,30.0,0.0,0.0,0,0.0,0.0,0,311000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,68000.0,33.0,1,1,1,1,No,Yes,1,1,1,1,1,1,1,1,33.0,34,0,0,1,1
2024,50000,08,31,6070.0,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1.0,Home Purchase,315000.0,81.0,5.95,2.05,Not Applicable,4050.0,3800.0,250.0,150.0,100.0,30.0,0.0,12.0,0,0.0,0.0,0,390000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,70000.0,31.0,1,2,1,1,Yes,Yes,1,1,1,1,1,1,1,1,29.0,33,0,0,1,1
2024,50000,09,3,7080.0,Conventional,Single-Family,Hispanic or Latino,Hispanic/Mexican,Not Specified,1.0,Home Purchase,340000.0,86.0,6.55,2.25,Not Applicable,4550.0,3700.0,850.0,100.0,100.0,30.0,0.0,0.0,0,0.0,0.0,0,400000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,67000.0,34.0,1,1,2,1,Yes,No,1,1,1,1,1,1,1,1,36.0,37,0,0,1,1
2024,50000,10,5,8090.0,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1.0,Home Purchase,450000.0,79.0,8.75,1.25,Not Applicable,6650.0,5600.0,1050.0,400.0,250.0,30.0,0.0,0.0,0,0.0,0.0,0,570000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,92000.0,38.0,1,2,1,1,Yes,Yes,1,1,1,1,1,1,1,1,42.0,39,0,0,1,1
2024,50000,11,11,9100.0,FHA,Single-Family,Not Hispanic or Latino,White,Female,1.0,Home Purchase,365000.0,87.0,6.35,1.75,Not Applicable,4950.0,4400.0,550.0,90.0,150.0,30.0,0.0,0.0,0,0.0,0.0,0,420000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,73000.0,35.0,1,2,1,1,Yes,Yes,1,1,1,1,1,1,1,1,37.0,36,0,0,1,1
2024,50000,12,7,10110.0,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1.0,Home Purchase,295000.0,85.0,6.15,2.05,Not Applicable,3850.0,3300.0,550.0,0.0,100.0,30.0,0.0,0.0,0,0.0,0.0,0,345000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,71000.0,32.0,1,1,1,1,Yes,No,1,1,1,1,1,1,1,1,31.0,34,0,0,1,1
2024,50000,13,13,11120.0,Conventional,Single-Family,Hispanic or Latino,Black,Not Specified,1.0,Home Purchase,370000.0,80.0,7.35,1.5,Not Applicable,5500.0,4850.0,650.0,100.0,100.0,30.0,0.0,0.0,0,0.0,0.0,0,462000.0,Site Built,Primary Residence,Other,Other,1.0,0.0,65000.0,37.0,1,1,2,1,Yes,Yes,1,1,1,1,1,1,1,1,40.0,35,0,0,1,1
