EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
LONDON METROPOLITAN UNIVERSITY,85533,22.1,18.7,45.2,28.9,62.3,71.1,31.2,78.8,19.8,80.2,28.4,71.6,55.6,44.4,1000-4999,2025-04-03 15:10:41
BARNET AND HATFIELD NHS TRUST,85533,15.9,12.4,38.7,21.5,58.9,67.4,27.6,82.4,18.3,81.7,25.1,74.9,59.2,40.8,5000-19999,2025-04-03 15:10:41
ROYAL VICTORIA HOSPITAL,85533,19.2,16.8,42.3,25.8,65.1,74.9,30.1,79.9,18.9,81.1,26.7,73.3,57.8,42.2,1000-4999,2025-04-03 15:10:41
GLoucester City Council,85533,25.6,21.3,47.8,32.1,59.4,70.2,24.7,75.3,20.5,80.5,29.3,70.7,56.1,43.9,500-999,2025-04-03 15:10:41
THE UNIVERSITY OF NOTTINGHAM,85533,28.4,23.1,51.9,34.7,64.8,73.5,26.9,73.1,21.4,80.6,25.8,74.2,54.7,45.3,10000-19999,2025-04-03 15:10:41
BRISTOL CITY COUNCIL,85533,17.8,14.2,39.2,23.6,56.7,66.2,29.1,70.9,17.8,82.2,26.3,73.7,55.8,44.2,5000-19999,2025-04-03 15:10:41
HULL CITY COUNCIL,85533,12.5,9.8,35.6,20.4,61.3,70.8,32.4,77.6,16.7,83.3,28.7,71.3,56.9,43.1,1000-4999,2025-04-03 15:10:41
NORFOLK AND NORWICH UNIVERSITY HOSPITAL,85533,24.1,19.8,44.3,27.8,63.2,72.9,30.9,79.1,19.2,80.8,27.1,72.9,55.3,44.7,5000-19999,2025-04-03 15:10:41
WESTMINSTER NHS TRUST,85533,26.3,22.1,49.1,31.2,61.8,72.4,29.8,80.2,20.1,80.9,28.9,71.1,57.5,42.5,5000-19999,2025-04-03 15:10:41
NEWCASTLE UNIVERSITY,85533,23.7,19.4,46.8,30.5,58.9,68.1,28.3,71.7,18.6,81.4,27.9,72.1,56.4,43.6,5000-19999,2025-04-03 15:10:41
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,85533,21.9,17.6,43.5,26.4,59.7,69.3,29.6,70.4,18.1,81.9,26.5,73.5,55.9,44.1,10000-19999,2025-04-03 15:10:41
STOCKTON ON TEE HOSPITAL,85533,16.2,13.1,37.1,22.8,57.4,66.9,28.2,71.8,17.4,82.6,26.8,73.2,55.7,44.3,1000-4999,2025-04-03 15:10:41
