EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
LONDON METROPOLITAN UNIVERSITY,85530,22.1,18.7,45.2,32.1,62.3,54.1,32.1,67.9,21.3,78.7,27.8,72.2,18.8,27.0,1000-4999,2025-01-15 09:22:12
CITY OF LONDON CORPORATION,94990,15.8,12.4,38.9,26.7,58.2,51.8,28.6,71.4,19.8,80.2,25.7,74.3,25.9,24.1,5000-19999,2025-02-28 14:35:47
BRIDGEND BOROUGH COUNCIL,94990,19.2,16.5,41.8,29.3,55.6,48.9,35.1,64.9,22.8,77.2,30.2,69.8,27.9,32.1,500-999,2025-03-10 11:48:23
NATIONAL GRID PLC,64990,35.7,29.4,68.5,42.1,72.3,60.8,24.9,75.1,16.8,83.2,28.7,71.3,29.6,30.4,5000-19999,2025-04-01 16:52:18
BARCLAYS BANK PLC,64990,26.8,21.3,50.2,38.4,64.1,56.9,31.2,68.8,18.9,81.1,26.3,73.7,23.6,26.4,5000-19999,2025-01-22 10:15:55
SANTANDER UK PLC,64990,28.9,24.1,54.3,36.8,67.8,58.9,33.4,66.6,22.1,77.9,31.5,68.5,23.0,27.0,5000-19999,2025-02-14 13:29:33
HSBC UK PLC,64990,24.3,19.7,48.1,34.2,62.7,54.8,29.6,70.4,17.8,82.2,27.4,72.6,23.2,26.8,5000-19999,2025-03-25 17:41:19
ROYAL MAIL PLC,64990,20.5,16.8,42.3,30.1,57.2,49.9,30.1,69.9,18.7,81.3,25.5,74.5,26.7,28.3,1000-4999,2025-04-07 08:57:35
GOVERNMENT DIGITAL SERVICE,85530,12.3,9.8,31.2,22.4,54.6,48.1,26.1,73.9,18.2,81.8,24.1,75.9,21.6,28.4,500-999,2025-01-30 12:03:47
VODAFONE GROUP PLC,64990,23.4,18.9,47.6,33.8,63.9,55.2,34.2,65.8,20.8,79.2,26.9,73.1,28.1,31.9,5000-19999,2025-02-11 15:17:21
SAS TRAINING PLC,85530,18.7,14.2,39.8,27.9,56.4,48.2,25.7,74.3,21.1,78.9,28.3,71.7,27.1,32.9,500-999,2025-03-18 09:34:52
ST JAMES'S PLACE PLC,64990,27.8,22.6,52.1,39.7,65.3,57.1,32.4,67.6,19.6,80.4,25.8,74.2,22.5,27.5,500-999,2025-04-05 14:48:16
UNIVERSITY OF OXFORD,85530,16.5,13.8,35.1,24.9,58.8,52.3,31.8,68.2,20.7,79.3,26.5,73.5,26.2,28.8,5000-19999,2025-01-27 11:26:08
OXFORD BROOKS UNIVERSITY,85530,17.2,14.6,37.4,26.2,59.1,52.7,28.9,71.1,19.3,80.7,27.2,72.8,25.6,29.4,1000-4999,2025-02-19 16:12:34
BARNET BOROUGH COUNCIL,94990,21.3,17.9,43.5,30.7,59.7,52.1,30.2,69.8,21.7,78.3,26.8,73.2,27.3,29.7,500-999,2025-03-12 10:45:28
CITY AND HAMMERSMITH BOROUGH COUNCIL,94990,19.8,16.2,40.1,28.3,58.0,50.2,27.9,72.1,20.5,79.5,26.1,73.9,25.4,28.6,1000-4999,2025-04-12 13:59:43
RENAULT PLC,31200,31.2,25.4,58.3,40.9,68.5,58.3,28.9,71.1,19.2,80.8,27.3,72.7,24.3,30.7,500-999,2025-01-18 14:23:21
HARRODS PLC,51300,34.7,28.6,62.8,44.1,72.1,60.3,32.1,67.9,20.8,79.2,29.2,70.8,27.9,32.1,1000-4999,2025-02-25 16:18:57
TESCO PLC,51300,18.4,14.9,39.2,27.4,58.6,51.1,30.3,69.7,20.1,79.9,25.4,74.6,25.8,29.2,10000-19999,2025-03-05 08:37:14
THE BRITISH BOARD OF TRADE,94990,11.9,9.4,29.8,21.3,54.3,47.2,26.8,73.2,18.4,81.6,24.3,75.7,20.3,29.7,500-999,2025-04-18 15:07:46
WALLIS BEACHES & CO.,51300,25.9,21.2,45.6,34.1,61.2,53.1,33.5,66.5,20.9,79.1,26.7,73.3,22.4,27.6,500-999,2025-01-24 10:53:12
PENINSULA HOTELS PLC,70200,29.6,24.8,54.9,38.7,71.4,60.2,32.6,67.4,19.7,80.3,28.5,71.5,25.1,30.9,1000-4999,2025-02-22 13:24:38
MIDDLESEX UNIVERSITY,85530,15.4,12.1,33.8,23.1,57.2,50.8,31.2,68.8,20.3,79.7,25.9,74.1,27.8,29.2,5000-19999,2025-03-20 11:46:55
NORTHERN ROCK PLC,64990,32.1,26.7,56.4,41.2,67.9,57.4,29.5,70.5,19.8,80.2,26.4,73.6,24.7,29.3,1000-4999,2025-04-20 14:58:34
BRITTANY WELLS GROUP,70200,26.3,21.8,47.9,35.6,63.2,55.3,33.8,66.2,22.1,77.9,27.5,72.5,22.9,27.1,500-999,2025-01-08 09:11:28
THE NATIONAL HEALTH SERVICE,85530,9.6,7.1,23.9,16.7,53.4,46.8,28.1,71.9,18.9,81.1,24.3,75.7,22.6,27.4,20000-49999,2025-02-17 12:35:42
BROMLEY BOROUGH COUNCIL,94990,18.7,15.2,41.5,29.2,58.8,51.2,29.3,70.7,21.5,78.5,26.4,73.6,27.8,29.2,1000-4999,2025-03-29 16:42:19
GREAT BRITISH BAKERY PLC,51300,24.5,19.8,43.7,31.4,56.9,49.7,30.2,69.8,20.8,79.2,26.8,73.2,27.0,28.0,5000-19999,2025-04-10 10:09:56
SHIRE LIFE PLC,64990,28.9,23.5,52.4,37.8,64.7,56.6,31.4,68.6,19.1,80.9,25.3,74.7,24.5,29.5,500-999,2025-01-31 15:31:25
WESTMINSTER CITY COUNCIL,94990,16.8,13.4,36.3,25.1,57.5,50.9,29.8,70.2,20.2,79.8,25.5,74.5,25.3,29.7,5000-19999,2025-02-20 18:17:48
CROWN PROPERTIES PLC,70200,33.2,27.9,59.1,42.6,72.6,61.3,31.7,68.3,20.1,79.9,28.1,71.9,26.8,30.2,1000-4999,2025-03-15 11:45:33
THE UNIVERSITY OF MANCHESTER,85530,18.2,14.8,37.1,26.5,58.6,51.9,30.5,69.5,21.2,78.8,26.7,73.3,26.8,30.2,5000-19999,2025-04-08 09:24:10
COVENTRY BOROUGH COUNCIL,94990,20.1,17.3,42.9,30.5,59.3,52.3,29.6,70.4,21.4,78.6,27.1,72.9,26.3,32.7,1000-4999,2025-01-21 14:19:37
THESIS PLACEMENTS PLC,64990,21.8,18.3,43.6,31.1,60.3,53.1,32.8,67.2,20.2,79.8,27.5,72.5,25.6,29.4,500-999,2025-02-13 08:56:45
KINGS COLLEGE LONDON,85530,17.9,14.5,36.7,25.5,58.8,52.1,31.3,68.7,20.8,79.2,26.9,73.1,26.4,28.6,5000-19999,2025-03-27 12:38:17
ROTHERHAM BOROUGH COUNCIL,94990,19.6,16.4,41.3,28.8,59.1,51.8,30.4,69.6,21.1,78.9,26.3,73.7,27.5,30.5,500-999,2025-04-14 16:04:52
Birmingham City University,85530,15.9,13.1,35.2,24.6,57.3,50.4,31.8,68.2,19.9,80.1,25.7,74.3,27.4,29.6,1000-4999,2025-01-11 13:43:35
EAST SUSSEX UNIVERSITY,85530,16.3,13.5,34.1,23.8,56.7,50.1,32.4,67.6,20.6,79.4,25.6,74.4,27.3,32.7,5000-19999,2025-02-28 10:27:49
AEROSPACE INTERNATIONAL LTD,31200,30.4,25.8,57.8,41.9,71.2,61.1,29.6,70.4,19.3,80.7,27.7,72.3,24.2,30.8,1000-4999,2025-03-22 15:46:18
SOLICITORS FIRM LIMITED,64990,23.7,19.1,45.9,33.2,62.5,55.1,31.5,68.5,20.7,79.3,26.5,73.5,23.3,26.7,500-999,2025-04-02 08:51:33
CITY OF YORK COUNCIL,94990,20.9,17.5,42.6,30.4,58.7,51.9,29.4,70.6,21.0,79.0,26.5,73.5,27.6,31.4,1000-4999,2025-01-20 11:33:21
STANDISH AND STORMONT LTD,70200,28.5,23.3,53.1,37.6,66.4,57.5,32.2,67.8,19.9,80.1,27.6,72.4,24.8,29.2,500-999,2025-02-16 14:16:42
GOLDEN EGG SOLUTIONS PLC,70200,25.2,20.8,46.4,32.7,63.1,55.6,33.1,66.9,20.8,79.2,27.1,72.9,22.3,27.7,500-999,2025-03-17 15:34:57
RESEARCH AND DEVELOPMENT GROUP,85530,14.3,11.7,31.4,21.8,55.8,49.2,28.7,71.3,19.1,80.9,24.5,75.5,22.3,30.7,500-999,2025-04-15 10:54:16
LEEDS UNIVERSITY,85530,17.1,14.3,35.6,25.3,57.6,50.7,30.9,69.1,20.3,79.7,26.3,73.7,26.5,30.5,5000-19999,2025-01-12 16:27:19
