EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
TechNova Solutions,62012,-12.3,8.7,-15.2,-12.8,45.2,32.1,22.1,35.4,28.9,33.7,25.6,28.1,23.4,19.8,Medium,2024-11-15
Global Finance Group,66220,5.6,-2.1,3.8,1.9,38.7,42.3,18.2,25.6,25.4,29.1,22.3,24.8,33.2,20.5,Large,2024-09-22
MediCare UK Ltd,65110,-8.9,4.2,-6.7,-5.4,31.8,37.9,15.6,22.4,24.1,26.8,20.3,18.7,39.3,28.1,Small,2024-10-30
Prime Retail Stores,47110,2.4,-1.8,1.2,-0.9,28.9,30.4,25.8,28.3,32.1,31.2,23.8,24.5,18.3,15.6,Medium,2024-11-05
Future Energy Co,35200,-15.8,12.3,-18.2,-16.7,41.5,29.6,19.2,32.1,26.4,28.9,23.2,21.8,31.3,17.5,Small,2024-10-18
Innovate Design Studio,74100,-3.2,6.7,-5.1,-4.2,34.1,39.8,21.5,28.7,27.8,30.2,24.9,23.1,25.8,18.4,Small,2024-10-02
Banking Trust Ltd,66220,-6.4,2.9,-8.3,-7.1,43.8,35.2,16.8,24.1,25.9,27.3,21.4,22.6,35.9,21.8,Large,2024-09-18
GreenTech Industries,22200,-13.1,9.8,-16.4,-14.2,37.6,31.2,18.9,30.1,25.3,28.4,22.8,24.1,31.5,19.6,Medium,2024-08-25
HealthFirst Providers,86100,-12.5,5.4,-14.8,-12.3,32.9,28.3,17.2,29.8,24.6,27.9,21.3,19.5,36.1,25.7,Small,2024-11-12
City Property Group,68200,4.8,-3.2,6.1,4.5,39.4,36.8,23.1,24.3,31.2,29.1,25.4,24.8,17.2,15.9,Medium,2024-10-28
Prime Construction Ltd,41200,-7.2,1.3,-9.1,-8.0,35.7,33.1,19.8,22.4,27.6,26.9,22.9,23.7,26.8,20.1,Large,2024-09-05
Digital Marketing Hub,73110,-1.4,5.9,-2.3,-1.7,38.2,41.7,24.6,29.8,30.2,31.9,23.1,24.4,19.1,15.6,Small,2024-11-01
UK Medical Supplies,65200,-9.6,3.7,-11.2,-9.8,29.5,36.1,16.7,23.8,25.1,27.2,20.8,19.9,34.5,27.8,Medium,2024-10-24
Retail World Stores,47190,3.9,-0.8,2.6,1.5,36.8,38.2,26.4,27.9,32.8,31.4,24.1,23.6,17.6,15.2,Large,2024-08-17
TechEdge Innovations,62012,-10.8,6.4,-12.3,-10.9,42.1,35.9,21.3,28.1,26.8,29.5,24.2,25.7,24.5,18.8,Medium,2024-10-31
EcoEnergy Solutions,35200,-14.3,11.2,-16.8,-15.4,38.9,29.2,19.4,31.7,25.8,28.2,22.5,23.9,32.6,18.1,Small,2024-11-20
London Financial Services,66220,-5.9,3.1,-7.6,-6.8,44.3,32.8,17.9,21.6,26.1,24.9,21.8,22.3,32.3,19.9,Large,2024-09-12
GreenLeaf Catering,56200,1.8,-2.4,0.9,-0.6,32.4,36.7,26.1,28.8,33.9,31.7,24.3,23.9,15.4,13.1,Small,2024-10-08
Creative Arts Studio,90000,-4.5,7.6,-6.2,-5.1,37.1,40.8,22.8,28.5,27.2,29.3,24.7,22.9,23.3,16.2,Small,2024-09-28
National Insurance Group,66210,-8.1,4.5,-9.7,-8.6,39.6,31.4,16.5,20.8,25.3,26.1,22.1,20.4,35.2,24.6,Large,2024-10-10
Smart Education Systems,85510,-6.8,2.3,-8.6,-7.4,40.2,34.9,19.3,23.1,26.7,27.8,22.6,23.4,29.9,20.8,Medium,2024-09-20
Prime Logistics Ltd,49310,3.1,-1.2,2.8,1.9,35.7,37.2,25.1,27.5,31.9,30.3,24.9,24.2,17.9,15.5,Medium,2024-11-05
TechSecure Solutions,62012,-11.6,7.9,-13.4,-11.9,45.8,31.9,20.4,32.5,28.1,30.8,24.6,26.1,23.2,18.9,Medium,2024-10-14
UK Home Improvement,47410,6.2,-2.9,4.8,3.2,31.8,34.1,26.8,29.3,32.1,31.8,23.4,23.2,15.9,12.6,Medium,2024-09-15
Global Consultancy Partners,74200,-7.3,3.8,-9.4,-8.2,41.9,33.6,17.1,22.8,25.7,26.9,21.4,20.7,34.9,23.8,Large,2024-11-03
MediPharma Holdings,65110,-13.4,6.2,-15.6,-13.8,32.7,29.3,18.6,27.1,24.8,26.4,20.2,19.1,37.3,26.8,Small,2024-10-18
Metro Fashion House,47710,4.3,-1.6,3.1,2.2,38.1,40.5,24.7,27.2,31.4,30.9,23.9,24.1,17.8,16.3,Medium,2024-09-30
Citywide Transport Group,49200,2.7,-3.1,1.9,-0.2,39.3,35.6,23.2,24.8,31.1,28.9,24.6,23.5,16.1,14.2,Medium,2024-11-10
Bright Futures Foundation,94990,-5.7,2.8,-7.1,-6.3,36.4,38.2,21.9,26.7,28.3,29.1,23.6,22.8,25.2,18.1,Small,2024-10-29
TechBridge Services,62020,-9.4,5.1,-11.7,-10.3,44.1,32.6,20.8,33.2,27.3,30.1,25.1,26.7,22.8,17.9,Large,2024-09-24
