EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Acme Holdings Ltd,62.01,12.5,-8.3,15.2,-12.7,18.4,16.2,42.1,38.9,35.7,39.2,18.2,19.8,4.0,2.1,1000-4999,2025-03-15
Baker & Associates,74.90,9.8,-6.1,12.4,-8.9,15.6,13.8,45.2,41.8,38.9,42.1,25.1,23.4,10.8,8.7,500-999,2025-02-28
Cedar Grove Solutions,63.01,15.3,-10.2,18.7,-14.5,22.3,19.9,39.8,36.2,32.1,34.8,21.3,23.9,7.1,4.9,1000-4999,2025-04-10
Dynamo Industries PLC,30.20,18.9,-12.4,22.1,-16.8,25.8,23.2,36.5,40.1,31.2,33.6,19.8,17.3,12.5,9.2,5000+,2025-01-22
Eclipse Financial Services,66.30,11.6,-7.8,14.9,-11.3,17.2,15.1,43.4,40.2,37.8,41.3,22.6,20.1,8.8,6.9,250-499,2025-03-05
Falcon Media Group,63.12,20.1,-14.7,25.6,-19.2,28.9,24.5,38.2,35.1,34.7,36.8,27.1,25.2,10.2,8.1,1000-4999,2025-02-18
Grove Valley Engineering,33.12,8.2,-5.3,11.8,-10.1,14.1,12.3,47.8,44.1,39.5,42.7,28.3,26.9,16.2,14.1,500-999,2025-04-02
Harmony Communications,74.20,13.4,-9.1,16.8,-13.2,19.3,17.6,41.9,38.4,36.7,40.1,19.4,18.2,5.9,4.2,250-499,2025-03-20
Innovate Tech Limited,62.01,16.7,-11.4,19.5,-15.7,21.8,18.3,37.6,34.2,31.8,33.9,22.5,24.8,8.4,6.3,500-999,2025-01-30
Jupiter Consulting Group,74.80,14.2,-8.9,17.3,-12.6,20.1,17.8,40.3,36.9,35.2,38.6,21.1,19.5,6.8,5.2,250-499,2025-02-14
Kingswood Manufacturing,20.21,9.5,-6.4,13.2,-9.7,16.4,14.7,44.8,41.2,37.1,40.5,23.9,21.8,10.1,8.1,1000-4999,2025-03-25
Lunar Dynamics Ltd,63.01,12.8,-8.5,15.9,-12.1,18.7,16.3,42.5,39.1,36.8,40.3,20.9,19.2,5.2,3.6,5000+,2025-02-08
Meridian Software Solutions,62.01,15.6,-10.8,18.9,-14.8,22.6,19.7,39.2,35.8,34.1,36.4,21.7,23.1,7.3,5.5,1000-4999,2025-04-08
