data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1992,State Police,CA,California,1992-03-15,2,0,3,2,1,White,Not Hispanic,2,Fighting,2.0,Street,Anti-Jewish,Adult,S,S
1995,Local Police,NY,New York,1995-07-22,1,0,2,1,1,Black,Not Hispanic,1,Assault,1.0,Residence,Anti-African American,Adult,S,S
1998,State Police,TX,Texas,1998-11-30,0,1,1,0,1,Hispanic,Hispanic,1,Vandalism,1.0,School,Anti-Hispanic,Minor,S,S
2001,Local Police,FL,Florida,2001-02-14,3,0,4,3,1,Unknown,Not Specified,3,Aggravated Assault,3.0,Store,Anti-LGBTQ,Adult,S,S
1994,State Police,IL,Illinois,1994-09-08,1,0,2,1,1,White,Not Hispanic,1,Fighting,1.0,Hospital,Anti-White,Adult,S,S
2003,Local Police,GA,Georgia,2003-04-19,0,2,3,0,3,Asian,Not Hispanic,2,Assault,2.0,Street,Anti-Asian,Minor,S,S
1999,State Police,WA,Washington,1999-12-05,2,0,3,2,1,Hispanic,Hispanic,2,Sexual Abuse/Attack,2.0,Apartment,Anti-Hispanic,Adult,S,S
2005,Local Police,OH,Ohio,2005-06-27,1,0,2,1,1,Black,Not Hispanic,1,Aggravated Assault,1.0,Car,Anti-African American,Adult,S,S
1997,State Police,NC,Carolina,1997-08-11,0,3,4,0,4,White,Not Hispanic,3,Robbery,3.0,Bar,Anti-White,Minor,S,S
2000,Local Police,VA,Virginia,2000-10-30,1,0,2,1,1,Asian,Not Hispanic,1,Assault,1.0,College,Anti-Asian,Adult,S,S
2002,State Police,MD,Maryland,2002-01-22,2,1,4,2,2,Unknown,Not Specified,3,Burglary,3.0,House,Anti-Unknown,Adult,S,S
1996,Local Police,PA,Pennsylvania,1996-05-16,1,0,3,2,1,White,Not Hispanic,1,Fighting,1.0,Office,Anti-White,Adult,S,S
2004,State Police,MI,Michigan,2004-03-08,0,1,2,0,2,Black,Not Hispanic,1,Theft,1.0,School,Anti-African American,Minor,S,S
1993,Local Police,SC,South Carolina,1993-11-15,3,0,4,3,1,Hispanic,Hispanic,3,Assault,3.0,Street,Anti-Hispanic,Adult,S,S
2006,State Police,IN,Indiana,2006-07-03,2,0,3,2,1,White,Not Hispanic,2,Aggravated Assault,2.0,Shopping Mall,Anti-White,Adult,S,S
2008,Local Police,WI,Wisconsin,2008-09-18,1,0,2,1,1,Black,Not Hispanic,1,Fighting,1.0,School,Anti-African American,Adult,S,S
1991,State Police,MO,Missouri,1991-12-25,0,2,3,0,3,Hispanic,Hispanic,2,Assault,2.0,Restaurant,Anti-Hispanic,Minor,S,S
2010,Local Police,OR,Oregon,2010-02-10,1,0,2,1,1,Asian,Not Hispanic,1,Robbery,1.0,Store,Anti-Asian,Adult,S,S
1998,State Police,AL,Alabama,1998-06-30,2,0,3,2,1,White,Not Hispanic,2,Vandalism,2.0,Street,Anti-White,Adult,S,S
2009,Local Police,AK,Alaska,2009-04-21,0,1,2,0,2,Native American,Not Specified,1,Aggravated Assault,1.0,Public Park,Anti-Native American,Minor,S,S
2001,State Police,KY,Kentucky,2001-08-14,3,0,4,3,1,Black,Not Hispanic,3,Assault,3.0,Apartment,Anti-African American,Adult,S,S
1999,Local Police,VT,Vermon,1999-11-05,1,0,2,1,1,Hispanic,Hispanic,1,Sexual Abuse/Attack,1.0,Motel,Anti-Hispanic,Adult,S,S
