data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
2005,Police,FL,Florida,2005-03-22,1,0,2,1,1,White,Hispanic,1,Assault,1.0,Residence/Home,Anti-Black or African American,Person of Color,N,N
1995,Federal,CA,California,1995-11-08,0,1,1,0,1,Asian,Non-Hispanic,1,Intimidation,0.0,School/College,Anti-Jewish,Person of Color,N,N
2012,State Police,TX,Texas,2012-07-15,2,0,3,2,1,Black,Non-Hispanic,2,Assault,2.0,Business/Company,Anti-Hispanic/Latino,Sexual Orientation,N,N
1998,City,NY,New York,1998-02-14,1,1,2,1,1,White,Mixed Race,2,Vandalism,2.0,Residence/Home,Anti-Arab/Palestinian,Religious Affiliation,N,N
2009,Municipal,OH,Ohio,2009-09-30,0,1,1,0,1,Hispanic,Hispanic,1,Murder,0.0,College/University,Anti-African-American,Gender Identity,N,N
2001,State Police,GA,Georgia,2001-04-18,1,0,2,1,1,White,Hispanic,1,Assault,1.0,Office,Anti-Islamic,Age,N,N
1992,Police,IL,Illinois,1992-10-05,0,1,2,0,2,Native American,Non-Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,Store,Anti-American Indian/Alaska Native,Ethnicity,N,N
2006,Federal,WA,Washington,2006-01-27,1,0,1,1,0,White,Non-Hispanic,1,Aggravated Assault,1.0,Church/Synagogue,Anti-Black or African American,Disability,N,N
2003,City,MI,Michigan,2003-06-12,0,1,3,0,3,Asian,Non-Hispanic,1,Hate Crime,0.0,Public Park,Anti-Asian,Person of Color,N,Y
2010,Criminal Justice,VA,Virginia,2010-08-21,2,0,1,1,0,White,Non-Hispanic,2,Property Damage,2.0,Restaurant,Anti-LGBTQ+,Sexual Orientation,N,N
1997,Military,AL,Alabama,1997-12-03,0,1,2,0,2,White,Non-Hispanic,1,Intimidation/Threatening,0.0,School/College,Anti-White,Race,N,N
2008,State Police,NC,Carolina,2008-05-16,1,0,1,1,0,Black,Non-Hispanic,1,Assault,1.0,Residence/Home,Anti-Black or African American,Gender Identity,N,N
1999,City,SC,South Carolina,1999-03-29,1,0,2,1,1,Black,Non-Hispanic,1,Assault,1.0,Residence/Home,Anti-White,Religion,N,N
2002,Municipal,IN,Indiana,2002-11-14,0,1,1,0,1,Female,Non-Hispanic,1,Vandalsm,0.0,Public Facility,Anti-LGBTQ+,Sexual Orientation,N,N
2011,Federal,WV,West Virginia,2011-04-07,1,0,2,1,1,White,Hispanic,1,Hate Crime,1.0,School/College,Anti-Jewish,Religion,N,N
2007,Police,OR,Oregon,2007-09-19,0,1,2,0,2,Hispanic,Hispanic,1,Intimidation/Threatening,0.0,Residence/Home,Anti-Latino,Age,N,N
1994,State Police,MA,Massachusetts,1994-07-31,1,0,1,1,0,Black,Non-Hispanic,1,Murder,1.0,College/University,Anti-Bisexual,Sexual Orientation,N,N
2000,Police,ME,Maine,2000-10-28,0,1,2,0,2,White,Non-Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,Public Transport,Anti-White,Race,N,N
2013,City,TN,Tennessee,2013-02-15,1,0,2,1,1,Hispanic,Hispanic,1,Aggravated Assault,1.0,Store,Anti-Latin,Religion,N,N
