2024,99999,CT,9150.0,9150708100.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,25000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,99999,NY,36047.0,3604700700.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,Loan originated,1,350000.0,80.0,6.75,0.5,2,6000.0,1500.0,2000.0,2.0,1000.0,360,5,0,0,0,0,0,0,400000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,350000.0,45.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30-39,30-39,No,,1,1
2024,99999,FL,12086.0,12086080400.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan approved but not accepted,3,600000.0,,7.25,1.0,1,5500.0,1200.0,1500.0,1.5,500.0,360,0,0,0,1,1,1,1,500000.0,Site-Built,Investment,Not Applicable,Not Applicable,2,0,300000.0,30.0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,50-59,40-49,Yes,,1,1
2024,99999,TX,48201.0,4820101700.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,1,300000.0,75.0,5.50,0.25,2,5000.0,1000.0,1000.0,0.5,0.0,300,0,0,0,0,0,0,0,350000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,3,0,500000.0,38.0,2,2,1,1,2,1,1,2,1,1,1,1,1,1,25-39,30-39,Yes,,2,1
2024,99999,CA,06041.0,06041020501.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan denied,2,280000.0,,6.50,0.75,1,8000.0,1800.0,2200.0,3.0,800.0,360,0,0,0,1,1,1,0,320000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,112000.0,42.0,3,3,1,1,1,1,2,1,2,1,2,1,2,1,20-29,30-39,Yes,,2,1
2024,99999,NJ,34013.0,3401300000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,Application approved for funding,1,600000.0,85.0,6.25,0.25,2,6500.0,1300.0,1600.0,2.5,500.0,360,0,0,0,0,0,0,1,500000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,250000.0,35.0,1,1,1,1,1,1,1,2,1,2,1,2,1,2,40-49,35-49,Yes,,1,1
2024,99999,IL,17031.0,17031051001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Female,Loan denied,2,500000.0,,7.00,0.5,2,7500.0,1500.0,2000.0,3.0,1000.0,360,0,0,0,1,1,1,0,550000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,450000.0,38.0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,35-49,45-54,Yes,,1,1
2024,99999,GA,13089.0,13089031201.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Application received,1,420000.0,81.0,6.00,0.25,2,5000.0,1200.0,1500.0,2.0,500.0,300,3,1,0,0,0,0,1,480000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,2,0,390000.0,40.0,2,2,1,1,1,1,2,2,2,1,2,1,1,2,45-54,25-39,No,,1,1
2024,99999,OH,39001.0,39001003456.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,Loan originated,1,580000.0,75.0,6.5,1.0,1,7000.0,1500.0,1800.0,2.0,0.0,360,0,0,1,0,0,0,1,520000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,400000.0,30.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30-39,35-49,No,,1,1
2024,99999,MN,27037.0,27037008000.0,VA:First Lien,Multifamily (5+ Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,700000.0,90.0,6.75,0.5,2,8000.0,1600.0,2000.0,2.5,500.0,360,0,0,0,0,0,0,0,650000.0,Site-Built,Investment,Not Applicable,Not Applicable,5,50000.0,500000.0,42.0,2,2,1,1,2,2,2,2,1,1,1,2,1,2,25-34,35-44,Yes,,2,2
2024,99999,WA,53029.0,53029010200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan denied,1,650000.0,,6.50,0.75,2,7500.0,1700.0,2000.0,2.0,500.0,360,0,0,0,1,1,1,1,620000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,400000.0,35.0,2,1,1,1,2,1,1,1,2,1,1,1,2,2,45-54,30-39,Yes,,1,1
