activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,99999,CT,9150.0,9150708100.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,25000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,99999,CA,5000.0,5000708100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black,Male,Loan originated,10,50000.0,60.0,5.25,1.75,0,5.0,2.0,3.5,1.5,0,360,12,0,0,1,0,0,100000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,50000,30.0,1,0,1,2,1,0,750,750,1,1,2,0,1,0,Valid,Valid,Valid,Valid,Valid,Valid
2024,99999,TX,8500.0,8500708100.0,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Brown,Female,Denied application,21,95000.0,72.5,4.25,0.5,0,0.75,0.5,0.25,0.25,4,360,0,0,1,0,0,0,125000.0,Manufactured,Investment,Not Applicable,Not Applicable,1,0,90000,28.0,2,2,2,2,1,0,880,750,0,1,2,0,0,0,Valid,Valid,Valid,Valid,Valid,Valid
2024,99999,NY,3700.0,3700708100.0,Conventional:First Lien,Multi-Family (5+ Units):Site-Built,Not Hispanic or Latino,White,Female,Preapproval request,10,67500.0,85.0,6.25,2.5,0,2.0,1.0,1.0,2.0,0,240,0,1,0,0,0,0,90000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,49500,35.5,3,3,3,3,1,0,720,730,0,0,1,0,1,0,Valid,Valid,Valid,Valid,Valid,Valid
2024,99999,FL,3500.0,3500708100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic,Male,Loan originated,10,36000.0,98.0,5.75,1.25,0,0.5,0.75,0.5,0.5,1,360,0,0,0,1,1,1,140000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,50000,38.0,1,1,3,2,1,0,700,680,1,1,2,1,1,1,Valid,Valid,Valid,Valid,Valid,Valid
2024,99999,IL,2700.0,2700708100.0,Conventional:Second Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Preapproval request,10,135000.0,65.0,5.25,2.25,1,5.0,2.25,2.0,1.0,0,360,18,0,0,1,0,0,175000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,120000,33.0,4,4,4,4,1,0,760,720,1,1,2,0,0,0,Valid,Valid,Valid,Valid,Valid,Valid
2024,99999,OH,2600.0,2600708100.0,USDA Rural Development:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Denied application,10,42000.0,90.0,5.75,1.75,0,1.25,1.0,1.0,0.25,1,360,0,0,0,0,0,0,98000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,87000,42.0,1,1,1,2,1,1,600,620,1,1,1,0,2,2,Valid,Valid,Valid,Valid,Valid,Valid
2024,99999,AZ,2800.0,2800708100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Brown,Female,Loan originated,10,40500.0,85.0,5.50,1.25,0,3.0,2.0,0.5,0.5,1,360,0,0,0,0,1,1,120000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,65000,37.0,3,3,3,3,1,1,750,740,0,0,1,1,1,0,Valid,Valid,Valid,Valid,Valid,Valid
2024,99999,MI,2500.0,2500708100.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Denied application,21,48000.0,82.5,4.25,1.75,0,2.0,1.0,1.0,0.5,0,360,12,0,1,0,1,1,95000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,78000,38.0,2,1,2,2,1,1,670,680,0,1,0,1,2,0,Valid,Valid,Valid,Valid,Valid,Valid
2024,99999,GA,1400.0,1400708100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan originated,10,85000.0,95.0,6.00,1.50,1,4.5,3.0,1.0,1.0,0,240,0,0,0,0,0,0,130000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,75000,28.0,1,1,2,2,1,1,700,680,0,0,1,0,0,0,Valid,Valid,Valid,Valid,Valid,Valid
