activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,32860,06,075,032000,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,450000,0.85,6.5,2.0,1,3450,1.25,250,0.5,100,360,0,0,0,0,0,0,950000,Solid,Principal,NA,NA,1,0,150000,42,"FICO",Co-Applicant,Hispanic or Latino,Hispanic or Latino,Not Observed,Observed,White,White,Observed,Observed,Male,Female,Observed,Observed,35,29,0,0,N,1
2024,14500,08,069,025000,FHA,Single-Family,Hispanic or Latino,Hispanic or Latino,Female,1,Home Purchase,280000,0.75,4.2,0.8,1,2100,0.75,200,0.25,150,360,0,0,0,0,0,0,500000,Solid,Principal,NA,NA,1,0,75000,38,"FICO",Co-Applicant,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Female,Female,Observed,Observed,28,32,0,0,N,1
2024,10960,56,031,020000,VA,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,800000,0.9,7.2,2.5,1,5800,2.0,400,1.0,150,360,0,0,0,0,0,0,1200000,Solid,Principal,NA,NA,1,0,250000,45,"FICO",Co-Applicant,Hispanic or Latino,Hispanic or Latino,Not Observed,Not Observed,White,White,Observed,Observed,Male,Male,Observed,Observed,45,42,0,0,Y,1
2024,50280,29,019,012000,Conventional,Single-Family,Not Hispanic or Latino,Black or African American,Male,1,Home Purchase,720000,0.88,7.0,2.0,1,5400,1.75,450,1.0,200,360,0,0,0,0,0,0,950000,Solid,Principal,NA,NA,1,0,200000,50,"FICO",Co-Applicant,Not Hispanic or Latino,Not Hispanic or Latino,Not Observed,Observed,Black or African American,Black or African American,Observed,Observed,Male,Male,Observed,Observed,38,40,0,0,Y,0
2024,33100,12,003,034000,FHA,Single-Family,Hispanic or Latino,Hispanic or Latino,Female,1,Home Purchase,620000,0.85,6.2,1.5,1,4600,1.5,300,0.75,100,360,0,0,0,0,0,0,900000,Solid,Principal,NA,NA,1,0,160000,42,"FICO",Co-Applicant,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Female,Female,Observed,Observed,31,29,0,0,Y,1
2024,40120,23,005,001000,Conventional,Single-Family,Not Hispanic or Latino,Asian,Male,1,Home Purchase,480000,0.9,5.8,1.8,1,3200,1.25,200,0.5,100,360,0,0,0,0,0,0,650000,Solid,Principal,NA,NA,1,0,100000,35,"FICO",Co-Applicant,Not Hispanic or Latino,Hispanic or Latino,Not Observed,Observed,Asian,Asian,Observed,Observed,Male,Male,Observed,Observed,32,30,0,0,N,1
2024,38380,24,031,010000,VA,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,750000,0.85,6.8,2.2,1,5500,1.85,400,1.25,150,360,0,0,0,0,0,0,1200000,Solid,Principal,NA,NA,1,0,200000,42,"FICO",Co-Applicant,Not Hispanic or Latino,Hispanic or Latino,Not Observed,Observed,White,White,Observed,Observed,Male,Male,Observed,Observed,39,42,0,0,Y,1
2024,14500,08,069,026000,FHA,Single-Family,Hispanic or Latino,Hispanic or Latino,Female,1,Home Purchase,540000,0.8,4.6,1.2,1,3700,1.0,250,0.25,150,360,0,0,0,0,0,0,750000,Solid,Principal,NA,NA,1,0,120000,36,"FICO",Co-Applicant,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Female,Female,Observed,Observed,30,34,0,0,Y,1
2024,21920,13,067,024000,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,850000,0.87,7.4,2.5,1,6200,2.0,450,1.5,150,360,0,0,0,0,0,0,1200000,Solid,Principal,NA,NA,1,0,300000,46,"FICO",Co-Applicant,Not Hispanic or Latino,Hispanic or Latino,Not Observed,Observed,White,White,Observed,Observed,Male,Male,Observed,Observed,37,44,0,0,N,1
2024,21920,13,075,017000,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,500000,0.75,6.4,1.9,1,3700,1.2,250,0.75,100,360,0,0,0,0,0,0,800000,Solid,Principal,NA,NA,1,0,150000,40,"FICO",Co-Applicant,Not Hispanic or Latino,Not Hispanic or Latino,Not Observed,Observed,White,White,Observed,Observed,Male,Male,Observed,Observed,29,33,0,0,N,1
2024,31500,26,047,015000,FHA,Single-Family,Hispanic or Latino,Hispanic or Latino,Female,1,Home Purchase,330000,0.82,4.8,1.2,1,2600,0.8,200,0.25,100,360,0,0,0,0,0,0,450000,Solid,Principal,NA,NA,1,0,90000,35,"FICO",Co-Applicant,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Female,Female,Observed,Observed,26,27,0,0,N,1
2024,35100,26,045,032000,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,470000,0.9,5.9,1.8,1,3500,1.2,250,0.75,100,360,0,0,0,0,0,0,750000,Solid,Principal,NA,NA,1,0,180000,38,"FICO",Co-Applicant,Not Hispanic or Latino,Hispanic or Latino,Not Observed,Observed,White,White,Observed,Observed,Male,Male,Observed,Observed,36,38,0,0,J,1
2024,40120,23,037,035000,Conventional,Single-Family,Not Hispanic or Latino,Asian,Male,1,Home Purchase,780000,0.85,7.1,2.2,1,5800,1.8,350,1.25,150,360,0,0,0,0,0,0,1000000,Solid,Principal,NA,NA,1,0,220000,42,"FICO",Co-Applicant,Not Hispanic or Latino,Hispanic or Latino,Not Observed,Observed,Asian,Asian,Observed,Observed,Male,Male,Observed,Observed,40,36,0,0,Y,1
2024,14500,08,069,027000,FHA,Single-Family,Hispanic or Latino,Hispanic or Latino,Female,1,Home Purchase,820000,0.92,6.8,1.8,1,6300,2.0,450,1.0,150,360,0,0,0,0,0,0,1000000,Solid,Principal,NA,NA,1,0,180000,46,"FICO",Co-Applicant,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Hispanic or Latino,Hispanic or Latino,Observed,Observed,Female,Female,Observed,Observed,29,31,0,0,Y,1
2024,54040,31,095,035000,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,530000,0.88,6.7,2.0,1,3900,1.3,250,0.75,100,360,0,0,0,0,0,0,750000,Solid,Principal,NA,NA,1,0,170000,39,"FICO",Co-Applicant,Not Hispanic or Latino,Not Hispanic or Latino,Not Observed,Not Observed,White,White,Observed,Observed,Male,Male,Observed,Observed,41,43,0,0,Y,1
2024,35100,26,045,033000,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,640000,0.85,6.8,1.9,1,4400,1.5,250,0.75,100,360,0,0,0,0,0,0,900000,Solid,Principal,NA,NA,1,0,210000,43,"FICO",Co-Applicant,Not Hispanic or Latino,Hispanic or Latino,Not Observed,Observed,White,White,Observed,Observed,Male,Male,Observed,Observed,34,36,0,0,Y,1
2024,54040,31,095,036000,Conventional,Single-Family,Not Hispanic or Latino,White,Male,1,Home Purchase,370000,0.82,5.6,1.6,1,2800,1.0,200,0.5,100,360,0,0,0,0,0,0,500000,Solid,Principal,NA,NA,1,0,120000,36,"FICO",Co-Applicant,Not Hispanic or Latino,Not Hispanic or Latino,Not Observed,Observed,White,White,Observed,Observed,Male,Male,Observed,Observed,37,35,0,0,N,1
