EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
LONDON LOGISTICS LTD,98000,-8.67,-4.47,-0.95,-11.72,38.95,36.86,49.34,50.66,46.94,53.06,29.69,70.31,30.61,69.39,250 to 499,2025-06-07 09:01:05
'PORTSMOUTH WATER PLC' AND 'PORTSMOUTH WATER PLC',72190;80300;98000,1.62,2.24,-10.68,24.31,44.73,53.56,40.19,59.81,52.67,47.33,64.04,35.96,68.73,31.27,"5000 to 19,999",2025-01-10 08:48:51
COVENTRY PHARMACEUTICALS PLC,55209,10.94,1.55,1.22,-3.51,3.86,0.0,57.59,42.41,41.93,58.07,37.33,62.67,60.39,39.61,250 to 499,2025-04-25 11:22:54
BRISTOL HOSPITAL,64922;86900,4.34,-4.51,15.22,16.12,50.65,64.54,43.29,56.71,52.53,47.47,32.93,67.07,76.0,24.0,"20,000 or more",2025-04-07 02:12:45
SWANSEA FOODS PLC,55100,-0.12,6.7,-20.44,0.57,51.68,69.41,57.71,42.29,34.04,65.96,56.58,43.42,56.5,43.5,"5000 to 19,999",2025-01-10 22:40:53
NEWCASTLE CARE TRUST,43210;86101;97000,5.32,4.18,-4.88,0.64,27.66,28.36,48.53,51.47,45.99,54.01,54.01,45.99,71.58,28.42,500 to 999,2024-09-15 22:24:17
ABERYSTWYTH TELECOMS LTD,72110,-5.18,-1.06,11.56,15.95,36.29,35.76,47.06,52.94,47.37,52.63,57.09,42.91,33.45,66.55,250 to 499,2025-02-18 20:17:04
OXFORD PHARMACEUTICALS PLC,52290;65300;90020,-2.93,-7.53,6.15,1.75,24.85,17.41,34.65,65.35,44.79,55.21,41.47,58.53,54.16,45.84,500 to 999,2024-12-10 07:35:34
OXFORD RAIL LTD,79110,2.55,-0.32,16.65,-13.29,53.71,64.13,37.72,62.28,54.69,45.31,62.52,37.48,45.09,54.91,"20,000 or more",2025-08-19 10:48:03
GLASGOW TECHNOLOGIES LTD,74100,-8.4,-7.96,5.58,3.46,35.61,26.59,37.64,62.36,62.4,37.6,54.35,45.65,68.73,31.27,"5000 to 19,999",2025-07-25 00:16:35
LONDON BANK,41100,14.88,4.26,15.13,13.61,16.11,0.0,64.53,35.47,59.18,40.82,52.38,47.62,48.2,51.8,250 to 499,2025-01-26 21:10:29
'YORK UNIVERSITY' AND 'YORK UNIVERSITY',41100;94990,-0.61,0.7,8.47,11.88,18.03,31.96,50.88,49.12,37.36,62.64,59.27,40.73,56.79,43.21,250 to 499,2025-02-01 04:32:38
NEWCASTLE TECHNOLOGIES LTD,62020;68209,6.93,14.33,19.73,13.6,40.54,49.2,54.3,45.7,42.88,57.12,66.76,33.24,82.84,17.16,"5000 to 19,999",2024-04-20 11:59:23
MILTON KEYNES CONSTRUCTION LTD,86900;93120,5.81,-4.85,12.57,6.05,28.88,29.4,47.4,52.6,40.22,59.78,56.71,43.29,52.54,47.46,250 to 499,2025-09-28 12:08:42
READING TECHNOLOGIES LTD,23440;98000,13.81,4.27,0.58,-13.37,40.59,40.08,49.17,50.83,39.66,60.34,36.47,63.53,47.67,52.33,500 to 999,2025-02-14 20:42:41
PORTSMOUTH ENERGY PLC,62090,7.17,-0.9,1.95,12.62,47.82,23.9,65.12,34.88,49.59,50.41,46.2,53.8,56.41,43.59,"20,000 or more",2024-11-23 02:14:00
ABERYSTWYTH HOSPITAL,86101,-13.95,-7.63,-10.15,2.07,34.52,27.87,44.67,55.33,54.14,45.86,51.11,48.89,52.28,47.72,"20,000 or more",2024-11-30 16:42:31
GLASGOW MEDIA GROUP,22290;80200,19.97,13.4,5.32,24.38,24.86,41.64,40.53,59.47,51.83,48.17,39.56,60.44,62.37,37.63,250 to 499,2024-07-10 05:27:22
