EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Company 1,47735,-7.75,-7.83,-17.62,-24.31,50.49,57.82,57.92,29.94,9.94,50.9,6.36,12.61,25.78,6.55,1000 to 4999,2024-12-15
Company 2,11136,15.38,15.19,2.16,-5.38,31.43,31.22,30.77,59.06,43.06,17.73,3.4,4.74,22.77,18.46,1000 to 4999,2024-06-23
Company 3,12272,7.84,8.87,9.94,15.46,45.6,39.02,42.31,1.39,0.98,16.67,9.29,41.98,47.43,39.96,"5000 to 19,999",2024-04-06
Company 4,61964,9.88,11.78,10.27,3.86,38.31,35.34,58.05,2.99,11.22,57.31,5.45,7.22,25.29,32.48,Less than 250,2024-06-30
Company 5,18327,12.61,11.95,35.49,34.95,54.17,71.19,25.96,11.38,44.69,31.4,0.03,45.58,29.32,11.64,500 to 999,2024-04-26
Company 6,66781,27.07,30.22,-6.89,-2.68,62.55,50.88,12.35,27.03,39.05,29.14,31.71,13.43,16.89,30.39,"5000 to 19,999",2024-11-13
Company 7,19507,-6.07,-8.91,10.55,12.65,43.03,61.35,21.83,45.41,49.45,30.69,14.24,5.28,14.48,18.62,1000 to 4999,2025-02-19
Company 8,18801,0.0,-0.88,49.23,54.4,38.91,44.53,2.42,26.1,15.75,65.0,14.09,0.14,67.74,8.76,1000 to 4999,2024-04-24
Company 9,66078,28.69,31.28,2.9,-3.64,35.35,28.29,1.9,12.41,18.67,76.92,10.43,5.2,69.0,5.48,500 to 999,2024-08-29
Company 10,99403,27.85,25.66,30.81,29.32,46.98,32.73,29.89,41.33,45.2,3.05,17.94,38.23,6.97,17.39,"5000 to 19,999",2024-12-14
Company 11,40331,9.65,8.1,44.98,46.51,58.34,58.64,57.5,29.97,15.63,25.79,18.44,3.15,8.42,41.08,250 to 499,2024-07-07
Company 12,81783,-9.18,-6.62,1.58,-2.9,56.46,64.35,31.04,50.17,24.01,3.73,37.91,32.71,7.04,13.39,"5000 to 19,999",2024-12-16
Company 13,41741,15.94,19.09,10.51,13.41,30.93,43.65,4.5,4.72,68.78,26.81,11.59,46.98,15.13,21.48,"20,000 or more",2024-10-31
Company 14,82124,17.09,19.37,11.75,15.58,67.86,51.47,4.58,1.34,15.11,2.21,72.61,60.48,7.7,35.97,1000 to 4999,2025-01-15
Company 15,75619,19.64,15.05,5.75,7.22,40.59,38.24,4.11,42.82,38.54,20.26,24.34,20.83,33.02,16.08,250 to 499,2024-11-10
Company 16,56525,-6.14,-3.76,13.14,7.63,56.49,61.53,31.53,45.21,30.13,6.12,13.77,12.95,24.58,35.73,250 to 499,2024-11-23
