data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1997,City,IA,Iowa,1997-12-15,1,,1,,1,Black or African American,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,School/College,Anti-Asian,Individual,S,M
1992,County,MA,Massachusetts,1992-07-10,1,,1,,1,Black or African American,Not Specified,1,Intimidation,1.0,Parking Lot/Garage,Anti-Homosexual,Individual,S,S
2009,Tribal,AZ,Arizona,2009-12-30,1,,1,,1,White,Unknown,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
1997,County,WA,Washington,1997-09-21,1,,1,1,,Asian,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque,Anti-Hispanic or Latino,Society/Public,S,M
1994,City,NM,New Mexico,1994-09-27,1,1,,,,White,Not Specified,2,Intimidation,2.0,Bar/Nightclub,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
1999,City,IA,Iowa,1999-06-06,1,,,,,Black or African American,Not Specified,1,Intimidation,1.0,School/College,Anti-Black or African American,Business,S,S
2000,County,SD,South Dakota,2000-08-18,,2,1,1,,White,Not Specified,2,Simple Assault,2.0,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
2005,City,AL,Alabama,2005-05-11,1,,1,1,,Black or African American,Hispanic or Latino,1,Intimidation,1.0,Bar/Nightclub,Anti-Jewish,Individual,S,S
1994,County,OR,Oregon,1994-08-10,1,,1,,1,White,Unknown,1,Simple Assault,1.0,Parking Lot/Garage,Anti-White,Individual,S,S
2002,University/College,MD,Maryland,2002-02-13,1,,1,1,,White,Not Specified,1,Intimidation,1.0,School/College,Anti-Asian,Individual,S,S
1996,County,OR,Oregon,1996-05-16,1,,1,1,,Unknown,Not Specified,1,Simple Assault,1.0,Residence/Home,Anti-Asian,Society/Public,M,S
1992,City,OR,Oregon,1992-04-22,1,,,,,Asian,Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1996,County,AR,Arkansas,1996-09-03,1,,1,,1,American Indian or Alaska Native,Not Specified,1,Simple Assault,1.0,School/College,Anti-Male Homosexual,Individual,M,S
1996,City,AZ,Arizona,1996-12-14,1,,1,,1,American Indian or Alaska Native,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,M
2001,County,NM,New Mexico,2001-05-31,1,,1,1,,White,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Society/Public,S,M
2013,State,SD,South Dakota,2013-01-09,1,,1,,1,Multiple Races,Not Specified,1,Other,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Business,S,S
2006,County,MO,Missouri,2006-04-09,1,,,,,Black or African American,Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Homosexual,Individual,S,S
1998,City,AZ,Arizona,1998-05-15,1,,1,1,,Black or African American,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque,Anti-Hispanic or Latino,Individual,M,S
2011,County,NC,North Carolina,2011-10-13,1,,1,,1,White,Not Specified,1,Aggravated Assault,1.0,Residence/Home,Anti-Homosexual,Society/Public,M,M
1993,City,OR,Oregon,1993-08-21,,2,1,,1,Unknown,Unknown,2,Destruction/Damage/Vandalism of Property,2.0,Restaurant,Anti-Black or African American,Individual,S,S
2012,City,AZ,Arizona,2012-02-27,1,,,,,Asian,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Street/Road/Alley,Anti-White,Business,S,S
2006,County,NH,New Hampshire,2006-02-08,1,,1,1,,Multiple Races,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Bar/Nightclub,Anti-Homosexual,Individual,S,S
2002,County,NV,Nevada,2002-05-23,1,,1,,1,White,Not Specified,1,Intimidation,1.0,Street/Road/Alley,Anti-White,Individual,S,M
2012,City,NC,North Carolina,2012-04-10,1,,1,1,,Asian,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Restaurant,Anti-Jewish,Individual,S,M
2000,City,ME,Maine,2000-06-06,1,,1,1,,American Indian or Alaska Native,Not Specified,1,Intimidation,1.0,Restaurant,Anti-Black or African American,Individual,S,M
2005,County,NY,New York,2005-10-17,1,,1,1,,Unknown,Hispanic or Latino,1,Simple Assault,1.0,Bar/Nightclub,Anti-Asian,Business,S,S
2009,County,NH,New Hampshire,2009-03-27,1,,,,,White,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Street/Road/Alley,Anti-White,Individual,S,S
1995,State,GA,Georgia,1995-01-23,1,1,1,1,,Asian,Hispanic or Latino,2,Simple Assault,2.0,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
