data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1995,State Police,CA,California,1995-03-12,1,0,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,1,Residence,Race/Ethnicity/Ancestry,Individual,No,No
2001,City Police,NY,New York,2001-09-18,2,0,2,2,0,Unknown,Unknown,2,Destruction/Damage/Vandalism of Property,2,Parking Lot/Garage,Religion,Business,No,No
2010,County Sheriff,TX,Texas,2010-07-04,0,1,1,0,1,Black or African American,Not Hispanic or Latino,1,Intimidation,1,School/College,Sexual Orientation,Individual,No,No
2014,City Police,FL,Florida,2014-11-01,1,0,3,3,0,White,Hispanic or Latino,1,Aggravated Assault,1,Highway/Road/Street,Race/Ethnicity/Ancestry,Individual,Yes,No
1998,State Police,IL,Illinois,1998-05-20,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Simple Assault,1,Bar/Nightclub,Gender Identity,Individual,No,No
2005,City Police,WA,Washington,2005-12-25,1,0,1,1,0,White,Not Hispanic or Latino,1,Larceny-Theft,1,Department/Discount Store,Religion,Individual,No,No
2012,County Sheriff,GA,Georgia,2012-02-29,1,0,2,1,1,Black or African American,Not Hispanic or Latino,1,Robbery,1,Gas/Service Station,Race/Ethnicity/Ancestry,Individual,No,No
1991,City Police,AZ,Arizona,1991-01-01,1,0,1,1,0,White,Not Hispanic or Latino,1,Intimidation,1,Residence,Sexual Orientation,Individual,No,No
2000,State Police,PA,Pennsylvania,2000-10-31,2,0,1,1,0,Unknown,Unknown,2,Simple Assault,2,Park/Recreation Area,Religion,Individual,No,No
2008,City Police,OH,Ohio,2008-06-06,1,0,1,1,0,White,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1,Church/Synagogue/Temple/Mosque,Race/Ethnicity/Ancestry,Religious Organization,No,No
2013,County Sheriff,MI,Michigan,2013-04-15,1,0,1,1,0,Black or African American,Not Hispanic or Latino,1,Aggravated Assault,1,Residence,Disability,Individual,No,No
1996,City Police,NJ,New Jersey,1996-08-14,0,1,1,0,1,White,Hispanic or Latino,1,Intimidation,1,School/College,Race/Ethnicity/Ancestry,Individual,No,No
