EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
MISHCON DE REYA GROUP (OPERATIONS) LIMITED,64209,30.4,23.6,73.9,30.0,55.4,64.0,25.4,74.6,15.1,84.9,27.0,73.0,55.6,44.4,500-999,2025-04-03 15:10:41
DE VERE WOKEFIELD ESTATE LIMITED,55100,16.7,3.6,40.5,-119.2,42.3,49.7,29.9,70.1,45.6,54.4,44.8,55.2,63.2,36.8,250-499,2025-03-31 14:44:02
ODEON CINEMAS LIMITED,"59131,
59140",9.4,0.0,37.3,9.6,18.8,17.0,54.0,46.0,54.0,46.0,52.0,48.0,57.0,43.0,1000-4999,2025-04-04 11:41:38
Hull University Teaching Hospitals NHS Trust,"1,
86210",29.5,17.27,57.25,15.0,15.75,3.39,16.97,83.03,19.47,80.53,19.09,80.91,39.5,60.5,"5000-19,999",2025-03-18 09:57:01
KRAKEN TECHNOLOGIES LIMITED,62012,27.5,24.7,34.1,22.5,9.7,18.1,51.0,49.0,67.8,32.2,71.9,28.1,79.6,20.4,1000-4999,2025-04-03 13:24:38
MCCURRACH UK LTD.,82990,-7.0,-2.0,0.0,-2.0,83.0,84.0,78.0,22.0,68.0,32.0,75.0,25.0,69.0,31.0,500-999,2025-03-06 11:20:28
THAMES TRAVEL (WALLINGFORD) LIMITED,49319,18.24,12.71,,,0.0,0.0,75.0,25.0,82.1,17.9,92.9,7.1,96.3,3.7,Less than 250,2025-03-26 13:22:04
AMICURA LIMITED,87100,-5.0,0.0,,,0.0,0.0,23.0,77.0,28.0,72.0,23.0,77.0,25.0,75.0,500-999,2025-03-18 15:48:13
Tai Calon Community Housing Ltd,,5.83,0.13,,,0.0,0.0,53.0,47.0,74.0,26.0,62.0,38.0,68.0,32.0,250-499,2025-03-25 17:15:59
HCRG CARE SERVICES LTD,86210,21.7,0.0,61.3,66.7,14.0,86.0,6.0,94.0,5.0,95.0,4.0,96.0,13.0,87.0,1000-4999,2025-04-03 13:26:09
