data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1998,City,NJ,New Jersey,1998-05-04,,,0,,,Unknown,Not Specified,1,Intimidation,1.0,Government/Public Building,Anti-Black or African American,Individual,S,S
1995,City,VT,Vermont,1995-04-15,,,1,,,White,Not Specified,2,Aggravated Assault;Destruction/Damage/Vandalism of Property,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Business;Individual,M,S
2017,City,TN,Tennessee,2017-05-12,1.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
2020,City,VT,Vermont,2020-08-05,0.0,0.0,0,,,Not Specified,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Business,S,S
2002,City,CA,California,2002-09-13,,,1,,,Unknown,Not Specified,1,Intimidation,1.0,Bar/Nightclub,Anti-Jewish,Individual,S,S
1994,City,AZ,Arizona,1994-04-05,,,4,,,White,Not Specified,1,Intimidation,1.0,Other/Unknown,Anti-Jewish,Individual,S,S
2017,City,NJ,New Jersey,2017-02-15,,,0,,,Unknown,Not Specified,0,Destruction/Damage/Vandalism of Property,,School/College,Anti-Black or African American,Other,S,S
2005,City,NJ,New Jersey,2005-04-01,,,1,,,White,Not Specified,1,Intimidation,1.0,School/College,Anti-Hispanic or Latino,Individual,S,S
2024,City,NV,Nevada,2024-06-13,2.0,0.0,1,0.0,0.0,White,Unknown,1,Aggravated Assault,2.0,Restaurant,Anti-Hispanic or Latino,Individual,S,S
1994,City,NY,New York,1994-11-13,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Jewish,Other,S,S
2008,City,CO,Colorado,2008-09-08,,,0,,,Unknown,Not Specified,1,Impersonation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
2008,City,AK,Alaska,2008-05-31,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
2001,University or College,NC,North Carolina,2001-09-14,,,1,,,White,Not Specified,1,Intimidation,1.0,School/College,Anti-Islamic (Muslim),Individual,S,S
1999,City,CA,California,1999-05-28,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Asian,Individual,S,S
2024,City,IA,Iowa,2024-10-07,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
2010,County,CA,California,2010-09-04,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
2022,City,ID,Idaho,2022-01-02,1.0,0.0,2,2.0,0.0,White,Not Specified,1,Aggravated Assault,1.0,Other/Unknown,Anti-White,Individual,S,S
2006,City,MA,Massachusetts,2006-12-16,,,0,,,Unknown,Not Specified,1,Burglary/Breaking & Entering,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
2024,University or College,WY,Wyoming,2024-11-27,1.0,0.0,0,,,Not Specified,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,School-College/University,Anti-Gay (Male),Individual,S,S
