activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,26900,IN,18057.0,18057110814.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,145000.0,,5.5,,2,3554.75,,1295.0,,,180,,,2,2,2,2,855000.0,1,1,3,5,1,,,,9,9,4.0,4.0,3,3,7.0,7.0,3,3,4,4,3,3,8888,8888,,,3,3
2024,31020,WA,53015.0,53015000602.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,Loan originated,1,415000.0,96.5,6.375,0.469,2,19134.82,,8909.16,6781.16,,360.0,,,2,2,2,2,425000.0,1,1,3,5,1,,130.0,43.0,1,9,2.0,2.0,2,2,5.0,4.0,2,2,2,1,2,2,25-34,25-34,No,No,1,1
2024,29484,NJ,34023.0,34023006208.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Application denied,2,65000.0,18.237,,,3,,,,,,240,,,2,2,2,2,325000.0,1,1,3,5,1,,30.0,,1,10,1.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,55-64,9999,Yes,,1,1
2024,19300,AL,1003.0,1003011410.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,2,265000.0,80.0,5.5,-0.027,2,13207.55,,6200.55,5264.55,,360.0,,,2,2,2,2,325000.0,1,1,3,5,1,,121.0,,1,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,45-54,9999,No,,2,2
2024,26900,IN,18059.0,18059410202.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Application denied,4,105000.0,78.049,,,3,,,,,,180,,,2,2,2,2,415000.0,1,1,3,5,1,,112.0,46.0,12,9,2.0,2.0,2,2,5.0,5.0,2,2,2,2,2,2,65-74,35-44,Yes,No,1,1
2024,15980,FL,12071.0,12071040206.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,245000.0,96.5,6.0,0.152,2,13909.52,,6650.62,21.69,16.04,360,,,2,2,2,2,245000.0,1,1,3,5,1,,58.0,46.0,1,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,9999,No,,2,2
2024,17820,CO,8041.0,8041000203.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,445000.0,96.5,6.375,0.05,2,9150.12,,0.0,,55.0,360.0,,,2,2,2,2,455000.0,1,1,3,5,1,,,36.0,2,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,35-44,9999,No,,1,1
2024,19124,TX,48113.0,48113016623.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Application denied,1,185000.0,50.0,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,,,9,10,1.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,25-34,9999,No,,2,1
2024,17900,SC,45063.0,45063021306.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Application withdrawn,1,305000.0,,,,3,,,,,,360.0,,,2,2,2,2,,1,1,3,5,1,,108.0,,9,9,2.0,5.0,2,4,3.0,8.0,2,4,1,5,2,4,35-44,9999,No,,1,1
2024,12054,GA,13117.0,13117130610.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Application denied,4,205000.0,13.793,,,3,,,,,,360,,1.0,2,2,2,2,1455000.0,1,1,3,5,1,,350.0,,9,10,2.0,5.0,2,4,2.0,8.0,2,4,1,5,2,4,35-44,9999,No,,1,1
