incident_id,data_year,ori,pug_agency_name,pub_agency_unit,agency_type_name,state_abbr,state_name,division_name,region_name,population_group_code,population_group_description,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
157532,2012,IL0450300,Carpentersville,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",2012-05-03,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1444928,2017,WASPD0000,Seattle,,City,WA,Washington,Pacific,West,1B,"Cities from 500,000 thru 999,999",2017-07-20,0.0,0.0,1,1.0,0.0,White,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Asian,Other,S,S
177833,2015,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1A,"Cities 1,000,000 or over",2015-05-16,,,1,,,White,Not Specified,1,Arson,1.0,Highway/Road/Alley/Street/Sidewalk,"Anti-Multiple Religions, Group",Individual,S,S
1409346,2019,NH0071600,Concord,,City,NH,New Hampshire,New England,Northeast,4,"Cities from 25,000 thru 49,999",2019-04-03,0.0,1.0,3,2.0,1.0,White,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S
2183,1991,OR0260200,Portland,,City,OR,Oregon,Pacific,West,1C,"Cities from 250,000 thru 499,999",1991-08-10,,,5,,,White,Not Specified,1,Simple Assault,2.0,Other/Unknown,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
55181,1998,CA0194200,Los Angeles,,City,CA,California,Pacific,West,1A,"Cities 1,000,000 or over",1998-03-01,,,1,,,Black or African American,Not Specified,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Hispanic or Latino,Individual,S,S
67338,2000,KY0760200,Richmond,,City,KY,Kentucky,East South Central,South,4,"Cities from 25,000 thru 49,999",2000-01-23,,,0,,,Unknown,Not Specified,1,Aggravated Assault,0.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
1480182,2021,NY0303000,New York,,City,NY,New York,Middle Atlantic,Northeast,1A,"Cities 1,000,000 or over",2021-11-13,,,1,,,Unknown,Not Specified,0,Destruction/Damage/Vandalism of Property,,Other/Unknown,Anti-Jewish,Other,S,S
61094,1999,OHCLP0000,Cleveland,,City,OH,Ohio,East North Central,Midwest,1C,"Cities from 250,000 thru 499,999",1999-05-25,,,3,,,White,Not Specified,1,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
145449,2010,MI7371800,Saginaw Township,,City,MI,Michigan,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",2010-08-14,,,1,,,White,Not Specified,1,Intimidation,1.0,Department/Discount Store,Anti-Black or African American,Individual,S,S
1467856,2021,CA0360200,Chino,,City,CA,California,Pacific,West,3,"Cities from 50,000 thru 99,999",2021-05-09,1.0,0.0,0,,,Not Specified,Not Specified,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
15028,1993,PA037SP00,State Police:,Lawrence County,State Police,PA,Pennsylvania,Middle Atlantic,Northeast,8B,"Non-MSA counties from 25,000 thru 99,999",1993-11-09,,,1,,,White,Not Specified,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1547024,2024,NY0303000,New York,,City,NY,New York,Middle Atlantic,Northeast,1A,"Cities 1,000,000 or over",2024-07-08,0.0,0.0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Asian,Government,S,S
1399775,2021,MN0820200,Forest Lake,,City,MN,Minnesota,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",2021-11-18,0.0,1.0,2,0.0,2.0,White,Not Hispanic or Latino,1,Intimidation,1.0,School-Elementary/Secondary,Anti-Islamic (Muslim),Individual,S,S
132584,2008,OH0740000,Seneca,,County,OH,Ohio,East North Central,Midwest,8B,"Non-MSA counties from 25,000 thru 99,999",2008-11-13,,,0,,,Unknown,Not Specified,1,All Other Larceny,1.0,Residence/Home,Anti-Mental Disability,Individual,S,S
123510,2007,MN0271100,Minneapolis,,City,MN,Minnesota,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",2007-11-03,,,1,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Black or African American,Business,S,S
139234,2009,NJ0026000,Teaneck Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",2009-12-04,,,0,,,Unknown,Not Specified,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Individual,S,S
69994,2000,VA1110000,Hampton,,City,VA,Virginia,South Atlantic,South,2,"Cities from 100,000 thru 249,999",2000-01-05,,,1,,,Black or African American,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
184152,2016,NJ0121700,Piscataway Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,3,"Cities from 50,000 thru 99,999",2016-08-02,0.0,0.0,0,0.0,0.0,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Islamic (Muslim),Other,S,S
1488326,2022,NY314SA00,State Police:,Erie County,State Police,NY,New York,Middle Atlantic,Northeast,9D,"MSA counties under 10,000",2022-11-11,,,1,,,White,Not Specified,1,Intimidation,1.0,Other/Unknown,Anti-Asian,Individual,S,S
122841,2007,ME0060100,Augusta,,City,ME,Maine,New England,Northeast,5,"Cities from 10,000 thru 24,999",2007-07-09,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
185247,2016,OHCOP0000,Columbus,,City,OH,Ohio,East North Central,Midwest,1B,"Cities from 500,000 thru 999,999",2016-09-17,1.0,0.0,1,1.0,0.0,White,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
119015,2006,MN0730400,St. Cloud,,City,MN,Minnesota,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",2006-07-28,,,1,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Jewish,Business,S,S
348617,2018,INIPD0000,Indianapolis,,City,IN,Indiana,East North Central,Midwest,1B,"Cities from 500,000 thru 999,999",2018-11-28,1.0,1.0,1,0.0,1.0,White,Not Hispanic or Latino,1,Intimidation,2.0,School-Elementary/Secondary,Anti-Black or African American,Individual,S,S
79258,2001,MI5084900,Clinton Township,,City,MI,Michigan,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",2001-01-02,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Other Race/Ethnicity/Ancestry,Government,S,S
27956,1995,NY0290000,Nassau,,County,NY,New York,Middle Atlantic,Northeast,9A,"MSA counties 100,000 or over",1995-12-17,,,0,,,Unknown,Not Specified,1,Intimidation,1.0,Other/Unknown,Anti-Jewish,Individual,S,S
73282,2000,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1A,"Cities 1,000,000 or over",2000-08-19,,,1,,,White,Not Specified,1,Simple Assault,1.0,Convenience Store,Anti-Asian,Individual,S,S
193933,2017,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1A,"Cities 1,000,000 or over",2017-10-25,,,0,,,Unknown,Unknown,0,Destruction/Damage/Vandalism of Property,,Park/Playground,Anti-Jewish;Anti-Transgender,Government,S,M
134438,2008,NJ0132600,Manalapan Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",2008-10-03,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Other Religion,Other,S,S
90679,2002,CA0430000,Santa Clara,,County,CA,California,Pacific,West,9A,"MSA counties 100,000 or over",2002-09-18,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
154730,2011,NY0303000,New York,,City,NY,New York,Middle Atlantic,Northeast,1A,"Cities 1,000,000 or over",2011-11-03,0.0,0.0,1,0.0,0.0,White,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Jewish,Other,S,S
1424526,2022,IN0100400,Sellersburg,,City,IN,Indiana,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",2022-02-11,1.0,0.0,2,2.0,0.0,White,Not Hispanic or Latino,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Service/Gas Station,Anti-Black or African American,Individual,M,S
385938,2018,NY0558000,Saugerties Town,,City,NY,New York,Middle Atlantic,Northeast,5,"Cities from 10,000 thru 24,999",2018-08-18,,,1,,,Unknown,Not Specified,0,Burglary/Breaking & Entering,,Residence/Home,Anti-Black or African American,Other,S,S
1492366,2022,NY0315500,Niagara Town,,City,NY,New York,Middle Atlantic,Northeast,6,"Cities from 2,500 thru 9,999",2022-05-16,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1453973,2020,SC0380000,Orangeburg,,County,SC,South Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",2020-06-19,2.0,0.0,0,,,Not Specified,Not Specified,1,Intimidation,2.0,Department/Discount Store,Anti-Black or African American,Individual,S,S
1448105,2018,WV0270000,Mason,,County,WV,West Virginia,South Atlantic,South,8C,"Non-MSA counties from 10,000 thru 24,999",2018-06-26,0.0,0.0,1,1.0,0.0,Black or African American,Not Specified,1,Weapon Law Violations,0.0,Residence/Home,Anti-Black or African American,Society/Public,S,S
93473,2003,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1A,"Cities 1,000,000 or over",2003-03-31,,,6,,,Multiple,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
1463027,2020,MI631910X,Rochester Hills,,City,MI,Michigan,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",2020-04-02,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Drug Store/Doctor's Office/Hospital,Anti-Black or African American,Individual,S,S
178209,2015,NJ0201700,"Springfield Township, Union County",,City,NJ,New Jersey,Middle Atlantic,Northeast,5,"Cities from 10,000 thru 24,999",2015-05-06,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Jewish,Other,S,S
