activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300CEKZ808Q0WJL95,21340,TX,48141.0,48141004314.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,2,1,1,2,2,2,345000.0,98.19000,,,3,,,,,,360,,,2,2,2,2,345000,1,1,3,5,1,,82.0,50%-60%,3,10,1.0,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,3,6,,,,,1,,,,4841,93.31,63100,72,924,1495,34
2024,549300JYXTZDSPJEPI44,99999,GA,13129.0,13129970601.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,205000.0,,7.375,,2,8744.9,,7590.0,7590.0,,360.0,,,2,2,2,2,255000.0,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,3028,34.28,69300,78,461,1013,31
2024,549300FGXN1K3HLB1R50,23060,IN,18003.0,18003003600.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Black or African American,Male,3,0,2,1,4,1,2,2,2,75000.0,50.0,,,3,,,,,,360,,,2,2,2,2,155000.0,1,1,3,5,1,,29.0,39,1,10,3.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,3,1,,,,,1,,,,6678,71.94,86900,69,772,1240,46
2024,213800XR2TCBQJSF1X93,40060,VA,51760.0,51760071003.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,1,1,1,1,2,2,2,315000.0,95.0,6.625,0.398,2,3581.62,,250.0,,,360.0,,,2,2,2,2,325000.0,1,1,3,5,1,,109.0,38,1,10,2.0,,,,,5.0,,,,,2,4,2.0,23.0,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,2998,81.32,110000,67,376,697,35
2024,PAOOWF3GUFM46FBSP561,38060,AZ,4013.0,4013040539.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,5,0,2,1,31,1,2,2,2,545000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,116.0,,9,9,2.0,,,,,1.0,12.0,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,2,,,,,10,,,,6356,25.46,101300,98,2130,2712,17
2024,549300U3721PJGQZYY68,37964,PA,42101.0,42101013602.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,525000.0,,,,3,,,,,,360.0,,,2,2,2,2,,1,1,3,5,1,,140.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,1,,,,,10,,,,3776,21.16,84300,181,949,1658,0
2024,549300FGXN1K3HLB1R50,20940,CA,6025.0,6025011002.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,32,2,2,2,2,55000.0,50.0,8.75,2.646,2,998.95,,0.0,,,240.0,,,2,2,2,2,385000.0,1,1,3,5,1,,130.0,20%-<30%,3,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,9436,84.78,65300,175,1851,2591,28
2024,549300CB67L6KPJLHE19,99999,,,,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Hispanic or Latino,Race Not Available,Female,3,0,2,1,1,1,2,2,2,205000.0,,,,3,,,,,,372,,,2,1,2,2,285000,2,1,1,1,1,,313.0,<20%,1,10,12.0,14.0,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,No,,1,1,6,,,,,3,,,,0,0.0,0,0,0,0,0
2024,549300KY533JFETOYG46,33340,WI,55079.0,55079017000.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,4,0,2,1,32,1,2,2,2,95000.0,,,,3,,,,,,360,,60,2,2,2,2,,1,1,3,5,2,,69.0,,9,9,1.0,11.0,,,,1.0,11.0,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,55-64,45-54,No,No,1,1,1,,,,,10,,,,5697,86.89,102100,44,803,1760,0
2024,RVDPPPGHCGZ40J4VQ731,48864,DE,10003.0,10003016613.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,5,0,2,3,31,1,2,2,2,355000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,,,9,9,1.0,14.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,6109,58.47,111300,78,1495,1907,20
2024,X05BVSK68TQ7YTOSNR22,41940,CA,6069.0,6069000200.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,3,0,2,1,31,2,2,2,2,305000.0,93.312,,,3,,,,,,360.0,,,2,2,2,2,1105000.0,1,1,3,5,1,,280.0,50%-60%,8,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,6,,,,,4,,,,6729,57.24,180400,72,1351,2076,39
2024,549300XQVJ1XBNFA5536,41740,CA,6073.0,6073017067.0,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,5,0,2,1,1,1,2,2,2,135000.0,,,,3,,,,,,197,,,2,2,2,2,,2,3,2,3,1,,170.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,65-74,Yes,Yes,2,1,6,,,,,10,,,,3213,51.67,119500,207,625,833,24
2024,6BYL5QZYBDK8S7L73M02,11244,CA,6059.0,6059042331.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,1005000.0,,,,3,,,,,,360,,84.0,2,2,2,2,,1,1,3,5,1,,240.0,,9,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,65-74,9999,Yes,,1,1,7,,,,,10,,,,5377,40.06,129000,82,895,1674,32
2024,549300MKOZ81ZWTNKB12,47764,DC,11001.0,11001003500.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,6,2,1,1,1,2,2,2,305000.0,60,6.49,-0.159,2,4173.15,,1200,,,360,,,2,2,2,2,515000,1,1,3,5,1,,133.0,41,2,10,2.0,,,,,5.0,,,,,2,4,2.0,22.0,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,4801,58.8,128300,71,371,579,42
2024,549300YCCZTMBHGTNQ79,99999,TX,48217.0,48217961400.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,32,1,2,2,2,45000.0,26.667,,,3,,,,,,120,,,2,2,2,2,155000,1,1,3,5,1,,92.0,20%-<30%,2,2,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,,,,,3,,,,3943,29.42,75500,87,1136,1961,41
