data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,City,AR,Arkansas,1991-07-04,,,1,,,Black or African American,Not Specified,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1991,City,AR,Arkansas,1991-12-24,,,1,,,Black or African American,Not Specified,2,Aggravated Assault;Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,M,S
1991,City,AR,Arkansas,1991-07-10,,,1,,,Black or African American,Not Specified,2,Aggravated Assault;Murder and Nonnegligent Manslaughter,2.0,Residence/Home,Anti-White,Individual,M,S
1991,City,AR,Arkansas,1991-10-06,,,2,,,Black or African American,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
1991,County,MA,Massachusetts,1991-07-22,0,1,,0,3,White,Not Hispanic or Latino,1,Aggravated Assault;Destruction/Damage/Vandalism of Property,1.0,Restaurant,Anti-Asian,Individual,M,S
1991,Tribal,OR,Oregon,1991-07-23,0,1,1,0,,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Motor Vehicle Theft;Intimidation,1.0,Commercial/Office Building,Anti-Catholic,Individual,M,S
1991,County,SC,South Carolina,1991-09-12,1,1,3,3,0,Black or African American,Hispanic or Latino,2,Burglary/Breaking and Entering;Robbery,0.0,Church/Synagogue/Temple/Mosque,Anti-Hispanic or Latino,Society/Public,M,S
1991,Tribal,DE,Delaware,1991-08-03,1,0,,,0,Native Hawaiian or Other Pacific Islander,Unknown,1,Aggravated Assault;Simple Assault,0.0,Parking Lot/Garage,Anti-Lesbian,Society/Public,M,S
1991,Federal,AR,Arkansas,1991-12-26,3,,2,2,0,White,Not Specified,3,Motor Vehicle Theft;Burglary/Breaking and Entering,0.0,Parking Lot/Garage,Anti-Catholic,Society/Public,M,N
1991,City,NY,New York,1991-03-27,2,1,2,1,1,Native Hawaiian or Other Pacific Islander,Unknown,3,Motor Vehicle Theft,0.0,Restaurant,Anti-Lesbian,Religious Organization,S,S
1991,University/College,AL,Alabama,1991-10-29,0,2,1,1,0,Native Hawaiian or Other Pacific Islander,Unknown,2,Motor Vehicle Theft,0.0,Parking Lot/Garage,Anti-Muslim,Religious Organization,S,N
1991,University/College,MT,Montana,1991-07-21,3,,,1,0,White,Hispanic or Latino,3,Destruction/Damage/Vandalism of Property,3.0,Government/Public Building,Anti-Catholic,Individual,S,N
