data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,City,AR,Arkansas,1991-07-04,,,1,,,Black or African American,Not Specified,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1991,City,DE,Delaware,1991-05-21,2,0,1,1,0,Asian,Unknown,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
1991,County,HI,Hawaii,1991-06-24,2,1,1,1,0,Asian,Hispanic or Latino,3,Aggravated Assault,3.0,Residence/Home,Anti-Hispanic or Latino,Individual,N,S
1991,County,MS,Mississippi,1991-12-27,0,1,1,0,1,White,Hispanic or Latino,1,Arson,1.0,Parking Lot/Garage,Anti-LGBT (Mixed Group),Individual,N,N
1991,State Police,OH,Ohio,1991-03-25,4,,1,0,1,White,Hispanic or Latino,4,Intimidation,4.0,Parking Lot/Garage,Anti-Gay (Male),Individual,S,N
1991,City,TN,Tennessee,1991-05-16,0,,1,0,1,White,Not Hispanic or Latino,1,Intimidation,1.0,Highway/Road/Alley,Anti-Catholic,Individual,S,N
1991,County,MO,Missouri,1991-08-28,2,0,,0,1,Unknown,Unknown,2,Intimidation,0.0,Residence/Home,Anti-Asian,Government,N,S
1991,Tribal,NC,North Carolina,1991-11-17,1,0,1,0,1,White,Not Hispanic or Latino,1,Aggravated Assault,0.0,Commercial/Office Building,Anti-Muslim,Government,S,N
1991,Tribal,OR,Oregon,1991-02-13,4,0,2,2,0,Black or African American,Not Hispanic or Latino,4,Aggravated Assault,4.0,Highway/Road/Alley,Anti-Muslim,Individual,N,S
1991,City,ND,North Dakota,1991-05-07,1,0,1,0,1,White,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
1991,County,OR,Oregon,1991-05-05,,0,2,1,1,White,Not Hispanic or Latino,1,Intimidation,0.0,Residence/Home,Anti-Jewish,Society/Public,S,S
1991,City,ID,Idaho,1991-05-08,1,0,3,3,0,White,Not Hispanic or Latino,1,Aggravated Assault,0.0,Bar/Nightclub,Anti-LGBT (Mixed Group),Religious Organization,S,S
1991,State Police,DC,District of Columbia,1991-05-27,,1,1,0,1,Unknown,Not Hispanic or Latino,4,Aggravated Assault,4.0,Residence/Home,Anti-Immigrant/Non-Citizen,Individual,S,N
1991,City,ID,Idaho,1991-02-04,1,0,2,2,0,White,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,N,N
1991,Tribal,WI,Wisconsin,1991-01-05,4,0,1,0,1,Unknown,Hispanic or Latino,4,Intimidation,4.0,Highway/Road/Alley,Anti-Black or African American,Individual,S,S
1991,County,AL,Alabama,1991-10-11,1,0,1,0,1,American Indian or Alaska Native,Unknown,1,Simple Assault,1.0,Restaurant,Anti-Gay (Male),Individual,N,S
1992,City,SD,South Dakota,1992-05-21,1,1,1,,1,White,Not Hispanic or Latino,2,Aggravated Assault,2.0,Highway/Road/Alley,Anti-Gay (Male),Individual,S,S
1992,City,AZ,Arizona,1992-01-21,1,0,3,3,,Black or African American,Not Hispanic or Latino,1,Simple Assault,0.0,School/College,Anti-LGBT (Mixed Group),Religious Organization,S,S
1992,University/College,NE,Nebraska,1992-05-07,1,0,1,0,,Black or African American,Not Hispanic or Latino,1,Destruction/Damage/Vandalism,1.0,Residence/Home,Anti-Lesbian,Individual,N,S
1992,City,NC,North Carolina,1992-10-01,0,1,1,1,0,White,Not Hispanic or Latino,1,Aggravated Assault,1.0,Government/Public Building,Anti-White,Individual,N,N
