data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,City,NY,New York,1991-07-14,0.0,1.0,2,1.0,1.0,Black or African American,Not Hispanic or Latino,1,Aggravated Assault,1.0,Home/Residential,Anti-Gay (Female),Juvenile,S,S
1995,County,TX,Texas,1995-11-03,2.0,,4,3.0,1.0,White,Not Specified,2,Destruction/Damage/Vandalism of Property,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,N
1998,City,AZ,Arizona,1998-02-27,,1.0,1,1.0,0.0,White,Not Specified,1,Simple Assault,1.0,Airport,Anti-Black or African American,Juvenile,N,S
2000,Other,FL,Florida,2000-06-05,1.0,2.0,3,2.0,1.0,White,Not Hispanic or Latino,3,Aggravated Assault,3.0,School/College,Anti-Asian,Multiple,S,N
2003,County,MI,Michigan,2003-09-12,0.0,3.0,2,0.0,2.0,Black or African American,Not Hispanic or Latino,3,Destruction/Damage/Vandalism of Property,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Juvenile,N,S
2006,City,WA,Washington,2006-12-19,2.0,,5,4.0,1.0,White,Not Specified,2,Assault,2.0,Airport,Anti-Black or African American,Individual,S,S
2010,Other,CO,Colorado,2010-04-23,1.0,1.0,2,1.0,1.0,White,Not Hispanic or Latino,2,Aggravated Assault,2.0,Home/Residential,Anti-Asian,Individual,S,N
2012,County,IL,Illinois,2012-08-09,,2.0,3,2.0,1.0,Black or African American,Not Hispanic or Latino,2,Destruction/Damage/Vandalism of Property,2.0,School/College,Anti-Black or African American,Juvenile,N,N
2014,City,NC,North Carolina,2014-10-15,0.0,1.0,1,0.0,1.0,White,Not Specified,1,Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Female),Juvenile,S,S
2008,Other,OR,Oregon,2008-01-30,3.0,0.0,4,3.0,1.0,White,Not Hispanic or Latino,3,Simple Assault,3.0,Air/Bus/Train Terminal,Anti-Asian,Individual,N,S
