data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1995,State,TX,Texas,1995-03-22,2,0,2,2,0,White,Not Hispanic,2,Destruction/Damage/Vandalism of Property,0.0,Business,Anti-White,Other,S,S
2001,City,CA,California,2001-11-15,,1,3,1,2,Black,Not Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,Home,Anti-Black or African American,Other,S,S
2007,County,FL,Florida,2007-07-08,1,,1,1,0,Asian,Not Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,Street,Anti-Asian,Other,S,S
2010,City,NY,New York,2010-09-30,0,2,2,0,2,Unknown,Not Specified,2,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-LGBT,Other,S,S
1999,State,IL,Illinois,1999-02-14,,0,1,0,1,Black,Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,Business,Anti-Black or African American,Other,S,S
2014,City,GA,Georgia,2014-05-19,3,1,4,3,1,White,Not Hispanic,4,Destruction/Damage/Vandalism of Property,0.0,Home,Anti-White,Other,S,S
2003,County,OH,Ohio,2003-12-02,1,,2,1,1,Asian,Not Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,Street,Anti-Asian,Other,S,S
2008,State,WA,Washington,2008-04-18,,1,1,0,1,Black,Not Hispanic,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Other,S,S
2012,City,MI,Michigan,2012-08-25,2,,3,2,1,White,Not Hispanic,3,Destruction/Damage/Vandalism of Property,0.0,Business,Anti-White,Other,S,S
1992,County,MO,Missouri,1992-10-31,0,0,1,0,1,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Street,Anti-White,Other,S,S
