data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,State Police,CA,California,1991-06-15,1,0,1,1,0,White,Non-Hispanic,1,Assault,1,Los Angeles,Race,Adult,No,No
1993,County Sheriff,TX,Texas,1993-09-22,0,2,2,0,2,Black,Hispanic,2,Vandalism,2,Houston,Religion,Juvenile,Yes,No
1995,Local Police,FL,Florida,1995-03-10,3,1,4,2,1,Asian,Not Stated,4,Harassment,4,Miami,Sexual Orientation,Adult,No,Yes
1998,State Police,NY,New York,1998-11-05,2,0,2,1,1,White,Non-Hispanic,2,Assault,2,New York City,Race,Adult,Yes,No
2001,County Sheriff,IL,Illinois,2001-07-19,0,3,3,0,3,Black,Hispanic,3,Vandalism,3,Chicago,Religion,Juvenile,Yes,No
2003,Local Police,CA,California,2003-01-12,4,0,4,3,1,White,Non-Hispanic,4,Assault,4,San Diego,Race,Adult,No,Yes
2006,State Police,TX,Texas,2006-05-23,1,2,3,1,2,Asian,Not Stated,3,Harassment,3,Dallas,Sexual Orientation,Juvenile,Yes,No
2009,County Sheriff,FL,Florida,2009-08-30,2,1,3,2,1,White,Non-Hispanic,3,Vandalism,3,Orlando,Religion,Adult,No,No
2012,Local Police,NY,New York,2012-04-07,0,4,4,0,4,Black,Hispanic,4,Harassment,4,Brooklyn,Sexual Orientation,Juvenile,Yes,Yes
2014,State Police,IL,Illinois,2014-12-14,3,0,3,2,1,Asian,Not Stated,3,Assault,3,Springfield,Race,Adult,No,No
