EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
,"50101, 50102",-3.4,-2.9,-15.6,-11.4,25.7,8.5,"30,000","28,000","40,000","38,000","50,000","48,000","60,000","58,000",500-999,2024-02-28
,"50101, 50102",-2.1,-1.4,-10.3,-6.2,22.5,8.2,"32,000","29,000","42,000","40,000","52,000","49,000","62,000","59,000",1000-1999,2024-03-31
,"50103, 50104",-4.8,-3.9,-18.5,-14.1,28.5,9.4,"35,000","32,000","45,000","43,000","55,000","52,000","65,000","63,000",2000-2999,2024-04-30
,"50101, 50102",-1.9,-1.3,-9.1,-5.9,20.8,7.9,"31,000","28,500","41,000","39,000","51,000","48,500","61,000","58,500",3000-3999,2024-05-31
,"50103, 50104",-3.1,-2.5,-12.9,-9.5,24.3,8.8,"34,000","31,000","44,000","42,000","54,000","51,000","66,000","63,000",4000-4999,2024-06-30
,"50101, 50102",-2.5,-1.8,-11.1,-7.5,21.9,8.5,"33,000","30,000","43,000","41,000","53,000","50,000","64,000","61,000",5000-5999,2024-07-31
,"50103, 50104",-4.2,-3.3,-17.3,-13.2,27.3,9.1,"36,000","33,000","46,000","44,000","56,000","53,000","68,000","65,000",6000-6999,2024-08-31
,"50101, 50102",-1.6,-1.2,-8.5,-5.6,19.5,7.3,"30,500","28,000","41,500","39,000","52,500","49,000","61,500","58,000",7000-7999,2024-09-30
,"50103, 50104",-3.5,-2.8,-13.5,-10.1,23.8,8.3,"35,500","32,000","45,500","43,000","55,500","52,000","67,500","64,000",8000-8999,2024-10-31
,"50101, 50102",-2.2,-1.7,-10.5,-7.1,20.9,8.1,"32,000","29,500","42,000","40,500","52,000","49,500","63,000","60,000",9000-9999,2024-11-30
,"50103, 50104",-4.9,-3.7,-19.1,-14.5,29.3,10.2,"37,000","33,500","47,000","44,500","58,000","55,000","72,000","69,000",10000-14999,2024-12-31
,"50101, 50102",-1.8,-1.5,-9.5,-6.3,21.5,8.1,"31,000","28,500","41,500","39,500","51,500","48,500","62,000","59,000",15000-19999,2025-01-31
,"50103, 50104",-3.3,-2.7,-12.7,-9.9,24.9,9.1,"34,500","32,000","45,500","43,000","56,500","53,000","69,500","66,000",20000-24999,2025-02-28
,"50101, 50102",-2.6,-2.1,-11.9,-8.5,22.2,8.7,"33,000","30,500","43,000","41,500","54,000","51,000","65,000","62,000",25000-29999,2025-03-31
,"50103, 50104",-4.4,-3.4,-17.9,-13.9,28.1,10.4,"36,500","33,500","47,500","45,000","59,500","56,000","73,500","70,000",30000-34999,2025-04-30
,"50101, 50102",-1.9,-1.6,-9.9,-6.8,20.8,8.2,"32,000","29,000","42,000","40,000","52,000","49,000","63,000","60,000",35000-39999,2025-05-31
,"50103, 50104",-3.8,-3.1,-14.3,-10.9,25.4,9.5,"37,000","34,000","48,000","45,500","60,000","57,500","72,000","69,500",40000-44999,2025-06-30
,"50101, 50102",-2.4,-2.0,-11.5,-8.3,22.9,9.1,"34,000","31,000","44,000","42,000","55,000","52,000","67,000","64,000",45000-49999,2025-07-31
,"50103, 50104",-4.7,-3.6,-18.5,-14.3,29.5,11.1,"38,500","35,000","49,500","47,000","61,500","58,500","75,500","72,000",50000-54999,2025-08-31
,"50101, 50102",-2.0,-1.7,-10.7,-7.4,21.6,9.3,"34,500","31,500","44,500","42,500","55,500","52,500","68,500","65,000",55000-59999,2025-09-30
,"50103, 50104",-3.5,-3.0,-13.9,-10.5,25.5,10.3,"39,000","36,000","50,000","48,000","62,000","59,000","76,000","73,000",60000-64999,2025-10-31
,"50101, 50102",-2.3,-2.1,-11.3,-8.7,23.1,10.4,"35,500","33,000","46,000","44,000","57,500","54,500","69,500","66,000",65000-69999,2025-11-30
,"50103, 50104",-4.6,-3.8,-18.3,-14.2,30.1,12.5,"40,000","37,000","52,000","49,500","64,000","61,000","78,000","75,000",70000-74999,2025-12-31
,"50101, 50102",-2.1,-2.0,-10.9,-8.4,22.4,10.7,"36,000","33,500","47,000","45,000","59,000","56,500","71,000","68,000",75000-79999,2025-01-31
,"50103, 50104",-3.9,-3.5,-14.9,-11.4,26.3,11.9,"41,000","38,000","54,000","51,500","66,000","63,500","79,000","76,000",80000-84999,2025-02-28
,"50101, 50102",-2.5,-2.3,-12.3,-9.4,23.9,11.5,"37,500","34,500","49,500","47,000","61,500","59,000","73,500","70,500",85000-89999,2025-03-31
,"50103, 50104",-4.5,-3.7,-18.1,-14.0,30.6,13.1,"42,500","40,000","55,500","53,000","67,500","65,000","80,500","77,500",90000-94999,2025-04-30
,"50101, 50102",-2.7,-2.5,-12.7,-9.8,24.5,12.3,"39,000","36,000","51,000","49,000","63,000","60,500","75,000","72,000",95000-99999,2025-05-31
,"50103, 50104",-3.7,-3.4,-14.5,-11.8,27.1,13.4,"44,000","41,500","58,000","55,500","70,000","67,500","82,000","79,000",100000+,2025-06-30
