EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Ace Builders, 41900,4.2,3.5,15.9,14.2,10.5,12.1,27000,24000,30000,26000,32000,28000,35000,30000,Medium,2024-06-15
Hillside Developments, 41900,3.1,2.4,13.5,12.9,9.8,11.3,28000,25000,31000,26000,33000,29000,36000,31000,Small,2024-07-20
Brighton IT, 58210,1.9,1.2,8.3,7.5,6.2,8.9,22000,20000,24000,22000,26000,24000,28000,25000,Large,2024-05-25
Bristol Printers, 17220,2.5,1.8,12.1,11.3,8.5,11.9,26000,23000,29000,24000,31000,26000,34000,29000,Medium,2024-08-10
Yorkshire Foods, 15110,0.8,0.1,6.5,5.8,4.5,7.3,20000,18000,22000,19000,24000,21000,26000,23000,Small,2024-09-05
Fieldstone Ltd, 41900,5.6,4.9,21.8,20.5,16.1,23.5,32000,29000,36000,32000,40000,35000,42000,38000,Large,2024-10-15
Worcester Cables, 29220,1.2,0.5,7.8,6.9,5.6,9.6,21000,19000,23000,20000,25000,22000,28000,24000,Medium,2024-11-20
Marlow Electronics, 58210,3.8,2.9,17.2,16.5,13.1,19.5,30000,27000,33000,29000,37000,32000,39000,35000,Large,2024-12-10
Northampton Builders, 41900,2.1,1.4,10.5,9.8,7.8,12.4,25000,22000,28000,24000,31000,27000,33000,29000,Medium,2025-01-05
Wokingham IT, 58210,2.9,2.2,14.5,13.9,11.3,16.3,28000,25000,31000,26000,35000,29000,38000,32000,Medium,2025-02-15
Bridgwater Foods, 15110,4.5,3.8,20.2,19.5,16.8,22.9,34000,30000,38000,33000,44000,39000,46000,41000,Large,2025-03-20
Sheffield Cables, 29220,0.5,0.0,5.3,4.5,3.7,6.9,18000,16000,20000,17000,22000,19000,24000,21000,Small,2025-04-10
Leeds Printers, 17220,1.8,1.1,9.2,8.5,6.9,11.3,23000,21000,25000,22000,28000,24000,30000,26000,Medium,2025-05-05
Oxford Electronics, 58210,4.1,3.4,19.5,18.9,15.5,23.1,31000,28000,35000,31000,40000,36000,42000,38000,Large,2025-06-15
Canterbury Builders, 41900,3.9,3.2,18.2,17.5,14.3,21.9,34000,30000,38000,33000,43000,39000,46000,42000,Medium,2025-07-20
Swindon IT, 58210,2.2,1.5,12.9,12.2,10.1,15.1,26000,23000,29000,26000,34000,30000,37000,31000,Medium,2025-08-10
Peterborough Foods, 15110,1.1,0.2,7.1,6.4,4.8,9.2,20000,18000,22000,19000,24000,21000,26000,22000,Small,2025-09-05
Hastings Cables, 29220,3.4,2.7,16.5,15.8,12.9,20.1,30000,27000,33000,29000,37000,32000,41000,35000,Medium,2025-10-15
Windsor Electronics, 58210,5.3,4.6,25.3,24.8,20.5,30.1,41000,37000,45000,40000,52000,46000,57000,51000,Large,2025-11-20
Letchworth Builders, 41900,2.5,1.8,13.8,13.1,10.6,16.4,28000,25000,31000,27000,37000,32000,42000,37000,Medium,2025-12-10
Bexley IT, 58210,1.6,1.0,9.5,8.8,7.1,12.1,24000,22000,27000,24000,30000,26000,33000,29000,Medium,2026-01-05
Dartford Cables, 29220,4.8,4.1,23.8,22.9,19.3,28.3,38000,34000,42000,39000,48000,43000,54000,49000,Large,2026-02-15
Guildford Electronics, 58210,3.4,2.7,17.5,16.8,14.1,21.1,31000,28000,35000,32000,41000,37000,45000,41000,Medium,2026-03-20
Lewes Foods, 15110,2.9,2.2,14.5,13.9,11.3,17.7,29000,26000,32000,29000,38000,34000,43000,39000,Medium,2026-04-10
Haywards Heath Printers, 17220,4.4,3.7,21.1,20.4,16.7,25.5,35000,32000,39000,35000,47000,42000,51000,47000,Medium,2026-05-05
Woking Electronics, 58210,2.8,2.1,14.2,13.5,11.5,16.9,29000,26000,33000,29000,38000,34000,43000,39000,Medium,2026-06-15
Eastbourne Builders, 41900,1.4,0.7,8.5,7.8,6.1,10.9,22000,20000,24000,22000,28000,24000,30000,26000,Small,2026-07-20
Chichester IT, 58210,5.1,4.4,25.9,25.4,21.7,30.7,42000,39000,47000,43000,54000,50000,59000,55000,Large,2026-08-10
Fareham Cables, 29220,3.8,3.1,19.3,18.6,15.5,23.5,32000,29000,36000,33000,42000,37000,48000,43000,Medium,2026-09-05
Plymouth Electronics, 58210,2.4,1.7,13.2,12.5,10.2,16.5,27000,24000,31000,28000,36000,31000,41000,36000,Medium,2026-10-15
Maidstone Printers, 17220,3.3,2.6,16.3,15.6,12.8,20.1,30000,27000,33000,29000,41000,36000,46000,41000,Medium,2026-11-20
Ripley Foods, 15110,1.6,0.9,8.5,7.8,6.1,11.1,20000,18000,22000,19000,24000,21000,26000,23000,Small,2026-12-10
Aylesbury IT, 58210,4.9,4.2,24.5,23.9,20.5,29.7,41000,38000,47000,43000,56000,50000,61000,57000,Large,2027-01-05
Tiverton Cables, 29220,2.1,1.4,11.3,10.6,8.5,14.1,24000,22000,27000,24000,31000,26000,35000,29000,Medium,2027-02-15
Barnet Electronics, 58210,3.5,2.8,17.8,17.1,14.4,21.4,31000,28000,35000,32000,42000,37000,47000,42000,Medium,2027-03-20
Crawley Foods, 15110,5.2,4.5,25.6,24.9,21.3,30.5,39000,35000,45000,41000,57000,53000,64000,61000,Large,2027-04-10
Hemel Hempstead Printers, 17220,2.6,1.9,13.8,13.1,10.6,17.3,28000,25000,31000,28000,37000,32000,42000,38000,Medium,2027-05-05
Sutton IT, 58210,1.9,1.2,10.3,9.6,7.7,13.3,24000,22000,27000,24000,31000,26000,34000,29000,Medium,2027-06-15
Isleworth Cables, 29220,4.6,4.0,22.4,21.7,18.4,26.5,37000,34000,42000,39000,49000,44000,56000,51000,Medium,2027-07-20
