"EmployerName","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","EmployerSize","DateSubmitted"
"Foxley Consultancy Ltd","64202, 64205","-4.5","-6.7","-10.2","-12.5","15.6","8.2","25,000","20,000","35,000","28,000","45,000","38,000","55,000","50,000","100-249","2024-05-15"
"Orion Recruitment Services Ltd","70200, 70203","-0.5","-1.2","-5.1","-6.5","12.1","6.9","22,000","19,000","32,000","27,000","40,000","35,000","48,000","42,000","50-99","2024-03-20"
"Kingsley Planning Ltd","74201, 74202","-2.8","-4.1","-8.5","-10.9","18.2","9.5","28,000","24,000","38,000","32,000","48,000","42,000","58,000","52,000","100-249","2024-06-10"
"Infinite IT Solutions Ltd","63101, 63102","-1.9","-3.3","-6.8","-8.2","16.5","8.3","26,000","22,000","36,000","30,000","44,000","38,000","52,000","46,000","50-99","2024-04-25"
"Delta Shipping Ltd","62200, 62201","-3.5","-5.2","-12.1","-14.5","20.9","10.3","30,000","26,000","40,000","34,000","50,000","44,000","60,000","54,000","100-249","2024-02-15"
"Raven Security Services Ltd","85310, 85311","-2.1","-3.5","-7.9","-9.3","19.1","9.7","24,000","21,000","34,000","29,000","42,000","36,000","50,000","44,000","50-99","2024-01-10"
"Fairview Construction Ltd","43210, 43220","-1.3","-2.5","-5.5","-7.1","14.3","7.1","29,000","25,000","39,000","33,000","49,000","43,000","57,000","51,000","100-249","2024-07-05"
"Palmerston Landscaping Ltd","81300, 81301","-3.9","-5.8","-13.4","-15.7","22.1","11.1","31,000","27,000","41,000","35,000","51,000","45,000","61,000","55,000","100-249","2024-06-20"
"Eclipse Sports Management Ltd","93110, 93111","-0.8","-1.5","-4.9","-6.3","13.4","6.6","23,000","20,000","33,000","28,000","41,000","35,000","48,000","42,000","50-99","2024-05-01"
"Larkspur Healthcare Ltd","86010, 86011","-1.6","-2.9","-6.2","-8.1","15.8","8.1","27,000","23,000","37,000","31,000","45,000","39,000","53,000","47,000","100-249","2024-03-25"
"Harvest Creative Ltd","90040, 90041","-2.4","-3.7","-9.1","-11.5","17.3","9.1","29,000","25,000","39,000","33,000","49,000","43,000","59,000","53,000","100-249","2024-02-01"
"Ripple Marketing Ltd","96000, 96001","-1.1","-2.2","-5.4","-7.0","12.9","6.4","26,000","22,000","36,000","30,000","44,000","38,000","52,000","46,000","50-99","2024-06-15"
"Sapphire Financial Services Ltd","64900, 64901","-3.1","-4.6","-11.9","-14.2","21.5","10.9","30,000","26,000","40,000","34,000","50,000","44,000","62,000","56,000","100-249","2024-04-10"
"Vista Electronics Ltd","64203, 64204","-2.5","-3.8","-9.5","-11.9","19.3","9.9","28,000","24,000","38,000","32,000","48,000","42,000","58,000","52,000","100-249","2024-01-05"
"Tuscan Food Services Ltd","56100, 56101","-1.8","-3.1","-7.1","-9.0","16.4","8.4","25,000","21,000","35,000","29,000","43,000","37,000","51,000","45,000","50-99","2024-07-20"
"Chalkdown Education Ltd","84100, 84101","-0.9","-1.7","-4.7","-6.2","13.6","6.8","22,000","19,000","32,000","27,000","40,000","35,000","48,000","42,000","50-99","2024-03-01"
"Wetherby Energy Ltd","69100, 69101","-2.2","-3.4","-8.3","-10.5","18.5","9.3","26,000","22,000","36,000","30,000","44,000","38,000","54,000","48,000","50-99","2024-04-01"
"Silverdale Insurance Ltd","66500, 66501","-3.6","-5.3","-12.5","-15.0","21.9","11.3","32,000","28,000","42,000","36,000","52,000","46,000","64,000","58,000","100-249","2024-05-25"
"Brockley Sales Ltd","65100, 65101","-1.4","-2.7","-6.1","-8.3","15.2","7.5","27,000","23,000","37,000","31,000","45,000","39,000","53,000","47,000","100-249","2024-02-20"
"Kennedy Electrical Ltd","43210, 43220","-2.6","-4.0","-10.1","-12.5","20.3","10.7","30,000","26,000","40,000","34,000","50,000","44,000","62,000","56,000","100-249","2024-06-01"
"Lingfield Bakery Ltd","18200, 18201","-1.1","-2.1","-5.1","-7.0","14.1","7.0","24,000","21,000","34,000","29,000","42,000","36,000","50,000","44,000","50-99","2024-03-15"
"Carey Healthcare Ltd","86010, 86011","-2.8","-4.2","-10.6","-13.1","19.9","9.8","28,000","24,000","38,000","32,000","48,000","42,000","60,000","54,000","100-249","2024-04-25"
"York Mills Ltd","64300, 64301","-3.2","-4.9","-11.8","-14.3","22.6","11.4","31,000","27,000","41,000","35,000","51,000","45,000","63,000","57,000","100-249","2024-02-10"
"Fairview Education Ltd","84100, 84101","-1.5","-2.8","-6.3","-8.6","15.7","8.2","26,000","22,000","36,000","30,000","44,000","38,000","52,000","46,000","50-99","2024-07-01"
"Castlewood Sales Ltd","65100, 65101","-1.9","-3.3","-7.4","-9.5","17.1","8.6","28,000","24,000","38,000","32,000","48,000","42,000","56,000","50,000","100-249","2024-01-20"
"Century Road Ltd","64202, 64205","-3.3","-5.0","-12.2","-15.0","21.0","10.5","29,000","25,000","39,000","33,000","49,000","43,000","61,000","55,000","100-249","2024-05-10"
"Fisherfield IT Solutions Ltd","63101, 63102","-2.0","-3.2","-8.0","-10.2","18.4","9.2","26,000","22,000","36,000","30,000","44,000","38,000","54,000","48,000","50-99","2024-03-10"
"Greenway Sports Management Ltd","93110, 93111","-0.6","-1.4","-4.6","-6.1","13.3","6.6","23,000","20,000","33,000","28,000","41,000","35,000","48,000","42,000","50-99","2024-02-25"
"Holmfield Health Services Ltd","86010, 86011","-1.2","-2.4","-5.9","-8.0","16.1","8.1","25,000","21,000","35,000","29,000","43,000","37,000","51,000","45,000","50-99","2024-06-01"
"Meadowbank Landscaping Ltd","81300, 81301","-2.9","-4.5","-11.1","-13.4","20.7","10.3","27,000","23,000","37,000","31,000","45,000","39,000","56,000","50,000","50-99","2024-04-15"
"Waverley Insurance Ltd","66500, 66501","-2.5","-3.9","-9.8","-12.2","19.6","9.8","29,000","25,000","39,000","33,000","49,000","43,000","61,000","55,000","100-249","2024-01-15"
"Grovesend Creative Ltd","90040, 90041","-2.1","-3.4","-8.6","-10.9","18.8","9.3","28,000","24,000","38,000","32,000","48,000","42,000","58,000","52,000","100-249","2024-03-25"
"Eaglestone Services Ltd","85310, 85311","-1.7","-2.9","-6.6","-8.8","16.4","8.5","26,000","22,000","36,000","30,000","44,000","38,000","52,000","46,000","50-99","2024-02-01"
"Rodneyville Engineering Ltd","43220, 43221","-3.4","-5.1","-12.9","-15.4","22.5","11.2","31,000","27,000","41,000","35,000","51,000","45,000","64,000","58,000","100-249","2024-06-25"
"Goldstone Security Ltd","85310, 85311","-2.3","-3.6","-9.3","-11.6","19.4","9.5","27,000","23,000","37,000","31,000","45,000","39,000","54,000","48,000","50-99","2024-05-20"
"Emmott Recruitment Ltd","70200, 70203","-1.1","-2.1","-5.2","-7.4","14.8","7.3","24,000","21,000","34,000","29,000","42,000","36,000","50,000","44,000","50-99","2024-04-01"
"Ellerker Sales Ltd","65100, 65101","-2.0","-3.2","-8.3","-10.5","18.2","9.0","28,000","24,000","38,000","32,000","48,000","42,000","58,000","52,000","100-249","2024-03-01"
"Bellvue Marketing Ltd","96000, 96001","-1.3","-2.5","-6.1","-8.1","15.5","7.9","26,000","22,000","36,000","30,000","44,000","38,000","52,000","46,000","50-99","2024-06-10"
"Simmonds Transport Ltd","50200, 50201","-2.8","-4.2","-10.9","-13.3","21.2","10.9","30,000","26,000","40,000","34,000","50,000","44,000","62,000","56,000","100-249","2024-05-01"
"Taunton Recruitment Ltd","70200, 70203","-1.5","-2.8","-6.5","-8.8","16.9","8.4","27,000","23,000","37,000","31,000","45,000","39,000","53,000","47,000","100-249","2024-02-20"
