data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,State,FL,Florida,1991-05-01,1,0,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,1,Parks and Recreation Area,Antisemitic,Adult,0,0
1993,Municipal,CA,California,1993-03-15,0,1,1,0,1,Asian,Not Hispanic or Latino,1,Vandalism,1,Parking Garage,Racist,Juvenile,1,0
1992,State,NY,New York,1992-08-20,1,0,1,1,0,Black,Not Hispanic or Latino,2,Hate Crime Against Sexual Orientation,2,Residence Hall,LGBTQ+ Hate Crime,Adult,0,0
1994,Municipal,IL,Illinois,1994-01-05,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,College/University Campus,Anti-Latino,Adult,0,0
1995,Municipal,MA,Massachusetts,1995-09-01,0,1,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1,Business (Non-Retail),Racist,Juvenile,1,0
1996,Municipal,OH,Ohio,1996-06-15,1,0,1,1,0,Black,Not Hispanic or Latino,1,Hate Crime Against Disability,1,Parks and Recreation Area,Disability Hate Crime,Adult,0,0
1997,State,WI,Wisconsin,1997-10-01,1,0,2,1,1,White,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
1998,Municipal,GA,Georgia,1998-03-20,0,1,1,0,1,Asian,Not Hispanic or Latino,1,Vandalism,1,Residence Hall,Racist,Juvenile,1,0
1999,State,MI,Michigan,1999-05-01,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parks and Recreation Area,Anti-Latino,Adult,0,0
2000,Municipal,TX,Texas,2000-01-05,1,0,1,1,0,Black,Not Hispanic or Latino,1,Hate Crime Against Disability,1,Business (Non-Retail),Disability Hate Crime,Adult,0,0
2001,Municipal,PA,Pennsylvania,2001-06-01,0,1,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1,College/University Campus,Racist,Juvenile,1,0
2002,State,NC,North Carolina,2002-09-01,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parks and Recreation Area,Anti-Latino,Adult,0,0
2003,Municipal,KS,Kansas,2003-03-15,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Hate Crime Against Sexual Orientation,1,Business (Non-Retail),LGBTQ+ Hate Crime,Adult,0,0
2004,State,IN,Indiana,2004-01-01,1,0,2,1,1,Black,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
2005,Municipal,SC,South Carolina,2005-06-01,0,1,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1,Parking Garage,Racist,Juvenile,1,0
2006,State,VT,Vermont,2006-09-01,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parks and Recreation Area,Anti-Latino,Adult,0,0
2007,Municipal,LA,Louisiana,2007-03-15,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Hate Crime Against Sexual Orientation,1,Business (Non-Retail),LGBTQ+ Hate Crime,Adult,0,0
2008,State,IL,Illinois,2008-01-01,1,0,2,1,1,Black,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
2009,Municipal,CO,Colorado,2009-06-01,0,1,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1,Parks and Recreation Area,Racist,Juvenile,1,0
