"year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1992","State Police","AL","Alabama","1992-01-15","1","1","2","1","1","White ","Not Hispanic or Latino","2","Simple Assault","2","University Campus","Anti-White","Adult, Youth","True","True"
"1992","Local Police Department","AZ","Arizona","1992-03-22","2","0","1","1","0","Hispanic or Latino ","Not Hispanic or Latino","2","Vandalism","2","Residential Area","Anti-White","Adult","False","True"
"1995","Law Enforcement Agency","CA","California","1995-09-11","0","1","1","0","1","Asian ","Not Hispanic or Latino","1","Intimidation","1","Public Transportation","Anti-Asian","Youth","True","False"
"1991","State Police","CT","Connecticut","1991-04-20","1","0","1","1","0","Black or African American ","Not Hispanic or Latino","1","Aggravated Assault","1","Residential Area","Anti-Black","Adult","True","False"
"2001","Local Police Department","FL","Florida","2001-07-14","1","0","1","1","0","White ","Not Hispanic or Latino","1","Simple Assault","1","University Campus","Anti-White","Adult","True","False"
"1996","Law Enforcement Agency","GA","Georgia","1996-02-18","2","0","1","2","0","Hispanic or Latino ","Not Hispanic or Latino","2","Intimidation","2","Public Transportation","Anti-Hispanic","Adult","True","False"
"2011","Local Police Department","IL","Illinois","2011-01-28","0","1","1","0","1","Native Hawaiian or Other Pacific Islander ","Not Hispanic or Latino","1","Vandalism","1","School/College","Anti-Native American","Youth","True","False"
"2005","State Police","KS","Kansas","2005-11-25","1","0","1","1","0","Black or African American ","Not Hispanic or Latino","1","Simple Assault","1","Public Transportation","Anti-Black","Adult","True","False"
"1993","Local Police Department","KY","Kentucky","1993-08-17","2","0","1","2","0","White ","Not Hispanic or Latino","2","Intimidation","2","Residential Area","Anti-White","Adult","True","False"
"1997","Law Enforcement Agency","LA","Louisiana","1997-03-29","1","0","1","1","0","Asian ","Not Hispanic or Latino","1","Vandalism","1","Public Transportation","Anti-Asian","Adult","True","False"
"2010","Local Police Department","MA","Massachusetts","2010-05-13","0","1","1","0","1","Hispanic or Latino ","Not Hispanic or Latino","1","Simple Assault","1","University Campus","Anti-Hispanic","Youth","True","False"
"2007","State Police","MD","Maryland","2007-02-14","1","0","1","1","0","Black or African American ","Not Hispanic or Latino","1","Aggravated Assault","1","Public Transportation","Anti-Black","Adult","True","False"
"2004","Local Police Department","MI","Michigan","2004-09-15","2","0","1","2","0","White ","Not Hispanic or Latino","2","Intimidation","2","Residential Area","Anti-White","Adult","True","False"
"1994","Law Enforcement Agency","MN","Minnesota","1994-01-22","0","1","1","0","1","Native Hawaiian or Other Pacific Islander ","Not Hispanic or Latino","1","Vandalism","1","School/College","Anti-Native American","Youth","True","False"
"2002","State Police","MO","Missouri","2002-11-18","1","0","1","1","0","Hispanic or Latino ","Not Hispanic or Latino","1","Simple Assault","1","Public Transportation","Anti-Hispanic","Adult","True","False"
"2009","Local Police Department","MT","Montana","2009-03-11","0","1","1","0","1","Asian ","Not Hispanic or Latino","1","Intimidation","1","University Campus","Anti-Asian","Youth","True","False"
"2000","Law Enforcement Agency","NC","North Carolina","2000-06-28","1","0","1","1","0","Black or African American ","Not Hispanic or Latino","1","Aggravated Assault","1","Residential Area","Anti-Black","Adult","True","False"
"1999","State Police","ND","North Dakota","1999-04-15","2","0","1","2","0","White ","Not Hispanic or Latino","2","Intimidation","2","Public Transportation","Anti-White","Adult","True","False"
"2006","Local Police Department","NE","Nebraska","2006-01-25","1","0","1","1","0","Hispanic or Latino ","Not Hispanic or Latino","1","Simple Assault","1","School/College","Anti-Hispanic","Adult","True","False"
"2003","Law Enforcement Agency","NH","New Hampshire","2003-08-22","0","1","1","0","1","Native Hawaiian or Other Pacific Islander ","Not Hispanic or Latino","1","Vandalism","1","Residential Area","Anti-Native American","Youth","True","False"
"1998","State Police","NJ","New Jersey","1998-02-18","1","0","1","1","0","Asian ","Not Hispanic or Latino","1","Aggravated Assault","1","Public Transportation","Anti-Asian","Adult","True","False"
"2008","Local Police Department","NM","New Mexico","2008-05-20","2","0","1","2","0","Black or African American ","Not Hispanic or Latino","2","Intimidation","2","University Campus","Anti-Black","Adult","True","False"
"2000","Law Enforcement Agency","NV","Nevada","2000-10-25","0","1","1","0","1","White ","Not Hispanic or Latino","1","Simple Assault","1","School/College","Anti-White","Youth","True","False"
"2005","State Police","NY","New York","2005-03-11","1","0","1","1","0","Hispanic or Latino ","Not Hispanic or Latino","1","Vandalism","1","Public Transportation","Anti-Hispanic","Adult","True","False"
"1996","Local Police Department","OH","Ohio","1996-11-15","2","0","1","2","0","Asian ","Not Hispanic or Latino","2","Intimidation","2","Residential Area","Anti-Asian","Adult","True","False"
"1995","Law Enforcement Agency","OK","Oklahoma","1995-07-22","0","1","1","0","1","Native Hawaiian or Other Pacific Islander ","Not Hispanic or Latino","1","Aggravated Assault","1","Public Transportation","Anti-Native American","Youth","True","False"
"2002","State Police","OR","Oregon","2002-02-18","1","0","1","1","0","Black or African American ","Not Hispanic or Latino","1","Simple Assault","1","School/College","Anti-Black","Adult","True","False"
"2013","Local Police Department","PA","Pennsylvania","2013-09-11","0","1","1","0","1","Hispanic or Latino ","Not Hispanic or Latino","1","Intimidation","1","University Campus","Anti-Hispanic","Youth","True","False"
"2004","Law Enforcement Agency","RI","Rhode Island","2004-04-15","2","0","1","2","0","Asian ","Not Hispanic or Latino","2","Vandalism","2","Public Transportation","Anti-Asian","Adult","True","False"
"2001","State Police","SC","South Carolina","2001-11-25","1","0","1","1","0","White ","Not Hispanic or Latino","1","Aggravated Assault","1","Residential Area","Anti-White","Adult","True","False"
"2009","Local Police Department","SD","South Dakota","2009-06-11","0","1","1","0","1","Hispanic or Latino ","Not Hispanic or Latino","1","Simple Assault","1","School/College","Anti-Hispanic","Youth","True","False"
"2006","Law Enforcement Agency","TN","Tennessee","2006-03-29","1","0","1","1","0","Native Hawaiian or Other Pacific Islander ","Not Hispanic or Latino","1","Vandalism","1","Public Transportation","Anti-Native American","Adult","True","False"
"1994","State Police","TX","Texas","1994-01-15","2","0","1","2","0","Black or African American ","Not Hispanic or Latino","2","Intimidation","2","University Campus","Anti-Black","Adult","True","False"
"2008","Local Police Department","UT","Utah","2008-02-18","1","0","1","1","0","Asian ","Not Hispanic or Latino","1","Simple Assault","1","School/College","Anti-Asian","Adult","True","False"
"2012","Law Enforcement Agency","VA","Virginia","2012-11-20","0","1","1","0","1","White ","Not Hispanic or Latino","1","Aggravated Assault","1","Residential Area","Anti-White","Youth","True","False"
"2003","State Police","VT","Vermont","2003-05-11","2","0","1","2","0","Hispanic or Latino ","Not Hispanic or Latino","2","Intimidation","2","Public Transportation","Anti-Hispanic","Adult","True","False"
"1997","Local Police Department","WA","Washington","1997-06-15","1","0","1","1","0","Native Hawaiian or Other Pacific Islander ","Not Hispanic or Latino","1","Vandalism","1","University Campus","Anti-Native American","Adult","True","False"
"2007","Law Enforcement Agency","WI","Wisconsin","2007-01-22","0","1","1","0","1","Asian ","Not Hispanic or Latino","1","Simple Assault","1","School/College","Anti-Asian","Youth","True","False"
"1992","State Police","WV","West Virginia","1992-09-11","1","0","1","1","0","Black or African American ","Not Hispanic or Latino","1","Aggravated Assault","1","Residential Area","Anti-Black","Adult","True","False"
"2014","Local Police Department","WY","Wyoming","2014-03-18","2","0","1","2","0","White ","Not Hispanic or Latino","2","Intimidation","2","Public Transportation","Anti-White","Adult","True","False"
