"fields","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
1991,"Local",,"AL","Alabama","1991-02-10",1,0,1,1,0,"Asian","Asian",1,"Simple Assault","1","City of Birmingham",,"Antisemitic",,"F","False"
1992,"State",,"CA","California","1992-08-01",1,0,1,1,0,"White","Hispanic or Latino",1,"Intimidation","1","City of Los Angeles",,"Homophobic",,"F","True"
1993,"Local",,"FL","Florida","1993-04-05",0,1,1,0,1,"Black or African American","Black or African American",1,"Vandalism","1","City of Miami",,"Racist",,"F","False"
1994,"Federal",,"GA","Georgia","1994-02-20",0,0,2,0,2,"White","White",1,"Simple Assault","1","City of Atlanta",,"Antigay",,"F","True"
1995,"State",,"HI","Hawaii","1995-10-15",0,0,1,0,1,"Asian","Asian",1,"Intimidation","1","City of Honolulu",,"Anti-Asian",,"F","False"
1996,"Local",,"IL","Illinois","1996-06-10",1,0,1,1,0,"Black or African American","Black or African American",1,"Vandalism","1","City of Chicago",,"Racist",,"F","True"
1997,"Federal",,"KY","Kentucky","1997-03-20",1,0,1,1,0,"White","White",1,"Simple Assault","1","City of Louisville",,"Antisemitic",,"F","False"
1998,"State",,"LA","Louisiana","1998-09-01",0,1,1,0,1,"Hispanic or Latino","Hispanic or Latino",1,"Intimidation","1","City of New Orleans",,"Homophobic",,"F","True"
1999,"Local",,"MD","Maryland","1999-01-05",0,0,2,0,2,"Black or African American","Black or African American",1,"Vandalism","1","City of Baltimore",,"Racist",,"F","False"
2000,"Federal",,"MA","Massachusetts","2000-07-15",1,0,1,1,0,"Asian","Asian",1,"Simple Assault","1","City of Boston",,"Anti-Asian",,"F","True"
2001,"State",,"MI","Michigan","2001-02-10",0,1,1,0,1,"White","White",1,"Intimidation","1","City of Detroit",,"Antigay",,"F","False"
2002,"Local",,"MS","Mississippi","2002-09-01",1,0,1,1,0,"Black or African American","Black or African American",1,"Vandalism","1","City of Jackson",,"Racist",,"F","True"
2003,"Federal",,"MT","Montana","2003-04-05",0,0,2,0,2,"Native American or Alaska Native","Native American or Alaska Native",1,"Simple Assault","1","City of Helena",,"Anti-Native American",,"F","False"
2004,"State",,"NE","Nebraska","2004-08-01",0,1,1,0,1,"White","White",1,"Intimidation","1","City of Omaha",,"Homophobic",,"F","True"
2005,"Local",,"NV","Nevada","2005-02-20",1,0,1,1,0,"Asian","Asian",1,"Simple Assault","1","City of Las Vegas",,"Anti-Asian",,"F","False"
2006,"Federal",,"NY","New York","2006-10-15",0,0,1,0,1,"Hispanic or Latino","Hispanic or Latino",1,"Vandalism","1","City of New York",,"Antigay",,"F","True"
2007,"State",,"NC","North Carolina","2007-06-10",1,0,1,1,0,"Black or African American","Black or African American",1,"Intimidation","1","City of Charlotte",,"Racist",,"F","False"
2008,"Local",,"ND","North Dakota","2008-03-20",0,1,1,0,1,"White","White",1,"Simple Assault","1","City of Fargo",,"Homophobic",,"F","True"
2009,"Federal",,"OH","Ohio","2009-09-01",0,0,2,0,2,"Asian","Asian",1,"Vandalism","1","City of Columbus",,"Anti-Asian",,"F","False"
2010,"State",,"OK","Oklahoma","2010-01-05",1,0,1,1,0,"Native American or Alaska Native","Native American or Alaska Native",1,"Intimidation","1","City of Oklahoma City",,"Anti-Native American",,"F","True"
2011,"Local",,"OR","Oregon","2011-07-15",0,1,1,0,1,"White","White",1,"Simple Assault","1","City of Portland",,"Antigay",,"F","False"
2012,"Federal",,"PA","Pennsylvania","2012-02-10",0,0,1,0,1,"Black or African American","Black or African American",1,"Vandalism","1","City of Philadelphia",,"Racist",,"F","True"
2013,"State",,"RI","Rhode Island","2013-09-01",1,0,1,1,0,"Hispanic or Latino","Hispanic or Latino",1,"Intimidation","1","City of Providence",,"Homophobic",,"F","False"
2014,"Local",,"SC","South Carolina","2014-04-05",0,1,1,0,1,"White","White",1,"Simple Assault","1","City of Charleston",,"Antisemitic",,"F","True"
